HCH_009_017_000158	五月癸巳，定國軍節度使慶山奴以受賂，奪一官。
HCH_009_017_000159	六月壬戌，以旱，赦雜犯罪死已下。
HCH_009_017_000160	秋七月戊子，同判睦親府事撒合輦出為中京留寧，行樞密院事。
HCH_009_017_000161	八月乙卯，以旱，遣使禱于上清宮。
HCH_009_017_000162	甲子，參知政事白撒為尚書右丞，太常卿顏盞世魯權參知政事。
HCH_009_017_000163	增築歸德行樞密院，擬工役數百萬，詔遣權樞密院判官白華喻以農夫勞苦，減其工三之二。
HCH_009_017_000164	以節制不一，並衛州帥府於恆山公府，命白華往經畫之。
HCH_009_017_000165	九月庚寅，雨足，始種麥。
HCH_009_017_000166	冬十一月辛巳，進宣《宣宗實錄》。
HCH_009_017_000167	十二月庚子朔，日有食之。
HCH_009_017_000168	完顏麻斤出以奉使不職，免死除名。
HCH_009_017_000169	壬子，完顏奴申改侍講學士，充國信使。
HCH_009_017_000170	以陝西大寒，賜軍士柴炭銀有差。
HCH_009_017_000171	京兆、鳳翔府司竹監進竹，令分給之。
HCH_009_017_000172	六年春二月丙辰，樞密院判官移剌蒲阿權樞密副使。
HCH_009_017_000173	耀州刺史李興有戰功，詔賜玉兔鶻帶、金器。
HCH_009_017_000174	以丞相完顏賽不行尚書省事於關中，召平章政事完顏合達還朝。
HCH_009_017_000175	移剌蒲阿率忠孝軍總領完顏陳和尚忠孝軍一千騎駐邠州。
HCH_009_017_000176	遣白華馳諭蒲阿以用兵之意。
HCH_009_017_000177	詔樞密更給忠孝軍馬疋，以漸調發都尉司步卒及忠孝馬軍屯京西。
HCH_009_017_000178	以白華專備軍須。
HCH_009_017_000179	三月乙亥，忠孝軍總領陳和尚有戰功，授定遠大將軍、平涼府判官，世襲謀克。
HCH_009_017_000180	夏五月，隴州防禦使石抹冬兒進黃鸚鵡，詔曰：「外方獻珍禽異獸，違物性，損人力，令勿複進。」
HCH_009_017_000181	秋七月，罷陝西行省軍中浮費。
HCH_009_017_000182	八月，移剌蒲阿再複澤、潞。
HCH_009_017_000183	九月，洮、河、蘭、會元帥顏盞蝦鲩麻進西馬二疋，詔曰：「卿武藝超絕，此馬可充戰用，朕乘豈能盡其力。既入進，即尚廄物也，今以賜卿，其悉朕意。」
HCH_009_017_000184	冬十月，移剌蒲阿東還，令陳和尚率陝西歸順馬軍屯鈞、許。
HCH_009_017_000185	大元兵駐慶陽界。
HCH_009_017_000186	詔陝西行省遣使奉羊酒幣帛乞緩師請和。
HCH_009_017_000187	十一月，遣使鈞、許選試陝西歸順人，得軍二千，以藝優者充忠孝軍，次充合裏合軍。
HCH_009_017_000188	十二月，詔副樞蒲阿、總帥紇石烈牙吾塔、權簽樞密院事完顏訛可救慶陽。
HCH_009_017_000189	罷附京獵地百里，聽民耕稼。
HCH_009_017_000190	七年春正月，副樞蒲阿、總帥牙吾塔、權簽院事訛可解慶陽之圍。
HCH_009_017_000191	以訛可屯邠州，蒲阿、牙吾塔還京兆。
HCH_009_017_000192	夏五月，詔釋清口宋敗軍三千人，願留者五百人，以屯許州，餘悉縱遣之。
HCH_009_017_000193	賜經義詞賦李瑭以下進士第。
HCH_009_017_000194	秋七月，以平章政事合達權樞密副使。
HCH_009_017_000195	八月，賜陝西死事孤鹽引及絹，仍量材任使。
HCH_009_017_000196	大元兵圍武仙于舊衛州。
HCH_009_017_000197	冬十月，平章合達、副樞蒲阿引兵救衛州。
HCH_009_017_000198	衛州圍解，上登承天門犒軍，合達、蒲阿並世襲謀克。
HCH_009_017_000199	移剌蒲阿權參政事，同合達行省事於閿鄉，以備潼關。
HCH_009_017_000200	八年春正月，大元兵圍鳳翔府。
HCH_009_017_000201	遣樞密院判官白華、右司郎中夾谷八裏門諭閿鄉行省進兵，合達、蒲阿以未見機會不行。
HCH_009_017_000202	複遣白華諭合達、蒲達將兵出關以解鳳翔之圍，又不行。
HCH_009_017_000203	夏四月丁巳朔，赦。
HCH_009_017_000204	全免京西路軍錢一年。
HCH_009_017_000205	旱災州縣，差稅從實減貸。
HCH_009_017_000206	大元兵平鳳翔府。
HCH_009_017_000207	兩行省棄京兆，遷居民于河南，留慶山奴守之。
