HCH_013_063_000139	僉事隨府乘間同家人抱關防，從城躍下，傷肱不能起。
HCH_013_063_000140	賊復縋執繫獄。
HCH_013_063_000141	翼日，定議水攻。
HCH_013_063_000142	寧夏城西北卑下，且與金波、三塔諸湖之水相近；東南逼觀音湖、新渠、紅花渠，形如釜底。
HCH_013_063_000143	遂繞城築隄，十七日隄成，長千七百丈，決水以灌。
HCH_013_063_000144	先是，哱拜遣養子克力蓋往著力兔求援。
HCH_013_063_000145	松詗知狀，命裨將李寧追斬之，并其從騎二十九級，獲符令箭。
HCH_013_063_000146	居有頃，套部莊禿賴與卜失兔合部落三萬，先使土昧、䋙糾雷等犯定邊小鹽池，而打正以萬騎從花馬池西沙湃入。
HCH_013_063_000147	總督檄麻貴偵擊，以牽打正，別遣董一元乘虛出塞，擣其穴。
HCH_013_063_000148	麻貴進戰石溝旁，敵稍卻，分趨下馬關及鳴沙州。
HCH_013_063_000149	總督遣遊擊龔子敬提苗兵八百堵沙湃口，東趨定邊，與董一元合。
HCH_013_063_000150	亡何，一元報擣土昧巢，斬獲三千餘級，套部驚引去。
HCH_013_063_000151	而打正還至沙湃，苗兵直前扼之，眾寡不敵，被圍十餘匝，子敬力戰死，然套部竟以搗巢解散。
HCH_013_063_000152	賊援絕，我師益決大壩水。
HCH_013_063_000153	八月朔，城外水深八、九尺。
HCH_013_063_000154	是夜，賊小舟挖隄洩水，官兵擒斬十六級，生得一人，為言城中乏穀，士盡食馬，馬餘五百匹，民食樹皮，死亡相屬。
HCH_013_063_000155	翼日，城東西崩百餘丈，都司吳世顯、參將來保所治隄，亦各崩二十丈，水頓減。
HCH_013_063_000156	總督斬吳世顯以徇，來保用靈州功免，仍悉力補隄。
HCH_013_063_000157	賊數出兵來擾，多被斬獲。
HCH_013_063_000158	城中飢民擁賊求招安。
HCH_013_063_000159	十二日，御史梅國楨檄賊，以飢民故，為治錢穀。
HCH_013_063_000160	檄到三日，開關迎大兵入賑。
HCH_013_063_000161	賊不報。
HCH_013_063_000162	時套部數闌入堡來救。
HCH_013_063_000163	二十一日，著力兔以八百騎入鎮北堡，又擁眾萬餘入李剛堡，分部渡河。
HCH_013_063_000164	總兵李如松遣裨將李寧等馳赴黃硤口擊之，以勁卒千餘，身往策應。
HCH_013_063_000165	行至張亮堡，遇敵搏戰，自卯至巳，敵銳甚，如松劍斬縮朒二人。
HCH_013_063_000166	會麻貴、李如樟等亦至，張左右翼夾擊。
