HCH_012_072_000139	宣慰、宣撫、安撫、長官諸司領士兵者，則隸兵部。
HCH_012_072_000140	凡廕敘，明初，自一品至七品，皆得廕一子以世其祿。
HCH_012_072_000141	洪武十六年，定職官子孫廕敘。
HCH_012_072_000142	正一品子，正五品用。
HCH_012_072_000143	從一品子，從五品用。
HCH_012_072_000144	正二品子，正六品用。
HCH_012_072_000145	從二品子，從六品用。
HCH_012_072_000146	正三品子，正七品用。
HCH_012_072_000147	從三品子，從七品用。
HCH_012_072_000148	正四品子，正八品用。
HCH_012_072_000149	從四品子，從八品用。
HCH_012_072_000150	正五品子，正九品用。
HCH_012_072_000151	從五品子，從九品用。
HCH_012_072_000152	正六品子，於未入流上等職內敘用。
HCH_012_072_000153	從六品子，於未入流中等職內敘用。
HCH_012_072_000154	正從七品子，於未入流下等職內敘用。
HCH_012_072_000155	後乃漸為限制，京官三品以上，考滿著績，始廕一子曰官生，其出自特恩者曰恩生。
HCH_012_072_000156	凡封贈，公、侯、伯之追封，皆遞進一等。
HCH_012_072_000157	三品以上政績顯異及死諫、死節、陣亡者，皆得贈官。
HCH_012_072_000158	其見任則初授散階，京官滿一考，及外官滿一考而以最聞者，皆給本身誥敕。
HCH_012_072_000159	七品以上皆得推恩其先。
HCH_012_072_000160	五品以上授誥命，六品以下授敕命。
HCH_012_072_000161	一品，三代四軸。
HCH_012_072_000162	二品、三品，二代三軸。
HCH_012_072_000163	四品、五品、六品、七品，一代二軸。
HCH_012_072_000164	八品以下流內官，本身一軸。
HCH_012_072_000165	一品軸以玉，二品軸以犀，三品、四品軸以鋈金，五品以下軸以角。
HCH_012_072_000166	曾祖、祖、父皆如其子孫官。
HCH_012_072_000167	公、侯、伯視一品。
HCH_012_072_000168	外內命婦視夫若子之品。
HCH_012_072_000169	生曰封，死曰贈。
HCH_012_072_000170	若先有罪譴則停給。
HCH_012_072_000171	文之散階四十有二，以曆考為差。
HCH_012_072_000172	正一品，初授特進榮祿大夫，升授特進光祿大夫。
HCH_012_072_000173	從一品，初授榮祿大夫，升授光祿大夫。
HCH_012_072_000174	正二品，初授資善大夫，升授資政大夫，加授資德大夫。
