HCH_011_028_000220	於是恣意酣賞，侍妾百餘人，不勝金翠，服玩車馬，皆窮一時之絕。
HCH_011_028_000221	遷爲平西湘東王司馬、新興、永寧二郡太守，卒官。
HCH_011_028_000222	韋放字元直，車騎將軍叡之子。
HCH_011_028_000223	初爲齊晉安王寧朔迎主簿，高祖臨雍州，又召爲主簿。
HCH_011_028_000224	放身長七尺七寸，腰帶八圍，容貌甚偉。
HCH_011_028_000225	天監元年，爲盱眙太守，還除通直郎，尋爲輕車晉安王中兵參軍，遷鎮右始興王諮議參軍，以父憂去職。
HCH_011_028_000226	服闋，襲封永昌縣侯，出爲輕車南平王長史、襄陽太守。
HCH_011_028_000227	轉假節、明威將軍、竟陵太守。
HCH_011_028_000228	在郡和理，爲吏民所稱。
HCH_011_028_000229	六年，大舉北伐，以放爲貞威將軍，與胡龍牙會曹仲宗進軍。
HCH_011_028_000230	七年，夏侯亶攻黎漿不克，高祖復使帥軍自北道會壽春城。
HCH_011_028_000231	尋遷雲麾南康王長史、尋陽太守。
HCH_011_028_000232	放累爲籓佐，並著聲績。
HCH_011_028_000233	普通八年，高祖遣兼領軍曹仲宗等攻渦陽，又以放爲明威將軍，帥師會之。
HCH_011_028_000234	魏大將費穆帥衆奄至，放軍營未立，麾下止有二百餘人。
HCH_011_028_000235	放從弟洵驍果有勇力，一軍所仗，放令洵單騎擊刺，屢折魏軍，洵馬亦被傷不能進，放胄又三貫流矢。
HCH_011_028_000236	衆皆失色，請放突去。
HCH_011_028_000237	放厲聲叱之曰：「今日唯有死耳。」
HCH_011_028_000238	乃免胄下馬，據胡床處分。
HCH_011_028_000239	於是士皆殊死戰，莫不一當百。
HCH_011_028_000240	魏軍遂退，放逐北至渦陽。
HCH_011_028_000241	魏又遣常山王元昭、大將軍李獎、乞佛寶、費穆等衆五萬來援，放率所督將陳度、趙伯超等夾擊，大破之。
HCH_011_028_000242	渦陽城主王緯以城降。
HCH_011_028_000243	放乃登城，簡出降口四千二百人，器仗充牣；又遣降人三十，分報李獎、費穆等。
HCH_011_028_000244	魏人棄諸營壘，一時奔潰，衆軍乘之，斬獲略盡。
HCH_011_028_000245	擒穆弟超，並王緯送於京師。
HCH_011_028_000246	還爲太子右衛率，轉通直散騎常侍。
HCH_011_028_000247	出爲持節、督梁南秦二州諸軍事、信武將軍、梁南秦二州刺史。
HCH_011_028_000248	中大通二年，徙督北徐州諸軍事、北徐州刺史，增封四百戶，持節、將軍如故。
HCH_011_028_000249	在鎮三年，卒，時年五十九。
HCH_011_028_000250	諡曰宜侯。
HCH_011_028_000251	放性弘厚篤實，輕財好施，于諸弟尤雍睦。
HCH_011_028_000252	每將遠別及行役初還，常同一室臥起，時稱爲「三姜」。
HCH_011_028_000253	初，放與吳郡張率皆有側室懷孕，因指爲婚姻。
HCH_011_028_000254	其後各產男女，未及成長而率亡，遺嗣孤弱，放常贍卹之。
HCH_011_028_000255	及爲北徐州，時有勢族請姻者，放曰：「吾不失信於故友。」
HCH_011_028_000256	乃以息岐娶率女，又以女適率子，時稱放能篤舊。
HCH_011_028_000257	長子粲嗣，別有傳。
HCH_011_028_000258	史臣曰：裴邃之詞采早著，兼思略沉深，夏侯稟之好學辯給，夔之奢豪愛士，韋放之弘厚篤行，並遇主逢時，展其才用矣。
HCH_011_028_000259	及牧州典郡，破敵安邊，咸著功績，允文武之任，蓋梁室之名臣歟。
HCH_011_028_000260	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
