HCH_012_029_000321	崇禎元年，西安有火如碾如鬥者數十，色青，焰高尺許，嘗入民居，留數日乃去。
HCH_012_029_000322	用羊豕禳之，不爲害，自五月至七月而止。
HCH_012_029_000323	十三年六月壬申，鎮安火光如斛，自西墜地，士木皆焦。
HCH_012_029_000324	成化十三年二月甲午，浙江山陰涌泉如血。
HCH_012_029_000325	正德元年正月乙酉夜，崇明空中有紅光，曳尾如虹，起東北至西南沒，聲如雷。
HCH_012_029_000326	辛丑，鳳陽紅光發，與日同色，聲如雷。
HCH_012_029_000327	二年八月己亥，赤光見寧夏，長五丈。
HCH_012_029_000328	八年七月甲申，龍泉有赤彈二，自空隕於縣治，形如鵝卵，躍入民居，相鬥久之。
HCH_012_029_000329	嘉靖三十三年四月戊子，慈溪民家涌血高尺餘。
HCH_012_029_000330	三十七年五月戊辰，東陽民張思齊家地裂五六處，出血如線，高尺許。
HCH_012_029_000331	血凝，犬就食之，掘地無所見。
HCH_012_029_000332	三十九年二月己未，竹溪民家出血。
HCH_012_029_000333	隆慶六年閏二月癸酉，遼東赤風揚塵蔽天。
HCH_012_029_000334	萬曆六年七月丁丑，鬆門衛金鐺家涌血三尺，有聲。
HCH_012_029_000335	十三年四月乙丑，虹民王祿投宿姚壘家，見血出於地，驚走至市，市亦流血。
HCH_012_029_000336	鄉人擊器物噪之，乃止。
HCH_012_029_000337	十九年六月庚戌，慈溪茅家浦涌血八處，大如盆，高尺許。
HCH_012_029_000338	血濺船，船即出血，濺人足，足亦出血，數刻乃絕。
HCH_012_029_000339	二十六年九月甲辰，蕭山賈九經家出血，高尺許。
HCH_012_029_000340	天啓元年六月庚寅，肇慶民王體積中庭噴血，如跑突泉。
HCH_012_029_000341	崇禎七年二月戊午，海豐雨血。
HCH_012_029_000342	八年八月戊寅，宣城池中出血。
HCH_012_029_000343	《洪範》曰：「木曰曲直。」
HCH_012_029_000344	木不曲直，則失其性矣。
HCH_012_029_000345	前史多以恆雨、狂人、服妖、雞禍、鼠孽、木冰、木妖、青眚青祥皆屬之木，今從之。
HCH_012_029_000346	洪武十三年七月，海康大雨，壞縣治。
HCH_012_029_000347	二十三年十一月，山東二十九州縣久雨，傷麥禾。
HCH_012_029_000348	建文元年三月乙卯夜，燕王營於蘇家橋，大雨，平地水三尺，及王臥榻。
HCH_012_029_000349	永樂元年三月，京師霪雨，壞城西南隅五十餘丈。
HCH_012_029_000350	七月，建寧衛霪雨壞城。
HCH_012_029_000351	二年七月，新安衛霪雨壞城。
HCH_012_029_000352	八月，霪雨壞北京城五千餘丈。
HCH_012_029_000353	六年七月，思明霪雨壞城。
HCH_012_029_000354	七年九月，浙江衛所五，颶風驟雨，壞城，漂流房舍。
HCH_012_029_000355	八年七月，金鄉衛颶風驟雨，壞城垣公廨。
HCH_012_029_000356	十二年九月，密雲後衛霪雨壞城。
HCH_012_029_000357	二十年正月，信豐雨水壞城，瞿城衛如之。
HCH_012_029_000358	二十一年二月，六安衛霪雨壞城。
HCH_012_029_000359	是歲，建昌守禦所，淮安、懷來等衛，皆霪雨壞城。
HCH_012_029_000360	二十二年二月，壽州衛雨水壞城。
HCH_012_029_000361	三月，贛州、振武二衛雨水壞城。
HCH_012_029_000362	四月，霪雨壞密雲及薊州城。
HCH_012_029_000363	是歲，南、北畿、山東州縣，霪雨傷麥禾甚衆。
HCH_012_029_000364	洪熙元年夏，蘇、鬆、嘉、湖積雨傷稼。
HCH_012_029_000365	閏七月，京師大雨，壞正陽、齊化、順成等門城垣。
HCH_012_029_000366	九月，久雨壞密雲中衛城。
HCH_012_029_000367	宣德元年五月，永嘉、樂清颶風急雨，壞公私廨宇及壇廟。
HCH_012_029_000368	正統元年七月，順天、山東、河南、廣東霪雨傷稼。
HCH_012_029_000369	四年夏，居庸關及定州衛霪雨壞城。
HCH_012_029_000370	五年二月，南京大風雨，壞北上門脊，覆官民舟。
HCH_012_029_000371	七年，濟南、青、萊、淮、鳳、徐州，五月至六月霪雨傷稼。
HCH_012_029_000372	九年閏七月，野狐嶺等處霪雨壞城及濠塹墩臺。
HCH_012_029_000373	十一年春，江西七府十六縣霪雨，田禾淹沒。
HCH_012_029_000374	十二年六月，瑞金霪雨，市水丈餘，漂倉庫，溺死二百餘人。
HCH_012_029_000375	十三年四月，雨水壞順天古北口邊倉。
