HCH_012_007_000168	乙巳，詔罷不便於民及不急諸務，蠲十七年以前逋賦，免去年被災田糧。
HCH_012_007_000169	己酉，萬壽節，以三殿災止賀。
HCH_012_007_000170	癸丑，蹇義等二十六人巡行天下，安撫軍民。
HCH_012_007_000171	五月乙丑，出建言給事中柯暹，御史何忠、鄭維桓、羅通等為知州。
HCH_012_007_000172	庚寅，令交阯屯田。
HCH_012_007_000173	秋七月己巳，帝將北征，敕都督朱榮領前鋒，安遠侯柳升領中軍，寧陽侯陳懋領御前精騎，永順伯薛斌、恭順伯吳克忠領馬隊，武安侯鄭亨、陽武侯薛祿領左右哨，英國公張輔、成山侯王通領左右掖。
HCH_012_007_000174	八月辛卯朔，日有食之。
HCH_012_007_000175	冬十一月辛酉，分遣中官楊實、御史戴誠等覈天下庫藏出納之數。
HCH_012_007_000176	丙子，議北征軍餉，下戶部尚書夏原吉、刑部尚書吳中於獄，兵部尚書方賓自殺。
HCH_012_007_000177	辛巳，下侍讀李時勉於獄。
HCH_012_007_000178	甲申，發直隸、山西、河南、山東及南畿應天等五府，滁、和、徐三州丁壯運糧，期明年二月至宣府。
HCH_012_007_000179	是年，瓦剌賢義王太平、安樂王把禿孛羅來朝。
HCH_012_007_000180	忽魯謨斯、阿丹、祖法兒、剌撒、不剌哇、木骨都束、古里、柯枝、加異勒、錫蘭山、溜山、南渤利、蘇門答剌、阿魯、滿剌加、甘巴里、蘇祿、榜葛剌、浡泥、古麻剌朗王入貢。
HCH_012_007_000181	暹羅入貢者再。
HCH_012_007_000182	二十年春正月己未朔，日有食之，免朝賀，詔羣臣修省。
HCH_012_007_000183	辛未，大祀天地於南郊。
HCH_012_007_000184	壬申，豐城侯李彬卒於交阯。
HCH_012_007_000185	二月乙巳，隆平侯張信、兵部尚書李慶分督北征軍餉，役民夫二十三萬五千有奇，運糧三十七萬石。
HCH_012_007_000186	三月丙寅，詔有司遇災先振後聞。
HCH_012_007_000187	乙亥，阿魯台犯興和，都指揮王喚戰死。
HCH_012_007_000188	丁丑，親征阿魯台，皇太子監國。
HCH_012_007_000189	戊寅，發京師。
HCH_012_007_000190	辛巳，次雞鳴山，阿魯台遁。
HCH_012_007_000191	夏四月乙卯，次雲州，大閱。
HCH_012_007_000192	五月乙丑，獵於偏嶺。
HCH_012_007_000193	丁卯，大閱。
HCH_012_007_000194	辛未，次西涼亭。
HCH_012_007_000195	壬申，大閱。
HCH_012_007_000196	乙酉，次開平。
HCH_012_007_000197	六月壬辰，令軍行出應昌，結方陣以進。
HCH_012_007_000198	癸巳，諜報阿魯台兵攻萬全，諸將請分兵還擊，帝曰：「詐也。彼慮大軍搗其巢穴，欲以牽制我師，敢攻城哉。」
HCH_012_007_000199	甲午，次陽和谷，寇攻萬全者果遁去。
HCH_012_007_000200	秋七月己未，阿魯台棄輜重於闊欒海側北遁，發兵焚之，收其牲畜，遂旋師。
HCH_012_007_000201	謂諸將曰：「阿魯台敢悖逆，恃兀良哈為羽翼也。當還師翦之。」
HCH_012_007_000202	簡步騎二萬，分五道並進。
HCH_012_007_000203	庚午，遇於屈裂兒河，帝親擊敗之，追奔三十里，斬部長數十人。
HCH_012_007_000204	辛未，徇河西，捕斬甚眾。
HCH_012_007_000205	甲戌，兀良哈餘黨詣軍門降。
