HCH_012_147_000237	西域僧大寶法王來朝，帝將刻玉印賜之，以璞示淮。
HCH_012_147_000238	淮曰：「朝廷賜諸番制敕，用『敕命』、『廣運』二寶。今此玉較大，非所以示遠人、尊朝廷。」
HCH_012_147_000239	帝嘉納。
HCH_012_147_000240	其獻替類如此。
HCH_012_147_000241	然量頗隘。
HCH_012_147_000242	同列有小過，輒以聞。
HCH_012_147_000243	或謂解縉之謫，淮有力焉。
HCH_012_147_000244	其見疏於宣宗也，亦謂楊榮言「淮病瘵，能染人」云。
HCH_012_147_000245	胡廣，字光大，吉水人。
HCH_012_147_000246	父子祺，名壽昌，以字行。
HCH_012_147_000247	陳友諒陷吉安，太祖遣兵復之，將殺脅從者千餘人。
HCH_012_147_000248	子祺走謁帥，力言不可，得免。
HCH_012_147_000249	洪武三年，以文學選為御史，上書請都關中。
HCH_012_147_000250	帝稱善，遣太子巡視陝西。
HCH_012_147_000251	後以太子薨，不果。
HCH_012_147_000252	子祺出為廣西按察僉事，改知彭州。
HCH_012_147_000253	所至平冤獄，毀淫祀，修廢堰，民甚德之。
HCH_012_147_000254	遷延平知府，卒於任。
HCH_012_147_000255	廣，其次子也。
HCH_012_147_000256	建文二年，廷試。
HCH_012_147_000257	時方討燕，廣對策有「親籓陸梁，人心搖動」語，帝親擢廣第一，賜名靖，授翰林修撰。
HCH_012_147_000258	成祖即位，廣偕解縉迎附。
HCH_012_147_000259	擢侍講，改侍讀，復名廣。
HCH_012_147_000260	遷右春坊右庶子。
HCH_012_147_000261	永樂五年，進翰林學士，兼左春坊大學士。
HCH_012_147_000262	帝北征，與楊榮、金幼孜從。
HCH_012_147_000263	數召對帳殿，或至夜分。
HCH_012_147_000264	過山川厄塞，立馬議論，行或稍後，輒遣騎四齣求索。
HCH_012_147_000265	嘗失道，脫衣乘驏馬渡河，水沒馬及腰以上，帝顧勞良苦。
HCH_012_147_000266	廣善書，每勒石，皆命書之。
HCH_012_147_000267	十二年再北征，皇長孫從，命廣與榮、幼孜軍中講經史。
HCH_012_147_000268	十四年，進文淵閣大學士，兼職如故。
HCH_012_147_000269	帝征烏思藏僧作法會，為高帝、高後薦福，言見諸祥異。
HCH_012_147_000270	廣乃獻《聖孝瑞應頌》，帝綴為佛曲，令宮中歌舞之。
HCH_012_147_000271	禮部郎中周訥請封禪，廣言其不可，遂不許。
HCH_012_147_000272	廣上《卻封禪頌》，帝益親愛之。
HCH_012_147_000273	廣性縝密。
HCH_012_147_000274	帝前所言及所治職務，出未嘗告人。
HCH_012_147_000275	時人以方漢胡廣。
HCH_012_147_000276	然頗能持大體。
HCH_012_147_000277	奔母喪還朝，帝問百姓安否。
HCH_012_147_000278	對曰：「安，但郡縣窮治建文時奸黨，株及支親，為民厲。」
HCH_012_147_000279	帝納其言。
HCH_012_147_000280	十六年五月卒，年四十九。
HCH_012_147_000281	贈禮部尚書，諡文穆。
HCH_012_147_000282	文臣得諡，自廣始。
HCH_012_147_000283	喪還，過南京，太子為致祭。
HCH_012_147_000284	明年，官其子穜翰林檢討。
HCH_012_147_000285	仁宗立，加贈廣少師。
HCH_012_147_000286	金幼孜，名善，以字行，新淦人。
HCH_012_147_000287	建文二年進士。
HCH_012_147_000288	授戶科給事中。
HCH_012_147_000289	成祖即位，改翰林檢討，與解縉等同直文淵閣，遷侍講。
HCH_012_147_000290	時翰林坊局臣講書東宮，皆先具經義，閣臣閱正，呈帝覽，乃進講。
HCH_012_147_000291	解縉《書》，楊士奇《易》，胡廣《詩》，幼孜《春秋》，因進《春秋要旨》三卷。
HCH_012_147_000292	永樂五年，遷右諭德兼侍講，因諭吏部，直內閣諸臣胡廣、金幼孜等考滿，勿改他任。
HCH_012_147_000293	七年從幸北京。
HCH_012_147_000294	明年北征，幼孜與廣、榮扈行，駕駐清水源，有泉涌出。
HCH_012_147_000295	幼孜獻銘，榮獻詩，皆勞以上尊。
HCH_012_147_000296	帝重幼孜文學，所過山川要害，輒命記之。
HCH_012_147_000297	幼孜據鞍起草立就。
HCH_012_147_000298	使自瓦剌來，帝召幼孜等傍輿行，言敵中事，親倚甚。
HCH_012_147_000299	嘗與廣、榮及侍郎金純失道陷谷中。
HCH_012_147_000300	暮夜，幼孜墜馬，廣、純去不顧。
HCH_012_147_000301	榮為結鞍行，行又輒墜，榮乘以己騎，明日始達行在所。
HCH_012_147_000302	是夜，帝遣使十餘輩跡榮、幼孜，不獲。
HCH_012_147_000303	比至，帝喜動顏色。
HCH_012_147_000304	自後北征皆從，所撰有北征前、後二《錄》。
HCH_012_147_000305	十二年命與廣、榮等纂《五經四書性理大全》，遷翰林學士。
HCH_012_147_000306	十八年與榮併進文淵閣大學士。
HCH_012_147_000307	二十二年從北征，中道兵疲。
HCH_012_147_000308	帝以問群臣，莫敢對，惟幼孜言不宜深入，不聽。
HCH_012_147_000309	次開平，帝謂榮、幼孜曰：「朕夢神人語上帝好生者再，是何祥也？」
HCH_012_147_000310	榮、幼孜對曰：「陛下此舉，固在除暴安民。然火炎昆岡，玉石俱毀，惟陛下留意。」
HCH_012_147_000311	帝然之，即命草詔，招諭諸部。
HCH_012_147_000312	還軍至榆木川，帝崩。
HCH_012_147_000313	秘不發喪。
HCH_012_147_000314	榮訃京師，幼孜護梓宮歸。
HCH_012_147_000315	仁宗即位，拜戶部右侍郎兼文淵閣大學士。
HCH_012_147_000316	尋加太子少保兼武英殿大學士。
HCH_012_147_000317	是年十月命幼孜、榮、士奇會錄罪囚於承天門外。
HCH_012_147_000318	詔法司，錄重囚必會三學士，委寄益隆。
HCH_012_147_000319	帝御西角門閱廷臣制誥，顧三學士曰：「汝三人及蹇、夏二尚書，皆先帝舊臣，朕方倚以自輔。嘗見前代人主惡聞直言，雖素所親信，亦畏威順旨，緘默取容。賢良之臣，言不見聽，退而杜口。朕與卿等當深用為戒。」
HCH_012_147_000320	因取五人誥詞，親增二語云：「勿謂崇高而難入，勿以有所從違而或怠。」
HCH_012_147_000321	幼孜等頓首稱謝。
HCH_012_147_000322	洪熙元年進禮部尚書兼大學士、學士如故，並給三俸。
HCH_012_147_000323	尋乞歸省母。
HCH_012_147_000324	明年，母卒。
HCH_012_147_000325	宣宗立，詔起復，修兩朝實錄，充總裁官。
HCH_012_147_000326	三年持節寧夏，冊慶府郡王妃。
HCH_012_147_000327	所過詢兵民疾苦，還奏之。
HCH_012_147_000328	帝嘉納焉。
HCH_012_147_000329	從巡邊，度雞鳴山。
HCH_012_147_000330	帝曰：「唐太宗恃其英武征遼，嘗過此山。」
HCH_012_147_000331	幼孜對曰：「太宗尋悔此役，故建憫忠閣。」
HCH_012_147_000332	帝曰：「此山崩於元順帝時，為元亡征。」
HCH_012_147_000333	對曰：「順帝亡國之主，雖山不崩，國亦必亡。」
HCH_012_147_000334	宣德六年十二月卒。
HCH_012_147_000335	年六十四。
HCH_012_147_000336	贈少保，諡文靖。
HCH_012_147_000337	幼孜簡易靜默，寬裕有容。
HCH_012_147_000338	眷遇雖隆，而自處益謙。
HCH_012_147_000339	名其宴居之室曰「退庵」。
HCH_012_147_000340	疾革時，家人囑請身後恩，不聽，曰：「此君子所恥也。」
HCH_012_147_000341	胡儼，字若思，南昌人。
HCH_012_147_000342	少嗜學，於天文、地理、律歷、醫卜無不究覽。
HCH_012_147_000343	洪武中以舉人授華亭教諭，能以師道自任。
HCH_012_147_000344	母憂，服除，改長垣，乞便地就養，復改余干。
HCH_012_147_000345	學官許乞便地自儼始。
HCH_012_147_000346	建文元年，薦授桐城知縣。
HCH_012_147_000347	鑿桐陂水，溉田為民利。
HCH_012_147_000348	縣有虎傷人。
HCH_012_147_000349	儼齋沐告於神，虎遁去。
HCH_012_147_000350	桐人祀之硃邑祠。
HCH_012_147_000351	四年，副都御史練子寧薦於朝曰：「儼學足達天人，智足資帷幄。」
HCH_012_147_000352	比召至，燕師已渡江。
HCH_012_147_000353	成祖即位，曰：「儼知天文，其令欽天監試。」
HCH_012_147_000354	既試，奏儼實通象緯、氣候之學。
HCH_012_147_000355	尋又以解縉薦，授翰林檢討，與縉等俱直文淵閣，遷侍講，進左庶子。
HCH_012_147_000356	父喪，起復。
HCH_012_147_000357	儼在閣，承顧問，嘗不欲先人，然少戇。
HCH_012_147_000358	永樂二年九月，拜國子監祭酒，遂不預機務。
HCH_012_147_000359	時用法嚴峻，國子生托事告歸者坐戍邊。
HCH_012_147_000360	儼至，即奏除之。
HCH_012_147_000361	七年，帝幸北京，召儼赴行在。
