HCH_009_079_000146	累官知鎮戎軍兼安撫使，屢從吳玠、張浚以兵拒大軍。
HCH_009_079_000147	浚走巴蜀，中孚權帥事。
HCH_009_079_000148	天會八年，睿宗以左副元帥次涇州，中孚率其將吏來降，睿宗以為鎮洮軍節度使知渭州，兼涇原路經略安撫使。
HCH_009_079_000149	齊國建，以什一法括民田，籍丁壯為鄉軍。
HCH_009_079_000150	中孚以為涇原地瘠無良田，且保甲之法行之已習，今遽紛更，人必逃徙，只見其害，未見其利也。
HCH_009_079_000151	竟執不行。
HCH_009_079_000152	時齊政甚急，莫敢違，人為中孚懼，而中孚不之顧。
HCH_009_079_000153	未幾齊國廢，一路獨免掊克之患。
HCH_009_079_000154	天眷初，為陝西諸路節制使知京兆府，朝廷賜地江南，中孚遂入宋。
HCH_009_079_000155	宗弼再定河南、陝西，移文宋人，使歸中孚。
HCH_009_079_000156	至汴，就除行台兵部尚書，遷除參知行台尚書省事。
HCH_009_079_000157	明年，拜參知政事。
HCH_009_079_000158	貞元元年，遷尚書左丞，封南陽郡王。
HCH_009_079_000159	三年，以疾告老，乃為濟南尹，加開府儀同三司，封宿王。
HCH_009_079_000160	移南京留守，又進封崇王。
HCH_009_079_000161	卒，年五十九，加贈鄧王。
HCH_009_079_000162	中孚天性孝友剛毅，與弟中彥居，未嘗有間言。
HCH_009_079_000163	喜讀書，頗能書翰。
HCH_009_079_000164	其禦士卒嚴而有恩，西人尤畏愛之。
HCH_009_079_000165	葬之日，老稚扶柩流涕蓋數萬人，至為罷市，其得西人之望如此。
HCH_009_079_000166	正隆例封崇進、原國公。
HCH_009_079_000167	張中彥，字才甫，中孚弟。
HCH_009_079_000168	少以父任仕宋，為涇原副將，知德順軍事。
HCH_009_079_000169	睿宗經略陝西，中彥降，除招撫使。
HCH_009_079_000170	從下熙、河、階、成州，授彰武軍承宣使，為本路兵馬鈐轄，遷都總管。
HCH_009_079_000171	宋將關師古圍鞏州，與秦鳳李彥琦會兵攻之。
HCH_009_079_000172	王師下饒風關，得金、洋諸州，以中彥領興元尹，撫輯新附。
HCH_009_079_000173	師還，代彥琦為秦鳳經略使。
HCH_009_079_000174	秦州當要衝而城不可守，中彥徙治北山，因險為壘，今秦州是也。
HCH_009_079_000175	築臘家諸城，以扼蜀道。
HCH_009_079_000176	帥秦凡十年，改涇原路經略使知平涼府。
HCH_009_079_000177	朝廷以河南、陝西賜宋，中孚以官守隨例當留關中。
HCH_009_079_000178	熙河經略使慕洧謀入夏，將窺關、陝，中彥與環慶趙彬會兩路兵討之，洧敗入于夏。
HCH_009_079_000179	中彥與兄中孚俱至臨安，被留，以為龍神衛四廂都指揮使，清遠軍承宣使，提舉佑神觀，靖海軍節度使。
HCH_009_079_000180	皇統初，恢復河南，詔征中彥兄弟北歸，為靜難軍節度使，曆彰化軍、鳳翔尹，改尹慶陽，兼慶原路兵馬都總管、甯州刺史。
HCH_009_079_000181	宗室宗淵毆死僚佐梁鬱。
HCH_009_079_000182	鬱遠人，家貧無能赴告者。
HCH_009_079_000183	中彥力為正其罪，竟置於法。
HCH_009_079_000184	改彰德軍節度使，均賦調法，奸豪無所蔽匿，人服其明。
HCH_009_079_000185	正隆營汴京新宮，中彥采運關中材木。
HCH_009_079_000186	青峰山巨木最多，而高深阻絕，唐、宋以來不能致。
HCH_009_079_000187	中彥使構崖駕壑，起長橋十數裏，以車運木，若行平地，開六盤山水洛之路，遂通汴梁。
HCH_009_079_000188	明年，作河上浮梁，複領其役。
HCH_009_079_000189	舟之始制，匠者未得其法，中彥手制小舟才數寸許，不假膠漆而首尾自相鉤帶，謂之「鼓子卯」，諸匠無不駭服，其智巧如此。
HCH_009_079_000190	浮梁巨艦畢功，將發旁郡民曳之就水。
HCH_009_079_000191	中彥召役夫數十人，治地勢順下傾瀉於河，取新秫秸密佈於地，複以大木限其旁，淩晨督眾乘霜滑曳之，殊不勞力而致諸水。
HCH_009_079_000192	俄遷平陽。
