HCH_012_265_000116	有攻東林之人，雖為崔、魏所借，而勁節不阿，或遠或逐者，亦正人也。
HCH_012_265_000117	以崔、魏定邪正，猶以明鏡別妍媸。
HCH_012_265_000118	維垣不取證於此，而安取證哉！
HCH_012_265_000119	總之東林之取憎於逆珰獨深，其得禍獨酷。
HCH_012_265_000120	在今日當曲原其被抑之苦，不當毛舉其尺寸之瑕。
HCH_012_265_000121	乃歸逆珰以首功，代逆珰而分謗，斯亦不善立論者矣。
HCH_012_265_000122	疏入，柄國者以互相詆訾兩解之。
HCH_012_265_000123	當是時，元兇雖殛，其徒黨猶盛，無敢頌言東林者。
HCH_012_265_000124	自元璐疏出，清議漸明，而善類亦稍登進矣。
HCH_012_265_000125	元璐尋進侍講。
HCH_012_265_000126	其年四月，請毀《三朝要典》，言：「梃擊、紅丸、移宮三議，哄於清流，而《三朝要典》一書，成於逆豎。其議可兼行，其書必當速毀。蓋當事起議興，盈廷互訟。主梃擊者力護東宮，爭梃擊者計安神祖。主紅丸者仗義之言，爭紅丸者原情之論。主移宮者弭變於幾先，爭移宮者持平於事後。數者各有其是，不可偏非。總在逆珰未用之先，雖甚水火，不害塤篪，此一局也。既而楊漣二十四罪之疏發，魏廣微此輩門戶之說興，於是逆珰殺人則借三案，群小求富貴則借三案。經此二借，而三案全非矣。故凡推慈歸孝於先皇，正其頌德稱功於義父，又一局也。網已密而猶疑有遺鱗，勢已重而或憂其翻局。崔、魏諸奸始創立私編，標題《要典》，以之批根今日，則眾正之黨碑；以之免死他年，即上公之鐵券。又一局也。由此而觀，三案者，天下之公議；《要典》者，魏氏之私書。三案自三案，《要典》自《要典》也。今為金石不刊之論者，誠未深思。臣謂翻即紛囂，改亦多事，惟有毀之而已。」
HCH_012_265_000127	帝命禮部會詞臣詳議。
HCH_012_265_000128	議上，遂焚其板。
HCH_012_265_000129	侍講孫之獬，忠賢黨也，聞之，詣閣大哭，天下笑之。
HCH_012_265_000130	元璐歷遷南京司業、右中允。
HCH_012_265_000131	四年，進右諭德，充日講官，進右庶子。
HCH_012_265_000132	上制實八策：曰間插部，曰繕京邑，曰優守兵，曰靖降人，曰益寇餉，曰儲邊才，曰奠輦轂，曰嚴教育。
HCH_012_265_000133	又上制虛八策：曰端政本，曰伸公議，曰宣義問，曰一條教，曰慮久遠，曰昭激勸，曰勵名節，曰假體貌。
HCH_012_265_000134	其端政本，悉規切溫體仁；其伸公議，則詆張捷薦呂純如謀翻逆案事。
HCH_012_265_000135	捷大怒，上疏力攻，元璐疏辨，帝俱不問。
HCH_012_265_000136	八年，遷國子祭酒。
HCH_012_265_000137	元璐雅負時望，位漸通顯。
HCH_012_265_000138	帝意向之，深為體仁所忌。
HCH_012_265_000139	一日，帝手書其名下閣，令以履歷進，體仁益恐。
HCH_012_265_000140	會誠意伯劉孔昭謀掌戎政，體仁餌孔昭使攻元璐，言其妻陳尚存，而妾王冒繼配復封，敗禮亂法。
HCH_012_265_000141	詔下吏部核奏，其同里尚書姜逢元，侍郎王業浩、劉宗周及其從兄御史元珙，鹹言陳氏以過被出，繼娶王非妾，體仁意沮。
HCH_012_265_000142	會部議行撫按勘奏，即擬旨云：「登科錄二氏並列，罪跡顯然，何待行勘。」
HCH_012_265_000143	遂落職閑住。
HCH_012_265_000144	孔昭京營不可得，遂以南京操江償之。
HCH_012_265_000145	十五年九月，詔起兵部右侍郎兼侍讀學士。
HCH_012_265_000146	明年春抵都，陳制敵機宜，帝喜。
HCH_012_265_000147	五月，超拜戶部尚書兼翰林院學士，仍充日講官。
HCH_012_265_000148	祖制，浙人不得官戶部。
HCH_012_265_000149	元璐辭，不許。
HCH_012_265_000150	帝眷元璐甚，五日三賜對。
HCH_012_265_000151	因奏：「陛下誠用臣，臣請得參兵部謀。」
HCH_012_265_000152	帝曰：「已諭樞臣，令與卿協計。」
HCH_012_265_000153	當是時，馮元飆為兵部，與元璐同誌，鉤考兵食，中外想望治平。
HCH_012_265_000154	惟帝亦以用兩人晚，而時事益不可為，左支右詘，既已無可奈何。
HCH_012_265_000155	故事，諸邊餉司悉中差，元璐請改為大差，兼兵部銜，令清核軍伍，不稱職者即遣人代之。
HCH_012_265_000156	先是，屢遣科臣出督四方租賦，元璐以為擾民無益，罷之，而專責撫按。
HCH_012_265_000157	戶部侍郎莊祖誨督剿寇餉，憂為盜劫，遠避之長沙、衡州。
HCH_012_265_000158	元璐請令督撫自催，毋煩朝使。
HCH_012_265_000159	自軍興以來，正供之外，有邊餉，有新餉，有練餉，款目多，黠吏易為奸，元璐請合為一。
HCH_012_265_000160	帝皆報可。
HCH_012_265_000161	時國用益詘，而災傷蠲免又多。
HCH_012_265_000162	元璐計無所出，請開贖罪例，且令到官滿歲者，得輸貲給封誥。
HCH_012_265_000163	帝亦從之。
HCH_012_265_000164	先是，有崇明人沈廷揚者，獻海運策，元璐奏聞。
HCH_012_265_000165	命試行，乃以廟灣船六艘聽運進。
HCH_012_265_000166	月餘，廷揚見元璐，元璐驚曰：「我已奏聞上，謂公去矣，何在此？」
HCH_012_265_000167	廷揚曰：「已去復來矣，運已至。」
HCH_012_265_000168	元璐又驚喜聞上。
HCH_012_265_000169	上亦喜，命酌議。
HCH_012_265_000170	乃議歲糧艘，漕與海各相半行焉。
HCH_012_265_000171	十月，命兼攝吏部事。
HCH_012_265_000172	陳演忌元璐，風魏藻德言於帝曰：「元璐書生，不習錢穀。」
HCH_012_265_000173	元璐亦數請解職。
HCH_012_265_000174	十七年二月，命以原官專直日講。
HCH_012_265_000175	逾月，李自成陷京師，元璐整衣冠拜闕，大書幾上曰：「南都尚可為。死，吾分也，勿以衣衾斂。暴我屍，聊誌吾痛。」
HCH_012_265_000176	遂南向坐，取帛自縊而死。
HCH_012_265_000177	贈少保，吏部尚書，謚文正。
HCH_012_265_000178	本朝賜謚文正。
HCH_012_265_000179	李邦華，字孟暗，吉水人。
HCH_012_265_000180	受業同里鄒元標，與父廷諫同舉萬歷三十一年鄉試。
HCH_012_265_000181	父子自相鏃礪，布衣徒步赴公車。
HCH_012_265_000182	明年，邦華成進士，授涇縣知縣，有異政。
HCH_012_265_000183	行取，擬授御史。
HCH_012_265_000184	值黨論初起，朝士多詆顧憲成，邦華與相拄，遂指目邦華東林。
HCH_012_265_000185	以是，越二年而後拜命，陳法祖用人十事：曰內閣不當專用詞臣，曰詞臣不當專守館局，曰詞臣不當教習內書堂，曰六科都給事中不當內外間阻，曰御史升遷不當概論考滿，曰吏部乞假不當積至正郎，曰關倉諸差不當專用舉貢任子，曰調簡推知不當驟遷京秩，曰進士改教不當概從內轉，曰邊方州縣不當盡用鄉貢。
HCH_012_265_000186	疏上，不報。
HCH_012_265_000187	四十一年，福王之藩已有期，忽傳旨莊田務足四萬頃。
HCH_012_265_000188	廷臣相顧愕眙，計田數必不足，則期將復更，然無敢抗言爭之者。
HCH_012_265_000189	邦華首疏諫，廷臣乃相繼爭，期得毋易。
HCH_012_265_000190	巡視銀庫，上祛弊十事，中貴不便，格不行。
HCH_012_265_000191	巡按浙江，織造中官劉成死，命歸其事於有司，別遣中官呂貴錄成遺貲。
HCH_012_265_000192	貴族奸民紀光詭稱機戶，詣闕保留貴代成督造。
HCH_012_265_000193	邦華極論二人交關作奸罪。
HCH_012_265_000194	光疏不由通政，不下內閣，以中旨行之。
HCH_012_265_000195	邦華三疏爭，皆不報。
HCH_012_265_000196	是時神宗好貨，中官有所進奉，名為孝順。
HCH_012_265_000197	疏中刺及之，並劾左右大奄之黨貴者，於是期滿久不得代。
HCH_012_265_000198	四十四年引疾歸。
HCH_012_265_000199	時群小力排東林，指鄒元標為黨魁。
HCH_012_265_000200	邦華與元標同里，相師友，又性好別黑白。
HCH_012_265_000201	或勸其委蛇，邦華曰：「寧為偏枯之學問，不作反覆之小人。」
HCH_012_265_000202	聞者益嫉之。
HCH_012_265_000203	明年以年例出為山東參議。
HCH_012_265_000204	其父廷諫時為南京刑部郎中，亦罷歸。
HCH_012_265_000205	邦華乃辭疾不赴。
HCH_012_265_000206	天啟元年起故官，飭易州兵備。
HCH_012_265_000207	明年遷光祿少卿，即還家省父。
