HCH_012_168_000001	陳循王文江淵許彬陳文萬安劉珝劉吉尹直陳循，字德遵，泰和人。
HCH_012_168_000414	尋進禮部尚書。
HCH_012_168_000415	孝宗出閤，加太子少保兼文淵閣大學士。
HCH_012_168_000416	十八年遭父喪，詔起復。
HCH_012_168_000417	吉三疏懇辭，而陰屬貴戚萬喜為之地，得不允。
HCH_012_168_000418	《文華大訓》成，加太子太保，進武英殿大學士。
HCH_012_168_000419	久之，進戶部尚書、謹身殿大學士，尋加少保兼太子太傅。
HCH_012_168_000420	孝宗即位，庶吉士鄒智、御史姜洪力詆萬安、尹直及吉皆小人，當斥。
HCH_012_168_000421	吉深銜之。
HCH_012_168_000422	安、直皆去，吉獨留，委寄愈專。
HCH_012_168_000423	慮言者攻不已，乃建議超遷科道官，處以不次之位。
HCH_012_168_000424	詔起廢滯，給事中賀欽、御史強珍輩十人已次第擬擢，吉復上疏薦之。
HCH_012_168_000425	部曹預薦者惟林俊一人，冀以此籠絡言路，而言者猶未息。
HCH_012_168_000426	庶子張升，御史曹璘、歐陽旦，南京給事中方向，御史陳嵩等相繼劾吉。
HCH_012_168_000427	吉憤甚，中升逐之。
HCH_012_168_000428	數興大獄，智、向囚系遠貶，洪亦謫官。
HCH_012_168_000429	復與中官蔣琮比，逐南御史姜綰等，臺署為空。
HCH_012_168_000430	中外側目，言者亦少衰。
HCH_012_168_000431	初，吉與萬安、劉珝在成化時，帝失德，無所規正，時有「紙糊三閣老，泥塑六尚書」之謠。
HCH_012_168_000432	至是見孝宗仁明，同列徐溥、劉健皆正人，而吉於閣臣居首，兩人有論建，吉亦暑名，復時時為正論，竊美名以自蓋。
HCH_012_168_000433	弘治二年二月旱，帝令儒臣撰文禱雨。
HCH_012_168_000434	吉等言：「邇者奸徒襲李孜省、鄧常恩故術，見月宿在畢，天將陰雨，遂奏請祈禱，覬一驗以希進用。倖門一開，爭言祈禱，要寵召禍，實基於此。祝文不敢奉詔。」
HCH_012_168_000435	帝意悟，遂已之。
HCH_012_168_000436	五月以災異請帝修德防微，慎終如始。
HCH_012_168_000437	八月又以災異陳七事。
HCH_012_168_000438	代王獻海青，吉等言登極詔書已卻四方貢獻，乞勿受。
HCH_012_168_000439	明年三月偕同列上言：「陛下聖質清羸，與先帝不同。凡宴樂遊觀，一切嗜好之事，宜悉減省。左右近臣有請如先帝故事者，當以太祖、太宗典故斥退之。祖宗令節宴遊皆有時，陛下法祖宗可也。」
HCH_012_168_000440	土魯番使者貢獅子還，帝令內閣草敕，遣中官送之。
HCH_012_168_000441	吉等言不宜優寵太過，使番戎輕中國。
HCH_012_168_000442	事遂寢。
HCH_012_168_000443	既又言：「獅子諸獸，日飼二羊，歲當用七百二十，又守視校尉日五十人，皆繁費。宜絕諸獸食，聽自斃。」
HCH_012_168_000444	帝不能用。
HCH_012_168_000445	十二月，星變，又言：「邇者妖星出天津，歷杵臼，迫營室，其占為兵，為饑，為水旱。今兩畿、河南、山西、陜西旱蝗；四川、湖廣歲不登。倘明年復然，恐盜賊竊發，禍亂將作。願陛下節用度，罷宴遊，屏讒言，斥異教，留懷經史，講求治道。沙河修橋，江西造瓷器，南海子繕垣墻，俱非急務，宜悉停止。」
HCH_012_168_000446	帝嘉納之。
HCH_012_168_000447	帝惑近習言，頗崇祈禱事，發經牌令閣臣作贊，又令擬神將封號。
HCH_012_168_000448	吉等極言邪說當斥。
HCH_012_168_000449	吉自帝初即位進少傅，兼太子太師，吏部尚書。
HCH_012_168_000450	及《憲宗實錄》成。
HCH_012_168_000451	又進少師、華蓋殿大學士。
HCH_012_168_000452	吉柄政久，權勢烜赫。
HCH_012_168_000453	帝初傾心聽信，後眷頗衰。
HCH_012_168_000454	而吉終無去誌。
HCH_012_168_000455	五年，帝欲封後弟伯爵，命吉撰誥券。
HCH_012_168_000456	吉言必盡封二太后家子弟方可。
HCH_012_168_000457	帝不悅，遣中官至其家，諷令致仕，始上章引退。
HCH_012_168_000458	良賜敕，馳驛如故事。
HCH_012_168_000459	吉多智數，善附會，自緣飾，銳於營私，時為言路所攻。
HCH_012_168_000460	居內閣十八年，人目之為「劉綿花」，以其耐彈也。
HCH_012_168_000461	吉疑其言出下第舉子，因請舉人三試不第者，不得復會試。
HCH_012_168_000462	時適當會試期，舉子已群集都下，禮部為請。
HCH_012_168_000463	詔姑許入試，後如令。
HCH_012_168_000464	已而吉罷，令亦不行。
HCH_012_168_000465	吉歸，逾年卒。
HCH_012_168_000466	贈太師，謚文穆。
HCH_012_168_000467	尹直，字正言，泰和人。
HCH_012_168_000468	景泰五年進士。
HCH_012_168_000469	改庶吉士，授編修。
HCH_012_168_000470	成化初，充經筵講官，與修《英宗實錄》。
HCH_012_168_000471	總裁欲革去景泰帝號，引漢昌邑、更始為比。
HCH_012_168_000472	直辨曰：「《實錄》中有初為大臣，後為軍民者。方居官時，則稱某官某，既罷去而後改稱。如漢府以謀逆降庶人，其未反時，書王書叔如故也。豈有逆計其反，而即降從庶人之號者哉！且昌邑旋立旋廢，景泰帝則為宗廟社稷主七年。更始無所受命，景泰帝則策命於母後。當時定傾危難之中，微帝則京師非國家有。雖易儲失德，然能不惑於盧忠、徐振之言，卒全兩宮，以至今日。其功過足相準，不宜去帝號。」
HCH_012_168_000473	時不能難。
HCH_012_168_000474	既成，進侍讀，歷侍讀學士。
HCH_012_168_000475	六年上疏乞纂修《大明通典》，並續成《宋元綱目》，章下所司。
HCH_012_168_000476	十一年遷禮部右侍郎，辭，不許。
HCH_012_168_000477	丁父憂，服除，起南京吏部右侍郎，就改禮部左侍郎。
HCH_012_168_000478	二十二年春，召佐兵部。
HCH_012_168_000479	占城王古來為安南所逼，棄國來求援。
HCH_012_168_000480	議者欲送之還，直曰：「彼窮來歸，我若驅使還國，是殺之也。宜遣大臣即詢，量宜處置。」
HCH_012_168_000481	詔從之，命都御史屠滽往。
HCH_012_168_000482	貴州鎮巡官奏苗反，請發兵，廷議將從之。
HCH_012_168_000483	直言起釁邀功，不可信。
HCH_012_168_000484	命官往勘，果無警。
HCH_012_168_000485	是年九月改戶部兼翰林學士，入內閣。
HCH_012_168_000486	逾月，進兵部尚書，加太子太保。
HCH_012_168_000487	直明敏博學，練習朝章，而躁於進取。
HCH_012_168_000488	性矜忌，不自檢飭，與吏部尚書尹旻相惡。
HCH_012_168_000489	直初覬禮部侍郎，而旻薦他人。
HCH_012_168_000490	直以中旨得之。
HCH_012_168_000491	次日遇旻於朝，舉笏謝。
HCH_012_168_000492	旻曰：「公所謂簡在帝心者。」
HCH_012_168_000493	自是怨益深。
HCH_012_168_000494	後在南部八年，郁郁不得誌，屬其黨萬安、彭華謀內召，旻輒持不可。
HCH_012_168_000495	諸朝臣亦皆畏直，幸其在南。
HCH_012_168_000496	及推兵部左、右侍郎，吏部列何琮等八人。
HCH_012_168_000497	詔用琮，而直以安、華及李孜省力，中旨召還。
HCH_012_168_000498	至是修怨，與孜省等比。
HCH_012_168_000499	陷旻父子得罪，又構罷江西巡撫閔珪，物論喧然不平。
HCH_012_168_000500	刑部郎袁清者，安私人，又幸於內侍郭閏。
HCH_012_168_000501	勘事浙江，夌轢諸大吏，吏部尚書李裕惡之。
HCH_012_168_000502	比還，即除紹興知府。
HCH_012_168_000503	清懼，累章求改，裕極論其罪，下詔獄。
HCH_012_168_000504	安、閏以屬直，為言於孜省，取中旨赦之，改知鄖陽。
HCH_012_168_000505	孝宗立，進士李文祥，御史湯鼐、姜洪、繆樗，庶吉士鄒智等連章劾直。
HCH_012_168_000506	給事中宋琮及御史許斌言直自初為侍郎以至入閣，夤緣攀附，皆取中旨。
HCH_012_168_000507	帝於是薄其為人，令致仕。
HCH_012_168_000508	弘治九年表賀萬壽，並以太子年當出閤，上《承華箴》，引先朝少保黃淮事，冀召對。
HCH_012_168_000509	帝卻之。
HCH_012_168_000510	正德中卒，謚文和。
HCH_012_168_000511	贊曰：《易》稱內君子外小人，為泰；外君子內小人，為否。
HCH_012_168_000512	況端揆之寄，百僚具瞻者乎！
HCH_012_168_000513	陳循以下諸人，雖不為大奸慝，而居心刻忮，務逞己私。
HCH_012_168_000514	同己者比，異己者忌；比則相援，忌則相軋。
HCH_012_168_000515	至萬安、劉吉要結近幸，蒙恥固位。
HCH_012_168_000516	猶幸同列多賢，相與彌縫匡救，而穢跡昭彰，小人之歸，何可掩哉！
