HCH_012_217_000185	一貫以士心夙附鯉，深忌之，貽書李三才曰：「歸德公來，必奪吾位，將何以備之？」
HCH_012_217_000186	歸德，鯉邑名，欲諷鯉辭召命也。
HCH_012_217_000187	三才答書，言鯉忠實無他腸，勸一貫同心。
HCH_012_217_000188	一貫由此並憾三才。
HCH_012_217_000189	鯉既至，即具陳道中所見礦稅之害。
HCH_012_217_000190	他日復與賡疏論。
HCH_012_217_000191	皆弗納。
HCH_012_217_000192	楚假王被訐事起，禮部侍郎郭正域請行勘，鯉是之。
HCH_012_217_000193	及奸人所撰《續憂危竑議》發，一貫輩張皇其事，令其黨錢夢臯誣奏正域、鯉門生，協造妖言，並羅織鯉奸贓數事。
HCH_012_217_000194	帝察其誣，不問。
HCH_012_217_000195	而一貫輩使邏卒日夜操兵圍守其邸。
HCH_012_217_000196	已而事解，復譖鯉詛咒。
HCH_012_217_000197	鯉嘗置小屏閣中，列書謹天戒、恤民窮、開言路、發章奏、用大僚、補庶官、起廢棄、舉考選、釋冤獄、撤稅使十事，而上書「天啟聖聰，撥亂反治」八字。
HCH_012_217_000198	每入閣，輒焚香拜祝之，讒者遂指為詛咒。
HCH_012_217_000199	帝取入視之，曰：「此豈詛咒耶？」
HCH_012_217_000200	讒者曰：「彼詛咒語，固不宣諸口。」
HCH_012_217_000201	賴帝知鯉深，不之信。
HCH_012_217_000202	先是，閣臣奏揭不輕進，進則無不答者。
HCH_012_217_000203	是時中外扞格，奏揭繁，多寢不下。
HCH_012_217_000204	鯉以失職，累引疾求退。
HCH_012_217_000205	獎諭有加，卒不能行其所請。
HCH_012_217_000206	三十二年，敘皮林功，加太子太保。
HCH_012_217_000207	尋以秩滿，加少保，改文淵閣。
HCH_012_217_000208	鯉初相，即請除礦稅。
HCH_012_217_000209	居位數年，數以為言。
HCH_012_217_000210	會長陵明樓災，鯉語一貫、賡各為奏，俟時上之。
HCH_012_217_000211	一日大雨，鯉曰：「可矣。」
HCH_012_217_000212	兩人問故，鯉曰：「帝惡言礦稅事，疏入多不視，今吾輩冒雨素服詣文華奏之，上訝而取閱，亦一機也。」
HCH_012_217_000213	兩人從其言。
HCH_012_217_000214	帝得疏，曰：「必有急事。」
HCH_012_217_000215	啟視，果心動，然不為罷。
HCH_012_217_000216	明年長至，一貫在告，鯉、賡謁賀仁德門。
HCH_012_217_000217	帝賜食，司禮太監陳矩侍，小璫數往來竊聽，且執筆以俟。
HCH_012_217_000218	鯉因極陳礦稅害民狀，矩亦戚然。
HCH_012_217_000219	鯉復進曰：「礦使出，破壞天下名山大川靈氣盡矣，恐於聖躬不利。」
HCH_012_217_000220	矩嘆息還，具為帝道之。
HCH_012_217_000221	帝悚然遣矩諮鯉所以補救者。
HCH_012_217_000222	鯉曰：「此無他，急停開鑿，則靈氣自復。」
HCH_012_217_000223	帝聞，為首肯。
HCH_012_217_000224	一貫慮鯉獨收其功，急草疏上。
HCH_012_217_000225	帝不懌，復止。
HCH_012_217_000226	然越月果下停礦之命，鯉力也。
HCH_012_217_000227	鯉遇事秉正不撓。
HCH_012_217_000228	壓於一貫，志不盡行。
HCH_012_217_000229	而是時一貫數被論，引疾杜門，鯉乃得行閣事。
HCH_012_217_000230	皇孫生，詔赦天下。
HCH_012_217_000231	中官請征茶蠟夙逋，鯉以戾詔旨，再執奏，竟報寢，帝乳母翊聖夫人金氏，其夫官都督同知，歿，請以從子繼。
HCH_012_217_000232	鯉言都督非世官，乃已。
HCH_012_217_000233	真人張國祥謂皇孫誕生，己有祝釐功，乞三代誥命且世襲詹事主簿。
HCH_012_217_000234	鯉力斥其謬，乃賚以金幣。
HCH_012_217_000235	帝惑中貴言，將察核畿輔牧地，諭鯉撰敕。
HCH_012_217_000236	鯉言：「近年以來，百利之源，盡籠於朝廷，常恐勢極生變。況此牧地，豈真有豪右隱占新墾未科者？奸民所傳，未足深信。」
HCH_012_217_000237	遂止。
HCH_012_217_000238	雲南武弁殺稅使楊榮。
HCH_012_217_000239	帝怒甚，將遣官逮治。
HCH_012_217_000240	鯉具陳榮罪狀，請誅為首殺榮者，而貸其餘，乃不果逮。
HCH_012_217_000241	陜西稅使梁永求領鎮守事，亦以鯉言罷。
HCH_012_217_000242	遼東稅使高淮假進貢名，率所統練甲至國門。
HCH_012_217_000243	鯉中夜密奏其不可，詔責淮而止。
HCH_012_217_000244	時一貫雖稱疾杜門，而章奏多即家擬旨，鯉力言非故事。
HCH_012_217_000245	鯉既積忤一貫，一貫將去，慮鯉在，貽己後憂欲與俱去，密傾之。
HCH_012_217_000246	帝亦嫌鯉方鯁，因鯉乞休，遽命與一貫同致仕。
HCH_012_217_000247	賡疏乞留鯉，不報。
HCH_012_217_000248	既抵家，疏謝，猶極陳怠政之弊，以明作進規。
HCH_012_217_000249	年八十，遣官存問，賚銀幣。
HCH_012_217_000250	鯉奏謝，復陳時政要務。
HCH_012_217_000251	又五年卒，年八十五。
HCH_012_217_000252	贈太師，謚文端。
HCH_012_217_000253	于慎行，字無垢，東阿人。
HCH_012_217_000254	年十七，舉於鄉。
HCH_012_217_000255	御史欲即鹿鳴宴冠之，以未奉父命辭。
HCH_012_217_000256	隆慶二年成進士。
HCH_012_217_000257	改庶吉士，授編修。
HCH_012_217_000258	萬曆初，《穆宗實錄》成，進修撰，充日講官。
HCH_012_217_000259	故事，率以翰林大僚值日講，無及史官者。
HCH_012_217_000260	慎行與張位及王家屏、沈一貫、陳于陛咸以史官得之，異也。
HCH_012_217_000261	嘗講罷，帝出御府圖畫，令講官分題。
HCH_012_217_000262	慎行不善書，詩成，屬人書之，具以實對。
HCH_012_217_000263	帝悅，嘗大書「責難陳善」四字賜之，詞林傳為盛事。
HCH_012_217_000264	御史劉臺以劾張居正被逮，僚友悉避匿，慎行獨往視之。
HCH_012_217_000265	及居正奪情，偕同官具疏諫。
HCH_012_217_000266	呂調陽格之，不得上。
HCH_012_217_000267	居正聞而怒，他日謂慎行曰：「子吾所厚，亦為此耶？」
HCH_012_217_000268	慎行從容對曰：「正以公見厚故耳。」
HCH_012_217_000269	居正怫然。
HCH_012_217_000270	慎行尋以疾歸。
HCH_012_217_000271	居正卒，起故官。
HCH_012_217_000272	進左諭德，日講如故。
HCH_012_217_000273	時居正已敗，侍郎丘橓往籍其家。
HCH_012_217_000274	慎行遺書，言居正母老，諸子覆巢之下，顛沛可傷，宜推明主帷蓋恩，全大臣簪履之誼。
HCH_012_217_000275	詞極懇摯，時論韙之。
HCH_012_217_000276	由侍講學士擢禮部右侍郎。
HCH_012_217_000277	轉左，改吏部，掌詹事府。
HCH_012_217_000278	尋遷禮部尚書。
HCH_012_217_000279	慎行明習典制，諸大禮多所裁定。
HCH_012_217_000280	先是，嘉靖中孝烈後升祔，祧仁宗。
HCH_012_217_000281	萬曆改元，穆宗升祔，復祧宣宗。
HCH_012_217_000282	慎行謂非禮，作《太廟祧遷考》，言：「古七廟之制，三昭三穆，與太祖之廟而七。劉歆、王肅並以高、曾、祖、禰及五世、六世為三昭三穆。其兄弟相傳，則同堂異室，不可為一世。國朝成祖既為世室，與太祖俱百世不遷，則仁宗以下，必實歷六世，而後三昭三穆始備。孝宗與睿宗兄弟，武宗與世宗兄弟，韶穆同，不當各為一世。世宗升，距仁宗止六世，不當祧仁宗。穆宗升祔，當祧仁宗，不當祧宣宗。」
HCH_012_217_000283	引晉、唐、宋故事為據，其言辨而核。
HCH_012_217_000284	事雖不行，識者服其知禮。
HCH_012_217_000285	又言：「南昌、壽春等十六王，世次既遠，宜別祭陵園，不宜祔享太廟。」
HCH_012_217_000286	亦寢不行。
HCH_012_217_000287	十八年正月，疏請早建東宮，出閣講讀。
HCH_012_217_000288	及冬，又請。
HCH_012_217_000289	帝怒，再嚴旨詰責。
HCH_012_217_000290	慎行不為懾，明日復言：「冊立臣部職掌，臣等不言，罪有所歸。幸速決大計，放歸田里。」
HCH_012_217_000291	帝益不悅，責以要君疑上，淆亂國本，及僚屬皆奪俸。
HCH_012_217_000292	山東鄉試，預傳典試者名，已而果然。
HCH_012_217_000293	言者遂劾禮官，皆停俸。
HCH_012_217_000294	慎行引罪乞休。
HCH_012_217_000295	章累上，乃許。
HCH_012_217_000296	家居十餘年，中外屢薦，率報寢。
HCH_012_217_000297	三十三年，始起掌詹事府。
HCH_012_217_000298	疏辭，復留不下。
HCH_012_217_000299	居二年，廷推閣臣七人，首慎行。
HCH_012_217_000300	詔加太子少保兼東閣大學士，入參機務。
HCH_012_217_000301	再辭不允，乃就道。
HCH_012_217_000302	時慎行已得疾。
HCH_012_217_000303	及廷謝，拜起不如儀，上疏請罪。
HCH_012_217_000304	歸臥於家，遂草遺疏，請帝親大臣、錄遣逸、補言官。
HCH_012_217_000305	數日卒，年六十三。
HCH_012_217_000306	贈太子太保，謚文定。
HCH_012_217_000307	慎行學有原委，貫穿百家。
HCH_012_217_000308	神宗時，詞館中以慎行及臨朐馮琦文學為一時冠。
HCH_012_217_000309	李廷機，字爾張，晉江人。
HCH_012_217_000310	貢入太學，順天鄉試第一。
HCH_012_217_000311	萬曆十一年，會試復第一，以進土第二授編修。
HCH_012_217_000312	累遷祭酒。
HCH_012_217_000313	故事，祭酒每視事，則二生共舉一牌詣前，大書「整齊嚴肅」四字。
HCH_012_217_000314	蓋高皇帝所制，以警師儒者。
HCH_012_217_000315	廷機見之惕然，故其立教，一以嚴為主。
HCH_012_217_000316	久之，遷南京吏部右侍郎，署部事。
HCH_012_217_000317	二十七年，典京察，無偏私。
HCH_012_217_000318	嘗兼署戶、工二部事，綜理精密。
HCH_012_217_000319	奏行軫恤行戶四事，商困大蘇。
HCH_012_217_000320	外城陵垣，多所繕治，費皆取公帑奇羨，不以煩民。
HCH_012_217_000321	召為禮部右侍郎，四辭不允，越二年始受任。
HCH_012_217_000322	時已進左侍郎，遂代郭正域視部事。
HCH_012_217_000323	會楚王華奎因正域發其餽遺書，誣訐正域不法數事。
HCH_012_217_000324	廷機意右楚王，而微為正域解。
HCH_012_217_000325	大學士沈一貫欲藉妖書傾正域，廷機與御史沈裕、同官塗宗浚俱署名上趨定生光獄，株連遂絕。
HCH_012_217_000326	三十三年夏，雷震郊壇。
HCH_012_217_000327	既率同列條上修省事宜，復言今日闕失，莫如礦稅，宜罷撤。
HCH_012_217_000328	不報。
HCH_012_217_000329	其冬，類上四方災異。
HCH_012_217_000330	秦王誼漶由中尉進封，其庶長子應授本爵，夤緣欲封郡王，廷機三疏力持。
HCH_012_217_000331	王遣人居間，廷機固拒，特旨許之。
HCH_012_217_000332	益府服內請封，亦持不可。
HCH_012_217_000333	廷機遇事有執，尤廉潔，帝知之。
HCH_012_217_000334	然性刻深，亦頗偏愎，不諳大體。
HCH_012_217_000335	楚宗人華勣以奏訐楚王，撫按官既擬奪爵，錮高墻，廷機授《祖訓》謀害親王例，議置之死。
HCH_012_217_000336	言路勢張，政府暨銓曹畏之，不敢出諸外，年例遂廢。
HCH_012_217_000337	禮部主事聶雲翰論之，廷機希言路意，中雲翰察典。
HCH_012_217_000338	給事中袁懋謙劾之。
HCH_012_217_000339	廷機求退，不允。
HCH_012_217_000340	時內閣止朱賡一人。
HCH_012_217_000341	給事中王元翰等慮廷機且入輔，數陰詆之。
HCH_012_217_000342	三十五年夏，廷推閣臣，廷機果與焉。
HCH_012_217_000343	給事中曹於忭、宋一韓、御史陳宗契不可。
HCH_012_217_000344	相持久之，卒列以上。
HCH_012_217_000345	帝雅重廷機，命以禮部尚書兼東閣大學士，入參機務。
HCH_012_217_000346	廷機三辭始視事。
HCH_012_217_000347	元翰及給事中胡忻攻之不已，帝為奪俸，以慰廷機。
