HCH_013_057_000146	書仍進馬昇等，陳朝廷威德，曉以禍福，令獻首惡。
HCH_013_057_000147	是夜，斬倡亂黃鎮等二十四級獻軍門。
HCH_013_057_000148	於是繼祖亦馳入城，以鎮撫人心。
HCH_013_057_000149	郤永猶沮撓，倡言：「繼祖伏兵為內應。」
HCH_013_057_000150	眾果夜驚，繼祖堅臥不起，乃安。
HCH_013_057_000151	瓚復遣允中入城宣諭之，繼祖乃榜諭城中，大發倉粟賑濟。
HCH_013_057_000152	稍稍繩以法，無賴縱恣者，撾殺一二人以徇，眾稍寧。
HCH_013_057_000153	瓚遂馳至城下，退諸路兵二舍外，諸將領以次上謁。
HCH_013_057_000154	次日，張鼓吹與御史蘇祐自南門入，置酒高會，賞賚將士，城中乃大定。
HCH_013_057_000155	小王子聞之，亦遠遁。
HCH_013_057_000156	瓚還居上谷遙制之。
HCH_013_057_000157	事聞，上大悅，降璽書，遣禮部侍郎黃綰往核功罪，定賞罰。
HCH_013_057_000158	永猶欲沮敗事，綰先疏罷永，始抵鎮，宣御劄璽書，慰宗室傷殘，掩骸骼，賑窮乏。
HCH_013_057_000159	命守臣捕誅遺惡，雪誣罔。
HCH_013_057_000160	乃核激變之由，正欺蔽之罪。
HCH_013_057_000161	差別諸將士功賞。
HCH_013_057_000162	疏上，久之，徵劉源清、郤永下獄。
HCH_013_057_000163	源清削籍去，永降級立功贖罪。
HCH_013_057_000164	潘倣、孫允中復原職致仕，張瓚、樊繼祖等各賞賚有差。
