HCH_012_030_000212	前史多以恆風、風霾、晦冥、花妖、蟲孽、牛禍、地震、山頹、雨毛、地生毛、年飢、黃眚黃祥皆屬之土，今從之。
HCH_012_030_000213	宣德六年六月，溫州颶風大作，壞公廨、祠廟、倉庫、城垣。
HCH_012_030_000214	正統四年七月，蘇、鬆、常、鎮四府大風，拔木殺稼。
HCH_012_030_000215	天順二年二月，暴風拔孝陵松樹，懿文陵殿獸脊、樑柱多摧。
HCH_012_030_000216	三年四月，順天、河間、真定、保定、廣平、濟南連日烈風，麥苗盡敗。
HCH_012_030_000217	成化十四年八月丁未，南京大風，拔太廟樹。
HCH_012_030_000218	十五年八月辛卯，大風拔孝陵木。
HCH_012_030_000219	二十一年五月，南京大風拔太廟樹，摧大祀殿及皇城各門獸吻。
HCH_012_030_000220	弘治三年六月壬午朔，陝西靖虜衛大風，天地昏暗，變爲紅光如火，久之乃息。
HCH_012_030_000221	七年三月己亥，廣寧諸衛狂風，瀋陽、錦州城僕百餘丈。
HCH_012_030_000222	正德元年六月辛酉，暴風折郊壇松柏，壞大祀殿、齋宮獸瓦。
HCH_012_030_000223	二年閏正月癸亥，盧龍、遷安大風拔樹毀屋。
HCH_012_030_000224	乙丑，大風壞奉天門右吻。
HCH_012_030_000225	三年二月己丑，大同暴風，屋瓦飛動，三日而止。
HCH_012_030_000226	九年二月丁巳，長樂大雨雹，狂風震電，屋瓦皆飛。
HCH_012_030_000227	五月戊辰，曲阜暴風毀宣聖廟獸吻。
HCH_012_030_000228	十二年四月丙辰，來賓大風雨雹，毀官民廬舍，屋瓦皆飛。
HCH_012_030_000229	十一月癸巳，南京大風雪，僕孝陵殿前樹及圍牆內外松柏。
HCH_012_030_000230	十二月己酉，大理衛大風，壞城樓。
HCH_012_030_000231	十三年三月甲寅，慶符大風雹，壞學宮。
HCH_012_030_000232	十六年十二月辛卯，甘肅行都司狂風，壞官民廬舍樹木無算。
HCH_012_030_000233	嘉靖元年七月己巳，南京暴風雨，郊社、陵寢、宮闕、城垣獸吻、脊欄皆壞，拔樹萬餘株。
HCH_012_030_000234	五年，陝西屢發大風，卷掣廟宇、民居百數十家，了無蹤跡。
HCH_012_030_000235	萬曆十八年三月甲辰，大名狂風，天色乍黑乍赤。
HCH_012_030_000236	二十六年十月癸亥，喜峯路臺西北樓內，旋風大作，黑氣沖天，樓內有火光。
HCH_012_030_000237	三十四年七月丙戌，大風拔朝日壇樹。
HCH_012_030_000238	四十一年八月乙未，青州大風拔樹，傾城屋。
HCH_012_030_000239	天啓元年三月辛亥，大風揚塵四塞。
HCH_012_030_000240	四年五月癸亥，乾清宮東丹墀旋風驟作，內官監鐵片大如屋頂者，盤旋空中，隕於西墀，鏗訇若雷。
HCH_012_030_000241	八月戊戌，薊州寒風殺人。
HCH_012_030_000242	崇禎十四年五月，南陽大風拔屋。
HCH_012_030_000243	七月乙亥，福州大風，壞官署、民舍。
HCH_012_030_000244	十五年五月，保定廣平諸縣怪風，麥禾俱傷。
HCH_012_030_000245	十六年正月丁酉，大風，五鳳樓前門閂風斷三截，建極殿榱桷俱折。
HCH_012_030_000246	建文元年七月癸酉，燕王起兵，風雲四起，咫尺不辨人。
HCH_012_030_000247	少焉東方露青天尺許，有光燭地，洞徹上下。
HCH_012_030_000248	天順八年二月壬子，風霾晝晦。
HCH_012_030_000249	成化六年二月丁丑，開封晝晦如夜，黃霾蔽天。
HCH_012_030_000250	三月辛巳，雨霾晝晦。
HCH_012_030_000251	九年三月癸未，濟南諸府狂風晝晦，咫尺莫辨。
HCH_012_030_000252	二十一年三月戊子，大名風霾，自辰迄申，紅黃滿空，俄黑如夜。
HCH_012_030_000253	已而雨沙，數日乃止。
HCH_012_030_000254	京師自正月至三月，風霾不雨。
HCH_012_030_000255	弘治二年二月辛亥，開封晝晦如夜。
HCH_012_030_000256	三月，黃塵四塞，風霾蔽天者累日。
HCH_012_030_000257	四年八月乙卯，南京晦冥。
HCH_012_030_000258	七年三月己亥，廣寧諸衛晝晦。
HCH_012_030_000259	正德五年三月甲子，大風霾，天色晦冥者數日。
HCH_012_030_000260	十六年十一月辛酉，甘肅行都司黑風晝晦，翌日方散。
HCH_012_030_000261	嘉靖元年九月己巳，大風霾，晝晦。
HCH_012_030_000262	八年正月戊戌朔，風霾，晦如夕。
HCH_012_030_000263	二十六年七月乙丑，甘州五衛風霾晝晦，色赤復黃。
HCH_012_030_000264	二十八年三月丙申，風霾四塞，日色慘白，凡五日。
HCH_012_030_000265	三十年正月辛卯，大風揚塵蔽天，晝晦。
HCH_012_030_000266	四十年二月己酉，亦如之。
HCH_012_030_000267	四月癸巳，大風雨，黃土晝晦。
HCH_012_030_000268	四十三年三月望，異風作，赤黃霾，至二十一日乃止。
HCH_012_030_000269	隆慶二年正月元旦，大風揚沙走石，白晝晦冥，自北畿抵江、浙皆同。
HCH_012_030_000270	萬曆十七年正月乙丑，蓋州衛風霾晝晦，壞廨宇、廬舍。
HCH_012_030_000271	二十五年二月戊寅，京師風霾。
HCH_012_030_000272	二十九年四月，連日風霾。
HCH_012_030_000273	三十八年四月戊戌，崇陽風霾晝晦，至夜轉烈，損官民屋木無算。
HCH_012_030_000274	四十八年八月以前，雲南諸府時晝晦。
HCH_012_030_000275	天啓元年四月乙亥午，寧夏洪廣堡風霾大作，墜灰片如瓜子，紛紛不絕，逾時而止。
HCH_012_030_000276	日將沈，作紅黃色，外如炊煙，圍罩畝許，日光所射如火焰，夜分乃沒。
HCH_012_030_000277	四年二月辛丑，風霾晝晦，塵沙蔽天，連日不止。
HCH_012_030_000278	崇禎元年正月癸亥，永年縣晝晦，咫尺不辨人物。
HCH_012_030_000279	七年三月戊子，黃州晝晦如夜。
HCH_012_030_000280	十三年閏正月丙申，南京日色晦朦，風霾大作，細灰從空下，五步外不見一物。
HCH_012_030_000281	後四年三月丙申，風霾晝晦。
HCH_012_030_000282	弘治十六年九月，安陸桃李華。
HCH_012_030_000283	正德元年九月，宛平棗林莊李花盛開。
HCH_012_030_000284	其冬，永嘉花盡放。
HCH_012_030_000285	六年八月，霸州桃李華。
HCH_012_030_000286	景泰五年三月，畿南五府有蟲食桑，春蠶不育。
HCH_012_030_000287	弘治六年八月己巳，臨晉雨蟲如雪。
HCH_012_030_000288	七年三月，廣寧諸衛有黑蟲墮地，大如蠅，久之入於土。
HCH_012_030_000289	正德十二年，徐州牛產犢，一頭二舌，兩尾八足。
HCH_012_030_000290	嘉靖五年七月，南陽牛產犢，一首兩身。
HCH_012_030_000291	六年十一月，漳浦有牛產犢，三目三角。
HCH_012_030_000292	十一年二月，銅仁黃牸產犢，滿身有紋，即死。
HCH_012_030_000293	十二年，山東平山衛牛犢有紋，前兩足及尾悉具鱗甲，中皆毳毛。
HCH_012_030_000294	萬曆十三年九月，光山牛產一物，火光滿地，鱗甲森然，一夕斃。
HCH_012_030_000295	三十七年五月，歷城、高苑二縣牛各產犢，雙頭三眼，兩鼻二口。
HCH_012_030_000296	三十八年三月，獲嘉牛產犢，一身兩頭，四眼四耳，兩口兩足，一尾。
HCH_012_030_000297	三十九年二月，汲縣牛產犢，一膊兩頭，兩口四眼，兩耳七蹄。
HCH_012_030_000298	四月降夷部牛產犢，人頭羊耳。
HCH_012_030_000299	四十五年八月，開州牛產犢，兩口三眼。
HCH_012_030_000300	天啓元年十月，會寧牛產異獸，遍體鱗甲，有火光。
HCH_012_030_000301	三年十月，沅陵牸生犢，一身兩頭三尾。
HCH_012_030_000302	七年三月，莒州牛產犢如麟。
HCH_012_030_000303	崇禎十三年，襄陽牛產犢，兩頭二日。
HCH_012_030_000304	洪武四年正月己丑。
HCH_012_030_000305	鞏昌、臨洮、慶陽地震。
HCH_012_030_000306	五年四月戊戌，梧州府蒼梧、賀州、恭城、立山等處地震。
HCH_012_030_000307	六月癸卯，太原府陽曲縣地震。
HCH_012_030_000308	七月辛亥，又震。
HCH_012_030_000309	壬戌，京師風雨地辰。
HCH_012_030_000310	八月癸未，太原府徐溝縣西北中有聲如雷，地震凡三日。
HCH_012_030_000311	戊戌，陽曲縣地又震。
HCH_012_030_000312	九月壬戌，又震者再。
HCH_012_030_000313	十月戊寅、辛卯，復震。
HCH_012_030_000314	是年，陽曲地凡七震。
HCH_012_030_000315	自六年至十四年，復八震。
HCH_012_030_000316	八年七月戊辰，京師地震。
HCH_012_030_000317	十二月戊子，又震。
HCH_012_030_000318	十一年四月乙巳，寧夏地震，壞城垣。
HCH_012_030_000319	十三年二月甲戌，福州府、廣州府、河州地震。
HCH_012_030_000320	十九年六月辛丑，雲南地震。
HCH_012_030_000321	十一月己卯，復震，有聲。
HCH_012_030_000322	二十三年正月庚辰，山東地震。
HCH_012_030_000323	建文元年三月甲午，京師地震，求直言。
HCH_012_030_000324	永樂元年十一月甲午，北京地震。
HCH_012_030_000325	山西、寧夏亦震。
HCH_012_030_000326	二年十一月癸丑，京師、濟南、開封並震，有聲。
HCH_012_030_000327	六年五月壬戌、十一年八月甲子，京師復震。
HCH_012_030_000328	十三年九月壬戌、十四年九月癸卯，京師地震。
HCH_012_030_000329	十八年六月丙午，北京地震。
HCH_012_030_000330	二十二年六月壬申，南京地震。
HCH_012_030_000331	洪熙元年二月戊午，六安衛地震，凡七日。
HCH_012_030_000332	是歲，南京地震，凡四十有二。
HCH_012_030_000333	宣德元年七月癸巳，京師地震，有聲，自東南迄西北。
HCH_012_030_000334	是歲，南京地震者九。
HCH_012_030_000335	二年春，復震者十。
HCH_012_030_000336	三年，復屢震。
HCH_012_030_000337	四年，兩京地震。
HCH_012_030_000338	五年正月壬子，南京地震。
HCH_012_030_000339	辛酉，又震。
HCH_012_030_000340	正統三年三月己亥，京師地震。
HCH_012_030_000341	庚子，又震。
HCH_012_030_000342	甲辰，又震者再。
HCH_012_030_000343	四年六月乙未，復震。
HCH_012_030_000344	八月己亥，又震。
HCH_012_030_000345	五年十月庚午朔，蘭州、莊浪地震十日。
HCH_012_030_000346	十月、十一月屢震，壞城堡廬舍，壓死人畜。
HCH_012_030_000347	十年二月丁巳，京師地震。
HCH_012_030_000348	景泰二年七月癸丑，京師地震。
HCH_012_030_000349	三年七月，永新珠坑村地陷十七所。
HCH_012_030_000350	是年，南京地震。
HCH_012_030_000351	五年十月庚子，京師地震，有聲，起西北迄東南。
HCH_012_030_000352	六年二月甲午，安福大雷雨。
HCH_012_030_000353	白泉陂羊塘地陷二，一深三丈，廣十餘丈，一深六尺，廣一丈有奇。
HCH_012_030_000354	天順元年十月乙巳，南京地震。
HCH_012_030_000355	成化元年四月甲申，鈞州地震，二十三日乃止。
HCH_012_030_000356	三年，四川地震，凡三百七十五。
HCH_012_030_000357	五月壬申，宣府、大同地震，有聲，威遠、朔州亦震，壞墩臺牆垣，壓傷人。
HCH_012_030_000358	四年八月癸巳，京師地震，有聲。
HCH_012_030_000359	十二月戊戌，湖廣地震。
HCH_012_030_000360	五年十二月丙辰，汝寧、武昌、漢陽、岳州同日地震。
HCH_012_030_000361	六年正月丁亥，河南地震。
HCH_012_030_000362	是年，湖廣亦震。
HCH_012_030_000363	十年四月壬午，鶴慶地震。
HCH_012_030_000364	九月己巳，自寅至申，復十五震，壞廨舍民居，傷人畜。
HCH_012_030_000365	十月丁酉，靈州大沙井驛地震，有聲如雷。
HCH_012_030_000366	自後晝夜屢震，至十一月甲寅，一日十一震，城堞房屋多圮。
HCH_012_030_000367	十二年正月辛亥，南京地震。
HCH_012_030_000368	十月辛巳，京師地震。
HCH_012_030_000369	十三年正月己巳，鳳陽、臨淮地震，有聲。
HCH_012_030_000370	閏二月癸卯，臨洮、鞏昌地震，城有頹者。
HCH_012_030_000371	四月戊戌，甘肅地裂，又震，有聲。
HCH_012_030_000372	榆林、涼州亦震。
HCH_012_030_000373	寧夏大震，聲如雷。
HCH_012_030_000374	城垣崩壞者八十三處。
HCH_012_030_000375	甘州、鞏昌、榆林、涼州及沂州、郯城、滕、費、嶧等縣，同日俱震。
HCH_012_030_000376	九月甲戌，京師地三震。
HCH_012_030_000377	十四年六月，廣西太平府地震，至八月乙巳，凡七震。
HCH_012_030_000378	七月，四川鹽井衛地連震，廨宇傾覆，人畜多死。
HCH_012_030_000379	十六年八月丁巳，四川越巂衛一日七震，越數日連震。
HCH_012_030_000380	十七年二月甲寅，南京、鳳陽、廬州、淮安、揚州、和州、兗州及河南州縣，同日地震。
HCH_012_030_000381	五月戊戌，直隸薊州遵化縣地震。
HCH_012_030_000382	六月甲辰，又震，日三次。
HCH_012_030_000383	永平府及遼東寧遠衛亦三震。
HCH_012_030_000384	二十年正月庚寅，京師及永平、宣府、遼東皆震。
HCH_012_030_000385	宣府地裂，涌沙出水。
HCH_012_030_000386	天壽山、密雲、古北口、居庸關城垣墩堡多摧，人有壓死者。
HCH_012_030_000387	五月甲寅，代州地七震。
HCH_012_030_000388	九月辛巳，費縣地陷，深二尺，縱橫三丈許。
HCH_012_030_000389	二十一年二月壬申，泰安地震。
HCH_012_030_000390	三月壬午朔，復震，聲如雷，泰山動搖。
