HCH_009_052_000180	奉直大夫已上，一考者從六品，除同前。
HCH_009_052_000181	兩考從五品，除節運副、京總管府留守司判官。
HCH_009_052_000182	七年，以散階官至五品亦勾充，不願者聽。
HCH_009_052_000183	十一年，以進士官至承直者眾，遂不論官資但以榜次勾補。
HCH_009_052_000184	二十七年，以外多闕官，論者以為資考所拘，難以升進，乃命不論官資，凡一考者與六品，次任降除正七品，第三任與六品，第四任升為從五品。
HCH_009_052_000185	兩考者與從五品，次任降除六品，第三、四任皆與從五品，五任升正五品。
HCH_009_052_000186	承安二年，以習學知除、刑房知案、及兵興時邊關令史，三十月除隨朝闕。
HCH_009_052_000187	泰和八年，以習學知除十五月以上，選充正知除。
HCH_009_052_000188	一考後理算資考。
HCH_009_052_000189	大安三年，以從榜次則各人所曆月日不齊，遂以吏部等差其所曆歲月多寡為次，收補知除，考滿則授隨朝職。
HCH_009_052_000190	貞祐五年，進士未歷任者，亦得充補，一考者除上縣令，再任上縣令升正七品，如已曆一任任丞簿者，舊制除六品，乃更為正七品，一任回降從七品，再任正七品升六品，如曆兩任丞簿者，一考舊除六品，乃更為正七品，一任回免降，複免正七品一任，即升六品。
HCH_009_052_000191	曾曆令一任者，依舊格六品，再任降除七品，還升從五品。
HCH_009_052_000192	興定二年，敕初任未滿及歷任者，考滿升等為從七品。
HCH_009_052_000193	初任未滿者爾兩任、未歷任者四任、回升正七品，兩任正七皆免回降。
HCH_009_052_000194	凡不依榜次勾取者同隨朝升除，俟榜次所及日聽再就補。
HCH_009_052_000195	興定五年，定進士令史與右職令史同格，考滿未應得從七者與正七品，回降從七一任。
HCH_009_052_000196	所勾諸府令史不及三考出職者除從七品，回降除八品。
HCH_009_052_000197	若一任應得從七品者除六品，回降正七品，若一任應得正七品者免降。
HCH_009_052_000198	女直進士令史，二十七年格，一考注正七品，兩考注正六品。
HCH_009_052_000199	二十八年，敕樞密院等處轉省者，並用進士。
HCH_009_052_000200	明昌元年，敕至三考者與漢人兩考者同除。
HCH_009_052_000201	明昌三年，罷契丹令史，其闕內增女直令史五人。
HCH_009_052_000202	五年，以與進士令史辛苦既同，資考難異，遂定與漢進士一考與從六品，兩考與從五品。
HCH_009_052_000203	宰執子弟省令史，大定十二年，制凡承廕者，呈省引見，除特恩任用外，並內奉班收，仍於國史院署書寫、太常署檢討、秘書監置校勘、尚書省準備差使，每三十月遷一重，百五十月出職。
HCH_009_052_000204	如承應一考以上，許試補省令譯史，則以百二十月出職，其已曆月日皆不紐折，如系終場舉人，即聽尚書省試補。
HCH_009_052_000205	十七年，定制，以三品職事官之子，試補樞密院令史。
HCH_009_052_000206	遂命吏部定制，宰執之子、並在省宗室郎君，如願就試令譯史，每年一就試，令譯史考試院試補外，緦麻袒免宗室郎君密院收補。
HCH_009_052_000207	大定二十八年，制以宗室第二從親並宰相之子，出職與六品外，宗室第三從親並執政之子，出職與正七品。
HCH_009_052_000208	其出職皆以百五十月，若見已轉省之餘人，則至兩考止與正七品。
HCH_009_052_000209	二十九年，四從親亦許試補。
