HCH_012_251_000260	如寵力言其叵測，不善用，必啟內釁。
HCH_012_251_000261	帝召問，對如初。
HCH_012_251_000262	帝出片紙示之，則得之偵事，與如寵言合，由是受知。
HCH_012_251_000263	十二月，命與周延儒、錢象坤俱以本官兼東閣大學士，入閣輔政。
HCH_012_251_000264	帝欲族袁崇煥，以如寵申救，免死者三百餘口。
HCH_012_251_000265	累加少保、戶部尚書、武英殿大學士。
HCH_012_251_000266	四年春，副延儒總裁會試。
HCH_012_251_000267	事竣，即乞休，疏九上乃允。
HCH_012_251_000268	陛辭，陳惇大明作之道。
HCH_012_251_000269	抵家，復請時觀《通鑒》，察古今理亂忠佞，語甚切。
HCH_012_251_000270	六年，延儒罷政，體仁當為首輔。
HCH_012_251_000271	而延儒憾體仁排己，謀起如寵以抑之，如寵畏體仁，六疏辭，體仁遂為首輔。
HCH_012_251_000272	如寵性孝友。
HCH_012_251_000273	母年九十，色養不衰。
HCH_012_251_000274	操行恬雅，與物無競，難進易退，世尤高之。
HCH_012_251_000275	十四年卒。
HCH_012_251_000276	福王時，贈太保，謚文端。
HCH_012_251_000277	兄如申，與如寵同舉進士。
HCH_012_251_000278	官戶部郎中，督餉遼東。
HCH_012_251_000279	有清操，軍士請復留二載。
HCH_012_251_000280	終浙江右布政使。
HCH_012_251_000281	錢象坤，字弘載，會稽人。
HCH_012_251_000282	萬歷二十九年進士。
HCH_012_251_000283	改庶吉士，授檢討，進諭德，轉庶子。
HCH_012_251_000284	泰昌改元，官少詹事，直講筵。
HCH_012_251_000285	講畢，見中官王安與執政議事，即趨出。
HCH_012_251_000286	安使人延之，堅不入。
HCH_012_251_000287	天啟中，給事中論織造，語侵中貴，詔予杖，閣臣救不得。
HCH_012_251_000288	象坤語葉向高講筵面奏之，乃免。
HCH_012_251_000289	時行立枷法，慘甚，象坤白之帝，多所寬釋。
HCH_012_251_000290	再遷禮部右侍郎兼太子賓客。
HCH_012_251_000291	四年七月，向高辭位。
HCH_012_251_000292	御史黃公輔慮象坤柄政，請留向高，詆象坤甚力。
HCH_012_251_000293	象坤遂辭去。
HCH_012_251_000294	六年，廷推南京禮部尚書。
HCH_012_251_000295	魏忠賢私人指為繆昌期黨，落職閑住。
HCH_012_251_000296	崇禎元年，召拜禮部尚書，協理詹事府。
HCH_012_251_000297	明年冬，都城被兵，條禦敵三策。
HCH_012_251_000298	奉命登陴分守，祁寒不懈。
HCH_012_251_000299	帝覘知，遂與何如寵並相。
HCH_012_251_000300	明年，溫體仁入，象坤其門生，讓而居其下。
HCH_012_251_000301	累加少保，進武英殿。
HCH_012_251_000302	象坤在翰林，與龍錫、謙益、士升並負物望，有「四錢」之目。
HCH_012_251_000303	及體仁相，無附和跡。
HCH_012_251_000304	四年，御史水佳允連劾兵部尚書梁廷棟，廷棟不待旨即奏辯。
HCH_012_251_000305	廷棟故出象坤門，佳允疑象坤泄之，語侵象坤。
HCH_012_251_000306	延儒以廷棟嘗發其私人贓罪，惡之，並惡象坤。
HCH_012_251_000307	象坤遂五疏引疾去，廷棟落職。
HCH_012_251_000308	給事中吳執御、傅朝佑稱象坤難進易退，不當以門生累，不聽。
HCH_012_251_000309	家居十年，無病而卒。
HCH_012_251_000310	贈太保，謚文貞，蔭一子中書舍人。
HCH_012_251_000311	徐光啟，字子先，上海人。
HCH_012_251_000312	萬歷二十五年舉鄉試第一，又七年成進士。
HCH_012_251_000313	由庶吉士歷贊善。
HCH_012_251_000314	從西洋人利瑪竇學天文、歷算、火器，盡其術。
HCH_012_251_000315	遂遍習兵機、屯田、鹽策、水利諸書。
HCH_012_251_000316	楊鎬四路喪師，京師大震。
HCH_012_251_000317	累疏請練兵自效，神宗壯之，超擢少詹事兼河南道御史。
HCH_012_251_000318	練兵通州，列上十議。
HCH_012_251_000319	時遼事方急，不能如所請。
HCH_012_251_000320	光啟疏爭，乃稍給以民兵戎械。
HCH_012_251_000321	未幾，熹宗即位。
HCH_012_251_000322	光啟志不得展，請裁去，不聽。
HCH_012_251_000323	既而以疾歸。
HCH_012_251_000324	遼陽破，召起之。
HCH_012_251_000325	還朝，力請多鑄西洋大炮，以資城守。
HCH_012_251_000326	帝善其言。
HCH_012_251_000327	方議用，而光啟與兵部尚書崔景榮議不合，御史邱兆麟劾之，復移疾歸。
HCH_012_251_000328	天啟三年起故官，旋擢禮部右侍郎。
HCH_012_251_000329	五年，魏忠賢黨智鋌劾之，落職閑住。
HCH_012_251_000330	崇禎元年召還，復申練兵之說。
HCH_012_251_000331	未幾，以左侍郎理部事。
HCH_012_251_000332	帝憂國用不足，敕廷臣獻屯鹽善策。
HCH_012_251_000333	光啟言屯政在乎墾荒，鹽政在嚴禁私販。
HCH_012_251_000334	帝褒納之，擢本部尚書。
HCH_012_251_000335	時帝以日食失驗，欲罪臺官。
HCH_012_251_000336	光啟言：「臺官測候本郭守敬法。元時嘗當食不食，守敬且爾，無怪臺官之失占。臣聞歷久必差，宜及時修正。」
HCH_012_251_000337	帝從其言，詔西洋人龍華民、鄧玉函、羅雅谷等推算歷法，光啟為監督。
