HCH_012_170_000219	無子，以族子允忠為後，世襲杭州衞副千戶，奉祠。
HCH_012_170_000220	吳寧，字永清，歙人。
HCH_012_170_000221	宣德五年進士。
HCH_012_170_000222	除兵部主事。
HCH_012_170_000223	正統中，再遷職方郎中。
HCH_012_170_000224	郕王監國，謙薦擢本部右侍郎。
HCH_012_170_000225	謙禦寇城外，寧掌部事，命赴軍中議方略。
HCH_012_170_000226	比還，城門弗啟，寇騎充斥，寧立雨中指揮兵士，移時乃入。
HCH_012_170_000227	寇既退，畿民猶日數驚，相率南徙，或議仍召勤王兵。
HCH_012_170_000228	寧曰：「是益之使驚也，莫若告捷四方，人心自定。」
HCH_012_170_000229	因具奏行之。
HCH_012_170_000230	景泰改元，以疾乞歸，後不復出。
HCH_012_170_000231	家居三十餘年卒。
HCH_012_170_000232	寧方介有識鑑。
HCH_012_170_000233	嘗為謙擇婿，得千戶朱驥。
HCH_012_170_000234	謙疑之，寧曰：「公他日當得其力。」
HCH_012_170_000235	謙被刑，驥果歸其喪，葬之。
HCH_012_170_000236	驥自有傳。
HCH_012_170_000237	王偉，字士英，攸人。
HCH_012_170_000238	年十四，隨父謫戍宣府。
HCH_012_170_000239	宣宗巡邊，獻安邊頌，命補保安州學生。
HCH_012_170_000240	舉正統元年進士，改庶吉士，授戶部主事。
HCH_012_170_000241	英宗北狩，命行監察御史事，集民壯守廣平。
HCH_012_170_000242	謙引為職方司郎中。
HCH_012_170_000243	軍書填委，處分多中窾會，遂薦擢兵部右侍郎。
HCH_012_170_000244	出視邊，叛人小田兒為敵間，謙屬偉圖之。
HCH_012_170_000245	會田兒隨貢使入，至陽和城，壯士從道旁突出，斷其頭去，使者不敢詰。
HCH_012_170_000246	偉喜任智數。
HCH_012_170_000247	既為謙所引，恐嫉謙者目己為朋附，嘗密奏謙誤，冀自解。
HCH_012_170_000248	帝以其奏授謙，謙叩頭謝。
HCH_012_170_000249	帝曰：「吾自知卿，何謝為？」
HCH_012_170_000250	謙出，偉問：「上與公何言？」
HCH_012_170_000251	謙笑曰：「我有失，望君面規我，何至爾邪？」
HCH_012_170_000252	出奏示之，偉大慙沮。
HCH_012_170_000253	然竟坐謙黨，罷歸。
HCH_012_170_000254	成化三年復官，請毀白琦所鏤板。
HCH_012_170_000255	踰年，告病歸卒。
HCH_012_170_000256	贊曰：于謙為巡撫時，聲績表著，卓然負經世之才。
HCH_012_170_000257	及時遘艱虞，繕兵固圉。
HCH_012_170_000258	景帝既推心置腹，謙亦憂國忘家，身繫安危，志存宗社，厥功偉矣。
HCH_012_170_000259	變起奪門，禍機猝發，徐、石之徒出力而擠之死，當時莫不稱冤。
HCH_012_170_000260	然有貞與亨、吉祥相繼得禍，皆不旋踵，而謙忠心義烈，與日月爭光，卒得復官賜卹。
HCH_012_170_000261	公論久而後定，信夫。
