HCH_009_099_000156	貞祐元年薨。
HCH_009_099_000157	孫鐸，字振之，其先滕州人，徙恩州曆亭縣。
HCH_009_099_000158	鐸性敏好學，遼陽王遵古一見器之，期以公輔。
HCH_009_099_000159	登大定十三年進士第，調海州軍事判官、衛縣丞，補尚書省令史。
HCH_009_099_000160	章宗為右丞相，語人曰：「治官事如孫鐸，必無錯失。」
HCH_009_099_000161	初即位，問鐸安在，有司奏為右都管，使宋。
HCH_009_099_000162	及還，除同知登聞檢院事。
HCH_009_099_000163	鐸言：「凡上訴者皆因尚書省斷不得直，若上訴者複送省，則必不行矣，乞自宸衷斷之。」
HCH_009_099_000164	上以為然。
HCH_009_099_000165	詔登聞檢院，凡上訴者，每朝日奏十事。
HCH_009_099_000166	詔刊定舊律，鐸先奏《名例》一篇。
HCH_009_099_000167	承安元年，遷左諫議大夫，改河東南路轉運使，召為中都路都轉運使。
HCH_009_099_000168	初置講議錢穀官十人，鐸為選首。
HCH_009_099_000169	承安四年，遷戶部尚書。
HCH_009_099_000170	鐸因轉對奏曰：「比年號令，或已行而中輟，或既改而複行，更張太煩，百姓不信。乞自今凡將下令，再三講究，如有益於治則必行，無恤小民之言。」
HCH_009_099_000171	國子司業紇石烈善才亦言：「頒行法令，絲綸既出，尤當固守。」
HCH_009_099_000172	上然之。
HCH_009_099_000173	泰和二年閏十二月，上召鐸、戶部侍郎張複亨議交鈔。
HCH_009_099_000174	複亨曰：「三合同鈔可行。」
HCH_009_099_000175	鐸請廢不用，詰難久之，複亨議詘。
HCH_009_099_000176	上顧謂侍臣曰：「孫鐸剛正人也，雖古魏徵何加焉！」
HCH_009_099_000177	三年，御史中丞孫即康、刑部尚書賈鉉皆除參知政事，鐸再任戶部尚書。
HCH_009_099_000178	鐸心少之，對賀客誦古人詩曰：「唯有庭前老柏樹，春風來似不曾來。」
HCH_009_099_000179	御史大夫卞劾鐸怨望，降同知河南府事。
HCH_009_099_000180	改彰化軍節度使，複為中都轉運使。
HCH_009_099_000181	泰和七年，拜參知政事。
HCH_009_099_000182	蒲陰縣令大中與左司郎中劉昂、通州刺史史肅、前臨察御史王宇、吏部主事曹元、戶部員外郎李著、監察御史劉國樞、尚書省都事曹溫、雄州都軍馬師周，吏部員外郎徒單永康、太倉使馬良顯、順州刺史唐括直思白坐私議朝政，下獄，尚書省奏其罪。
HCH_009_099_000183	鐸進曰：「昂等非敢議朝政，但如鄭人遊鄉校耳。」
HCH_009_099_000184	上悟，乃薄其罪。
HCH_009_099_000185	鐸上言：「民間鈔多，宜收斂。院務課程及諸窠名錢須要全收交鈔。秋夏稅本色外，盡令折鈔，不拘貫例，農民知之，迤漸重鈔。比來州縣抑配行市買鈔，無益，徒擾之耳。乞罷諸處鈔局，惟省庫仍舊，小鈔無限路分，可令通行。」
HCH_009_099_000186	上覽奏，即詔有司曰：「可速行之。」
HCH_009_099_000187	大安初，議誅黃門李新喜。
HCH_009_099_000188	鐸曰：「此先朝用之太過耳。」
HCH_009_099_000189	衛紹王不察，即曰：「卿今日始言之何耶？」
HCH_009_099_000190	既而複曰：「後當盡言，勿以此介意。」
HCH_009_099_000191	頃之，遷尚書左丞，兼修國史。
HCH_009_099_000192	議鈔法忤旨，猶以論李新喜降浚州防禦使。
HCH_009_099_000193	改安國軍節度使，徙絳陽軍。
HCH_009_099_000194	宣宗即位，召赴闕，以兵道阻。
HCH_009_099_000195	宣宗遷汴，鐸上謁於宜村，除太子太師。
HCH_009_099_000196	在疾，累遣使候問。
HCH_009_099_000197	貞祐三年，致仕。
HCH_009_099_000198	是歲薨。
HCH_009_099_000199	孫即康，字安伯，其先滄州人。
HCH_009_099_000200	石晉之末，遼徙河北實燕、薊，八代祖延應在徙中，占籍析津，實大興，仕至涿州刺史。
HCH_009_099_000201	延應玄孫克構，遼檢校太傅、啟聖軍節度使。
HCH_009_099_000202	即康，克構曾孫，中大定十年進士第。
HCH_009_099_000203	章宗為右丞相，是時，即康為尚書省令史，由是識其人。
HCH_009_099_000204	章宗即位，累遷戶部員外郎，講究鹽法利害，語在《食貨志》。
HCH_009_099_000205	除耀州刺史，入為吏部左司郎中。
HCH_009_099_000206	上謂宰臣曰：「孫即康向為省掾，言語拙訥，今才力大進，非向時比也。」
HCH_009_099_000207	宰臣因曰：「即康年已高，幸及早用之。」
HCH_009_099_000208	上問：「年幾何矣？」
HCH_009_099_000209	對曰：「五十六歲。」
HCH_009_099_000210	上複問：「其才何如張萬公？」
HCH_009_099_000211	平章政事守貞對曰：「即康才過之。」
HCH_009_099_000212	上曰：「視萬公為通耳。」
HCH_009_099_000213	由是遷御史中丞。
HCH_009_099_000214	初，張汝弼妻高陀斡不道，伏誅。
HCH_009_099_000215	汝弼，鎬王永中舅也，上由是頗疑永中。
HCH_009_099_000216	永中府傅尉奏永中第四子阿離合懣語涉不軌，詔同簽大睦親府事袴與即康鞫之。
HCH_009_099_000217	第二子神土門嘗撰詞曲，頗輕肆，遂以語涉不遜就逮。
HCH_009_099_000218	家奴德哥首永中嘗與侍妾瑞雲言：「我得天下，以爾為妃，子為大王。」
HCH_009_099_000219	袴、即康還奏，詔禮部尚書張暐複訊。
HCH_009_099_000220	永中父子皆死，時論冤之。
HCH_009_099_000221	頃之，遷泰甯軍節度使，改知延安府事。
HCH_009_099_000222	承安五年，上問宰相：「今漢官誰可用者？」
HCH_009_099_000223	司空襄舉即康。
HCH_009_099_000224	上曰：「不輕薄否？」
HCH_009_099_000225	襄曰：「可再用為中丞觀之。」
HCH_009_099_000226	上乃複召即康為御史中丞。
HCH_009_099_000227	泰和三年，除參知政事。
HCH_009_099_000228	明年，進尚書右丞。
HCH_009_099_000229	六年，宋渝盟有端，大臣猶以為小盜竊發不足恤。
