HCH_012_235_000217	今一物而常兼中人數家之產。
HCH_012_235_000218	或刻沈檀，鏤犀象，以珠寶金玉飾之。
HCH_012_235_000219	周鼎、商彜、秦鉈、漢鑒，皆搜求於海內。
HCH_012_235_000220	窮歲月之力，專一器之工；罄生平之資，取一盼之適。
HCH_012_235_000221	殊不知財賄易盡，嗜欲無窮。
HCH_012_235_000222	陛下誠能恭儉節約以先天下，禁彼浮淫，還之貞樸，則財用自裕，而風俗亦淳。
HCH_012_235_000223	四也。
HCH_012_235_000224	邊疆之臣，日弛戎備，上下蒙蔽，莫以實聞。
HCH_012_235_000225	由邊臣相繼為本兵，題覆處分，盡在其口。
HCH_012_235_000226	言出而中傷隨之，誰肯為無益之談，自取禍敗哉？
HCH_012_235_000227	漁夫舍餌以得魚，未聞以餌養魚者也。
HCH_012_235_000228	今以中國之文帛綺繡為蕃戎常服，雖曰貢市，實則媚之。
HCH_012_235_000229	邊臣假貢市以賂戎，戎人肆剽竊而要我。
HCH_012_235_000230	彼此相欺，以誑君父。
HCH_012_235_000231	幸其不來，來則莫禦。
HCH_012_235_000232	所謂以餌養魚者也。
HCH_012_235_000233	請明詔樞臣，洗心易慮。
HCH_012_235_000234	戰守之備，一一講求，付之邊臣。
HCH_012_235_000235	使將識敵情，兵識將意，庶乎臂指如意，國可無虞。
HCH_012_235_000236	五也。
HCH_012_235_000237	疏入，忤旨，謫建昌推官。
HCH_012_235_000238	屢遷南京右通政。
HCH_012_235_000239	移疾歸。
HCH_012_235_000240	四十一年，起右僉都御史，巡撫南、贛。
HCH_012_235_000241	居三年，廷推左副都御史。
HCH_012_235_000242	未得命，給事中官應震論其縱子驕恣。
HCH_012_235_000243	疏雖留中，一脈竟引疾去。
HCH_012_235_000244	年八十一卒。
HCH_012_235_000245	一脈初以直諫著聲。
HCH_012_235_000246	晚膺節鉞，年力已衰，不克有所表樹雲。
HCH_012_235_000247	何士晉，字武莪，宜興人。
HCH_012_235_000248	父其孝，得士晉晚。
HCH_012_235_000249	族子利其資，結黨致之死。
HCH_012_235_000250	繼母吳氏匿士晉外家。
HCH_012_235_000251	讀書稍懈，母輒示以父血衣。
HCH_012_235_000252	士晉感厲，與人言，未嘗有笑容。
HCH_012_235_000253	萬歷二十六年舉進士。
HCH_012_235_000254	持血衣訴之官，罪人皆抵法。
HCH_012_235_000255	初授寧波推官，擢工科給事中。
HCH_012_235_000256	首疏請通章奏、緩聚斂。
HCH_012_235_000257	俄言：「袞職有闕，廷臣言雖逆耳，每荷優容。獨論及輔臣，必欲借主威以泄憤。是陛下負拒諫之名，輔臣收固寵之實，天下所以積憤輔臣而不能平也。如孫幰、郭子章、戴耀、沈子木，宜舍不舍，公論乖違，輔臣賡安得不任其咎？」
HCH_012_235_000258	無何，劾左都督王之楨久掌錦衣，為內閣爪牙，中樞心腹。
HCH_012_235_000259	又劾大學士王錫爵逢君賊善，召命宜停；戶部尚書趙世卿誤國，無大臣體。
HCH_012_235_000260	已，復言：「朝端大政，宜及今早行者，在放輔臣以清政地，罷大臣被論者以伸公議。斥王之楨以絕禍源，釋卞孔時、王邦才等以蘇冤獄。」
HCH_012_235_000261	初，皇長孫生，有詔起廢，列上二百餘人。
HCH_012_235_000262	閱三年，止用顧憲成等四人。
HCH_012_235_000263	士晉請大起廢籍。
HCH_012_235_000264	瑞王將婚，詔典禮視福王，費當十九萬。
HCH_012_235_000265	初，帝弟潞王婚費不及其半，士晉請視潞王。
HCH_012_235_000266	帝將崇奉太后，詔建靈應宮，士晉以非禮力爭，且曰：「聖母所註念者東宮出講，諸王早婚，與遺賢之登進也，乃諸臣屢請不應。而不時內降者，非中貴之營求，即鬼神之香火，何也？」
HCH_012_235_000267	帝皆不省。
HCH_012_235_000268	未幾，有張差梃擊之事。
HCH_012_235_000269	王之寀鉤得差供，帝遷延不決，士晉三上疏趣之。
HCH_012_235_000270	當是時，變起非常，中外鹹疑謀出鄭國泰，然無敢直犯其鋒者。
HCH_012_235_000271	郎中陸大受稍及之，國泰大懼，急出揭自明，人言益籍籍。
HCH_012_235_000272	士晉乃抗疏曰：陛下與東宮，情親父子，勢共安危，豈有禍逼蕭墻，不少動念者？
HCH_012_235_000273	候命逾期，旁疑轉棘。
HCH_012_235_000274	竊詳大受之疏，未嘗實指國泰主謀，何張皇自疑乃爾？
HCH_012_235_000275	因其自疑，人益不能無疑，然人之疑國泰，不自今日始也。
HCH_012_235_000276	陛下試問國泰，三王之議何由起？
HCH_012_235_000277	《閨範》之序何由進？
HCH_012_235_000278	妖書之毒何由構？
HCH_012_235_000279	此基禍之疑也。
HCH_012_235_000280	孟養浩等何由杖？
HCH_012_235_000281	戴士衡等何由戍？
HCH_012_235_000282	王德完等何由錮？
HCH_012_235_000283	此挑激之疑也。
HCH_012_235_000284	南宗順，刑余也，而陰募死士千人，謂何？
HCH_012_235_000285	順義王，外寇也，而各宮門守以重兵，謂何？
HCH_012_235_000286	王曰乾，逆徒也，而疏中先有龐保、劉成名姓，謂何？
HCH_012_235_000287	此不軌之疑也。
HCH_012_235_000288	三者積疑至今日，忽有張差一事，正與往者舉措相符，安得令人不疑！
HCH_012_235_000289	且今日之疑國泰，又非張差一事已也。
HCH_012_235_000290	恐騎虎難下，駭鹿走險，一擊不效，別有陰謀。
HCH_012_235_000291	陛下不急護東宮，則東宮為孤註。
HCH_012_235_000292	萬一東宮失護，而陛下又轉為孤註矣。
HCH_012_235_000293	國泰欲釋人疑，惟明告貴妃，力求陛下速執保、成下吏。
HCH_012_235_000294	如果國泰主謀，是乾坤之大逆，九廟之罪人，非但貴妃不能庇，即陛下亦不能庇也。
HCH_012_235_000295	借劍尚方，請自臣始。
HCH_012_235_000296	或別有主謀，無與國泰事，請令國泰自任，凡皇太子、皇長孫起居悉屬國泰保護，稍有疏虞，罪即坐之，則臣與在廷諸臣亦願陛下保全國泰身，無替恩禮。
HCH_012_235_000297	若國泰畏有連引，預熒惑聖聰，久稽廷訊，或潛散黨與，俾之遠逃，或陰斃張差，以冀滅口，則罪愈不容誅矣。
HCH_012_235_000298	惟聖明裁察。
HCH_012_235_000299	疏入，帝大怒，欲罪之，念事已有跡，恐益致人言。
HCH_012_235_000300	而吏部先以士晉為東林黨，擬出為浙江僉事，候命三年未下。
HCH_012_235_000301	至是，帝急簡部疏，命如前擬。
HCH_012_235_000302	吏部言闕官已補，請改命。
HCH_012_235_000303	帝不許，命調前補者。
HCH_012_235_000304	吏部又以士晉積資已深，秩當參議。
HCH_012_235_000305	帝怒，切責尚書，奪郎中以下俸。
HCH_012_235_000306	士晉之官四年，移廣西參議。
HCH_012_235_000307	光宗立，擢尚寶少卿，遷太僕。
HCH_012_235_000308	天啟二年，以右僉都御史巡撫廣西。
HCH_012_235_000309	安南入犯，督將吏屢擊卻之。
HCH_012_235_000310	四年，擢兵部右侍郎，總督兩廣軍務，兼巡撫廣東。
HCH_012_235_000311	明年四月，魏忠賢大熾，爭梃擊者率獲罪。
HCH_012_235_000312	御史田景新希旨，誣叛臣安邦彥賄士晉十萬金，阻援兵。
HCH_012_235_000313	遂除士晉名，征賄助餉。
HCH_012_235_000314	士晉憤郁而卒。
HCH_012_235_000315	有司征贓急，家人但輸數百金，產已罄。
HCH_012_235_000316	會莊烈帝立，獲免，復官賜恤。
HCH_012_235_000317	陸大受，字凝遠，武進人。
HCH_012_235_000318	萬歷三十五年進士。
HCH_012_235_000319	授行人，屢遷戶部郎中。
HCH_012_235_000320	福王將之國，詔賜莊田四萬頃。
HCH_012_235_000321	大受請大減田額，因劾鄭國泰驕恣亂法狀，疏留中。
HCH_012_235_000322	王之寀發張差事，大受抗疏言：「青宮何地，張差何人，敢白晝持梃，直犯儲蹕，此乾坤何等時耶！業承一內官，何以不知其名？業承一大第，何以不知其所？彼三老、三太互相表裏，而霸州武舉高順寧者，今皆匿於何地？奈何不嚴竟而速斷耶？」
HCH_012_235_000323	戶部主事蒲州張庭者，大受同年生也，亦上言：「奸人突入大內，狙擊青宮，陛下宜何如震怒，立窮主謀。乃廷臣交章，一無批答，何也？君側藏奸，上下蒙蔽，皆由陛下精神偏註，皇太子召見甚稀，而前此冊立、選婚及近時東宮出講、郭妃卜葬諸事，陛下皆弗勝遲回，強而後可。彼宦寺者安得不妄生測度，陰蓄不逞，以僥幸於萬一哉！」
HCH_012_235_000324	皆不報。
HCH_012_235_000325	大受尋出為撫州知府，以清潔著聞。
HCH_012_235_000326	居二年，徐紹吉、韓浚以京察奪其官。
HCH_012_235_000327	庭再遷郎中，被齮龁。
HCH_012_235_000328	引退，抑郁以死。
HCH_012_235_000329	又有聞喜李俸者，為刑部郎中。
HCH_012_235_000330	當諸司會鞫時，張差語涉逆謀，郎中胡士相等相顧不敢錄。
HCH_012_235_000331	俸力爭，乃得入獄詞，遂為鄭氏黨所惡。
HCH_012_235_000332	及遷鳳翔知府，諸黨人以言懾之，竟不敢之任。
HCH_012_235_000333	後復中以京察，卒於家。
HCH_012_235_000334	天啟初，御史張慎言、方震孺、魏光緒、楊新期交章訟三人冤。
HCH_012_235_000335	乃贈庭、俸光祿寺少卿，大受起補韶州。
HCH_012_235_000336	已，都御史高攀龍請加庭、俸蔭謚，不果。
HCH_012_235_000337	大受未幾卒。
HCH_012_235_000338	王德完，字子醇，廣安人。
HCH_012_235_000339	萬歷十四年進士。
HCH_012_235_000340	選庶吉士，改兵科給事中。
HCH_012_235_000341	西陲失事，德完言：「諸邊歲糜餉數百萬，而士氣日衰，戎備日廢者，以三蠹未除，二策未審也。何為三蠹？一曰欺，邊吏罔上也。二曰徇，市賞增額也。三曰虛，邊防鮮實也。何謂二策？有目前之策，有經久之策。謹守誓盟，茍免搏噬，此計在目前。大修戰具，令賊不敢窺邊，則百年可保無事，此計在經久。今經略鄭洛主款，巡撫葉夢熊又言戰，邊臣不協，安望成功。」
HCH_012_235_000342	帝為飭二臣。
HCH_012_235_000343	石星為本兵，德完上十議以規時，帝納之。
HCH_012_235_000344	已，請裁李成梁父子權，劾褫黔國公沐昌祚冠服，罷巡撫朱孟震、賈待問、郭四維、少卿楊四知、趙卿。
HCH_012_235_000345	又發廣東總督劉繼文、總兵官李棟等冒功罪。
HCH_012_235_000346	半歲章數十上，率軍國大計。
HCH_012_235_000347	累遷戶科都給事中。
HCH_012_235_000348	上籌畫邊餉議，言：「諸邊歲例，弘、正間止四十三萬，至嘉靖則二百七十餘萬，而今則三百八十餘萬。惟力行節儉，足以補救。蓋耗蠹之弊，外易剔而內難除。宜嚴劾內府諸庫，汰其不急。又加意屯田、鹽法，外開其源，而內節其流，庶幾國用可足。」
HCH_012_235_000349	時弗能用。
HCH_012_235_000350	倭寇久躪朝鮮，再議封貢。
HCH_012_235_000351	德完言：「封則必貢，貢則必市，是沈惟敬誤經略，經略誤總督，總督誤本兵，本兵誤朝廷也。」
HCH_012_235_000352	後封果不成。
HCH_012_235_000353	德完尋以疾歸。
HCH_012_235_000354	二十八年，起任工科。
HCH_012_235_000355	極陳四川采木、榷稅及播州用兵之患。
HCH_012_235_000356	又言三殿未營，不宜復興玄殿、龍舟之役。
HCH_012_235_000357	皆不報。
HCH_012_235_000358	已，劾湖廣稅使陳奉四大罪。
HCH_012_235_000359	再疏極論，謂奉必激變。
HCH_012_235_000360	奉果為楚人所攻，僅以身免。
HCH_012_235_000361	尋因禱雨言：「今出虎兕以噬群黎，縱盜賊而吞赤子，幽憤沈結，叩訴無從，故雨澤緣天怒而屯，螟丱因人妖而出。願盡撤礦稅之使，釋逮系之臣，省愆贖過，用弭災變。」
HCH_012_235_000362	不報。
HCH_012_235_000363	四川妖人韓應龍奏請榷鹽、采木。
HCH_012_235_000364	尋甸知府蔡如川、趙州知州甘學書以忤稅使被逮。
HCH_012_235_000365	德完皆力爭。
HCH_012_235_000366	復劾山東稅使陳增、畿輔稅使王虎罪。
HCH_012_235_000367	不報。
