HCH_012_086_000238	山東副使於仁廉復言：「餉遼莫如海運，海運莫如登、萊。蓋登、萊度金州六七百里，至旅順口僅五百餘里，順風揚帆一二日可至。又有沙門、鼉磯、皇城等島居其中，天設水遞，止宿避風。惟皇城至旅順二百里差遠，得便風不半日可度也。若天津至遼，則大洋無泊；淮安至膠州，雖僅三百里，而由膠至登千里而遙，礁礙難行。惟登、萊濟遼，勢便而事易。」
HCH_012_086_000239	時頗以其議為然，而未行也。
HCH_012_086_000240	四十六年，山東巡撫李長庚奏行海運，特設戶部侍郎一人督之，事具《長庚傳》。
HCH_012_086_000241	崇禎十二年，崇明人沈廷揚為內閣中書，復陳海運之便，且輯《海運書》五捲進呈。
HCH_012_086_000242	命造海舟試之。
HCH_012_086_000243	廷揚乘二舟，載米數百石，十三年六月朔，由淮安出海，望日抵天津。
HCH_012_086_000244	守風者五日，行僅一旬。
HCH_012_086_000245	帝大喜，加廷揚戶部郎中，命往登州與巡撫徐人龍計度。
HCH_012_086_000246	山東副總兵黃廕恩亦上海運九議，帝即令督海運。
HCH_012_086_000247	先是，寧遠軍餉率用天津船赴登州，候東南風轉粟至天津，又候西南風轉至寧遠。
HCH_012_086_000248	廷揚自登州直輸寧遠，省費多。
HCH_012_086_000249	尋命赴淮安經理海運，為督漕侍郎硃大典所沮，乃命易駐登州，領寧遠餉務。
HCH_012_086_000250	十六年加光祿少卿。
HCH_012_086_000251	福王時，命廷揚以海舟防江，尋命兼理糧務。
HCH_012_086_000252	南都既失，廷揚崎嶇唐、魯二王間以死。
HCH_012_086_000253	當嘉靖中，廷臣紛紛議復海運，漕運總兵官萬表言：「在昔海運，歲溺不止十萬。載米之舟，駕船之卒，統卒之官，皆所不免。今人策海運輒主丘浚之論，非達於事者也。」
