HCH_012_017_000186	壬午，始親祭山川，著為令。
HCH_012_017_000187	九月癸巳，召張璁復入閣。
HCH_012_017_000188	癸丑，楊一清罷。
HCH_012_017_000189	是月，免兩畿、河南被災稅糧，振江西、湖廣饑。
HCH_012_017_000190	冬十月癸亥朔，日有食之。
HCH_012_017_000191	己巳，除外戚世封，著為令。
HCH_012_017_000192	十一月庚子，召桂萼復入閣。
HCH_012_017_000193	甲辰，振浙江災。
HCH_012_017_000194	戊申，禱雪。
HCH_012_017_000195	己酉，雪。
HCH_012_017_000196	丁巳，親詣郊壇告謝。
HCH_012_017_000197	百官表賀。
HCH_012_017_000198	是年，天方、撒馬兒罕、土魯番入貢。
HCH_012_017_000199	九年春正月丁酉，大祀天地於南郊。
HCH_012_017_000200	丙午，作先蠶壇於北郊。
HCH_012_017_000201	丁巳，振山西饑。
HCH_012_017_000202	二月戊辰，耕耤田。
HCH_012_017_000203	乙亥，振京師饑。
HCH_012_017_000204	丁丑，禁官民服舍器用踰制。
HCH_012_017_000205	三月丁巳，皇后親蠶於北郊。
HCH_012_017_000206	夏四月丙戌，振延綏饑。
HCH_012_017_000207	五月己亥，更建四郊。
HCH_012_017_000208	六月癸亥，立曲阜孔、顏、孟三氏學。
HCH_012_017_000209	秋八月壬午，免江西被災稅糧。
HCH_012_017_000210	九月壬辰，罷雲南鎮守中官。
HCH_012_017_000211	乙未，免南畿被災秋糧。
HCH_012_017_000212	冬十一月辛丑，更正孔廟祀典，定孔子諡號曰至聖先師孔子。
HCH_012_017_000213	己酉，祀昊天上帝於南郊，禮成，大赦。
HCH_012_017_000214	是年，琉球入貢。
HCH_012_017_000215	十年春正月辛卯，祈穀於大祀殿，奉太祖、太宗配。
HCH_012_017_000216	甲午，更定廟祀，奉德祖於祧廟。
HCH_012_017_000217	乙巳，桂萼致仕。
HCH_012_017_000218	二月甲戌，免廬、鳳、淮、揚被災秋糧。
HCH_012_017_000219	壬申，賜張璁名孚敬。
HCH_012_017_000220	三月戊申，罷四川分守中官。
HCH_012_017_000221	夏四月丁巳，皇后親蠶於西苑。
HCH_012_017_000222	甲子，禘於太廟。
HCH_012_017_000223	五月壬子，祀皇地祇於方澤。
HCH_012_017_000224	閏六月己丑，罷浙江、湖廣、福建、兩廣及獨石、萬全、永寧鎮守中官。
HCH_012_017_000225	秋七月癸丑，侍郎葉相振陝西饑。
HCH_012_017_000226	戊午，張孚敬罷。
HCH_012_017_000227	辛巳，鄭王厚烷獻白雀，薦之宗廟。
HCH_012_017_000228	八月辛丑，改安陸州曰承天府。
HCH_012_017_000229	九月乙丑，西苑宮殿成，設成祖位致祭，宴羣臣。
HCH_012_017_000230	丙寅，禮部尚書李時兼文淵閣大學士，預機務。
HCH_012_017_000231	壬申，幸西苑，御無逸殿，命李時、翟鑾進講，宴儒臣於豳風亭。
HCH_012_017_000232	冬十一月甲寅，祀天於南郊。
HCH_012_017_000233	戊辰，免陝西被災秋糧。
HCH_012_017_000234	丁丑，召張孚敬復入閣。
HCH_012_017_000235	十二月戊子，御史喻希禮、石金因修醮請宥議禮諸臣罪，下錦衣衞獄。
HCH_012_017_000236	十一年春正月辛未，祈穀於圜丘，始命武定侯郭勛攝事。
HCH_012_017_000237	二月戊戌，免湖廣被災稅糧。
HCH_012_017_000238	三月戊辰，賜林大欽等進士及第、出身有差。
HCH_012_017_000239	夏四月辛卯，續封常遇春、李文忠、鄧愈、湯和後為侯。
HCH_012_017_000240	五月丙子，前吏部尚書方獻夫兼武英殿大學士，預機務。
HCH_012_017_000241	六月壬午，免畿內被災秋糧。
HCH_012_017_000242	甲申，續封劉基後誠意伯。
HCH_012_017_000243	秋七月戊辰，免南畿被災夏稅。
HCH_012_017_000244	八月戊子，以星變敕羣臣修省。
HCH_012_017_000245	辛丑，張孚敬罷。
HCH_012_017_000246	九月丁巳，振陝西饑。
HCH_012_017_000247	冬十月甲申，編修楊名以災異陳言，下獄謫戍。
HCH_012_017_000248	是月，免山東被災稅糧，振山西饑。
HCH_012_017_000249	十一月甲寅，四川巡撫都御史宋滄獻白兔，羣臣表賀。
HCH_012_017_000250	庚申，祀天於南郊。
HCH_012_017_000251	十二月己亥，免畿內被災稅糧。
HCH_012_017_000252	是年，琉球、哈密、土魯番、天方、撒馬兒罕入貢。
HCH_012_017_000253	十二年春正月丙午，河南巡撫都御史吳山獻白鹿，羣臣表賀。
HCH_012_017_000254	自後，諸瑞異表賀以為常。
HCH_012_017_000255	丙辰，召張孚敬復入閣。
HCH_012_017_000256	是月，免浙江、河南被災稅糧。
HCH_012_017_000257	二月乙酉，振雲南饑。
HCH_012_017_000258	三月丙辰，釋奠於先師孔子。
HCH_012_017_000259	秋八月乙未，以皇子生，詔赦天下。
HCH_012_017_000260	九月庚戌，廣東巢賊亂，提督侍郎陶諧討平之。
HCH_012_017_000261	冬十月乙亥，大同兵亂，殺總兵官李瑾，代王奔宣府。
HCH_012_017_000262	丙子，下建昌侯張延齡於獄。
HCH_012_017_000263	十一月己亥，振遼東災。
HCH_012_017_000264	癸丑，翟鑾以憂去。
HCH_012_017_000265	十二月己卯，吉囊犯寧夏，總兵官王効、副總兵梁震擊敗之。
HCH_012_017_000266	是年，土魯番、天方入貢。
HCH_012_017_000267	十三年春正月癸卯，廢皇后張氏。
HCH_012_017_000268	壬子，立德妃方氏為皇后。
HCH_012_017_000269	二月己丑，總督宣大侍郎張瓚撫定大同亂卒。
HCH_012_017_000270	辛卯，代王返國。
HCH_012_017_000271	三月壬申，振大同被兵者。
HCH_012_017_000272	乙酉，吉囊犯響水堡，參將任傑擊敗之。
HCH_012_017_000273	夏四月己酉，方獻夫致仕。
HCH_012_017_000274	六月甲子，南京太廟災。
HCH_012_017_000275	秋八月壬子，寇犯花馬池，梁震禦卻之。
HCH_012_017_000276	冬十一月庚午，祀天於南郊。
HCH_012_017_000277	是年，琉球入貢。
HCH_012_017_000278	十四年春正月壬申，罷督理倉場中官。
HCH_012_017_000279	丙戌，莊肅皇后崩。
HCH_012_017_000280	二月己亥，作九廟。
HCH_012_017_000281	丁未，禁冠服非制。
HCH_012_017_000282	三月戊子，葬孝靜皇后於康陵。
HCH_012_017_000283	己丑，遼東軍亂，執都御史呂經。
HCH_012_017_000284	夏四月甲午，張孚敬致仕，召費宏復入閣。
HCH_012_017_000285	丙申，賜韓應龍等進士及第、出身有差。
HCH_012_017_000286	丙午，廣寧兵亂。
HCH_012_017_000287	六月，吉囊犯大同，總兵官魯綱禦卻之。
HCH_012_017_000288	秋七月甲申，廣寧亂卒平。
HCH_012_017_000289	八月乙巳，詔九卿會推巡撫官，著為令。
HCH_012_017_000290	冬十月戊申，費宏卒。
HCH_012_017_000291	十一月乙亥，祀天於南郊。
HCH_012_017_000292	是年，烏斯藏入貢。
HCH_012_017_000293	十五年春二月癸巳，振湖廣災。
HCH_012_017_000294	三月丙子，奉章聖皇太后如天壽山謁陵，免昌平今年稅糧三之二，賜高年粟帛。
HCH_012_017_000295	癸未，謁恭讓章皇后、景皇帝陵。
HCH_012_017_000296	是日還宮。
HCH_012_017_000297	夏四月癸巳，詔建山陵。
HCH_012_017_000298	癸卯，詣七陵祭告。
HCH_012_017_000299	癸丑，還宮。
HCH_012_017_000300	是月，吉囊犯甘、涼，總兵官姜奭擊敗之。
HCH_012_017_000301	秋九月庚午，如天壽山。
HCH_012_017_000302	丁丑，還宮。
HCH_012_017_000303	是秋，吉囊犯延綏，官軍四戰皆敗之。
HCH_012_017_000304	冬十月己亥，更定世廟為獻皇帝廟。
HCH_012_017_000305	戊申，如天壽山。
HCH_012_017_000306	壬子，還宮。
HCH_012_017_000307	十一月戊午，以皇長子生，詔赦天下。
HCH_012_017_000308	辛巳，祀天於南郊。
HCH_012_017_000309	十二月辛卯，九廟成。
HCH_012_017_000310	閏月癸亥，以定廟制，加上兩宮皇太后徽號，詔赦天下。
HCH_012_017_000311	乙丑，禮部尚書夏言兼武英殿大學士，預機務。
HCH_012_017_000312	丙寅，享九廟。
HCH_012_017_000313	是年，免山西、山東被災稅糧。
HCH_012_017_000314	琉球、烏斯藏入貢。
HCH_012_017_000315	十六年春二月壬子，安南黎寧遣使告莫登庸之難。
HCH_012_017_000316	癸酉，如天壽山。
HCH_012_017_000317	三月甲申，還宮。
HCH_012_017_000318	丙午，幸大峪山視壽陵。
HCH_012_017_000319	夏四月癸丑，還宮。
HCH_012_017_000320	六月癸酉，吉囊寇宣府，指揮趙鏜戰死。
HCH_012_017_000321	秋八月，復寇宣府，殺參將張國輔。
HCH_012_017_000322	冬十一月，故昌國公張鶴齡下獄，瘐死。
HCH_012_017_000323	是年，土魯番、天方、撒馬兒罕入貢。
HCH_012_017_000324	十七年春二月戊辰，如天壽山。
HCH_012_017_000325	壬申，還宮。
HCH_012_017_000326	三月壬辰，賜茅瓚等進士及第、出身有差。
HCH_012_017_000327	辛丑，咸寧侯仇鸞為征夷副將軍，充總兵官，兵部尚書毛伯溫參贊軍務，討安南莫登庸。
HCH_012_017_000328	夏四月庚戌，如天壽山。
HCH_012_017_000329	甲寅，還宮。
HCH_012_017_000330	戊午，罷安南師。
HCH_012_017_000331	甲子，禱雨於郊壇。
HCH_012_017_000332	戊辰，雨。
HCH_012_017_000333	六月，寇犯宣府，都指揮周冕戰死。
HCH_012_017_000334	丙辰，定明堂大饗禮。
HCH_012_017_000335	下戶部侍郎唐冑於獄。
HCH_012_017_000336	秋七月辛卯，開河南、雲南銀礦。
HCH_012_017_000337	癸巳，慈寧宮成。
HCH_012_017_000338	八月甲辰，吉囊犯河西，總督都御史劉天和禦卻之。
HCH_012_017_000339	丙辰，禮部尚書掌詹事府事顧鼎臣兼文淵閣大學士，預機務。
HCH_012_017_000340	九月戊寅，免畿內被災稅糧。
HCH_012_017_000341	辛巳，上太宗廟號成祖，獻皇帝廟號睿宗。
HCH_012_017_000342	遂奉睿宗神主祔太廟，躋武宗上。
HCH_012_017_000343	辛卯，大享上帝於玄極寶殿，奉睿宗配。
HCH_012_017_000344	乙未，如天壽山。
HCH_012_017_000345	丁酉，還宮。
HCH_012_017_000346	冬十一月辛未朔，詣南郊，上皇天上帝號。
HCH_012_017_000347	還詣太廟，上太祖高皇帝、高皇后尊號。
HCH_012_017_000348	辛卯，祀天於南郊。
HCH_012_017_000349	詔赦天下。
HCH_012_017_000350	乙未，免江西被災稅糧。
HCH_012_017_000351	十二月癸卯，章聖皇太后崩。
