HCH_012_229_000207	適彗出西南，長竟天，詔百官修省，中行乃首上疏曰：「居正父子異地分暌，音容不接者十有九年。一旦長棄數千里外，陛下不使匍匐星奔，憑棺一慟，必欲其違心抑情，銜哀茹痛於廟堂之上，而責以訏謨遠猷，調元熙載，豈情也哉！居正每自言謹守聖賢義理，祖宗法度。宰我欲短喪，子曰：「予有三年之愛於其父母乎？』王子請數月之喪，孟子曰：「雖加一日愈於已。』聖賢之訓何如也？在律，雖編氓小吏，匿喪有禁；惟武人得墨缞從事，非所以處輔弼也。即雲起復有故事，亦未有一日不出國門，而遽起視事者。祖宗之制何如也？事系萬古綱常，四方視聽，惟今日無過舉，然後後世無遺議。銷變之道，無逾此者。」疏既上，以副封白居正。居正愕然曰：「疏進耶？」中行曰：「未進不敢白也。」明日，趙用賢疏入。又明日，艾穆、沈思孝疏入。居正怒，謀於馮保，欲廷杖之。翰林院侍講趙誌臯、張位、於慎行、張一桂、田一俊、李長春，修撰習孔教、沈懋學俱具疏救，格不入。學士王錫爵乃會詞臣數十人，求解於居正，弗納。遂杖中行等四人。明日，進士鄒元標疏爭，亦廷杖，五人者，直聲震天下。中行、用賢並稱吳、趙。南京御史朱鴻謨疏救五人，亦被斥。中行等受杖畢，校尉以布曳出長安門，舁以板扉，即日驅出都城。
HCH_012_229_000208	中行氣息已絕，中書舍人秦柱挾醫至，投藥一匕，乃蘇。
HCH_012_229_000209	輿疾南歸，刲去腐肉數十臠，大者盈掌，深至寸，一肢遂空。
HCH_012_229_000210	九年，大計京官，列五人察籍，錮不復敘。
HCH_012_229_000211	居正死，士楚當按蘇、松，憮然曰：「吾何面目見吳、趙二公！」
HCH_012_229_000212	遂引疾去。
HCH_012_229_000213	三謨已擢太常少卿，尋與士楚俱被劾削籍。
HCH_012_229_000214	廷臣交薦中行，召復故官，進右中允，直經筵。
HCH_012_229_000215	大學士許國攻李植、江東之，詆中行、用賢為其黨。
HCH_012_229_000216	中行奏辨，因乞罷，不許。
HCH_012_229_000217	再遷右諭德。
HCH_012_229_000218	御史蔡系周劾植，復侵中行，中行求去，章四上。
HCH_012_229_000219	詔賜白金、文綺，馳傳歸。
HCH_012_229_000220	言者屢薦，執政抑不召。
HCH_012_229_000221	久之，起侍講學士，掌南京翰林院。
HCH_012_229_000222	同里僉事徐常吉嘗訟中行，事已解，給事中王嘉謨復摭舊事劾之，命家居俟召。
HCH_012_229_000223	尋卒。
HCH_012_229_000224	後贈禮部右侍郎。
HCH_012_229_000225	子亮、元，從子宗達。
HCH_012_229_000226	亮官御史，坐累貶官，終大理少禦。
HCH_012_229_000227	元，江西布政使。
HCH_012_229_000228	宗達，少傅、建極殿大學士。
HCH_012_229_000229	亮尚誌節，與顧憲成諸人善。
HCH_012_229_000230	而元深疾東林，所輯《吾徵錄》，詆毀不遺力。
HCH_012_229_000231	兄弟異趣如此。
HCH_012_229_000232	趙用賢，字汝師，常熟人。
HCH_012_229_000233	父承謙，廣東參議。
HCH_012_229_000234	用賢舉隆慶五年進士，選庶吉士。
HCH_012_229_000235	萬歷初，授檢討。
HCH_012_229_000236	張居正父喪奪情，用賢抗疏曰：「臣竊怪居正能以君臣之義效忠於數年，不能以父子之情少盡於一日。臣又竊怪居正之勛望積以數年，而陛下忽敗之一旦。莫若如先朝楊溥、李賢故事，聽其暫還守制，刻期赴闕，庶父子音容乖暌阻絕於十有九年者，得區區稍伸其痛於臨穴憑棺之一慟也。國家設臺諫以司法紀、任糾繩，乃今嘵嘵為輔臣請留，背公議而徇私情，蔑至性而創異論。臣愚竊懼士氣之日靡，國是之日淆也。」
HCH_012_229_000237	疏入，與中行同杖除名。
HCH_012_229_000238	用賢體素肥，肉潰落如掌，其妻臘而藏之。
HCH_012_229_000239	用賢有女許御史吳之彥子鎮。
HCH_012_229_000240	之彥懼及，深結居正，得巡撫福建。
HCH_012_229_000241	過裏門，不為用賢禮，且坐鎮於其弟下，曰：「婢子也」，以激用賢。
HCH_012_229_000242	用賢怒，已察知其受居正黨王篆指，遂反幣告絕。
HCH_012_229_000243	之彥大喜。
HCH_012_229_000244	居正死之明年，用賢復故官，進右贊善。
HCH_012_229_000245	江東之、李植輩爭向之，物望皆屬焉。
HCH_012_229_000246	而用賢性剛，負氣傲物，數訾議大臣得失，申時行、許國等忌之。
HCH_012_229_000247	會植、東之攻時行，國遂力詆植、東之，而陰斥用賢、中行，謂：「昔之專恣在權貴，今乃在下僚；昔顛倒是非在小人，今乃在君子。意氣感激，偶成一二事，遂自負不世之節，號召浮薄喜事之人，黨同伐異，罔上行私，其風不可長。」
HCH_012_229_000248	於是用賢抗辨求去，極言朋黨之說，小人以之去君子、空人國，詞甚激憤。
HCH_012_229_000249	帝不聽其去。
HCH_012_229_000250	黨論之興，遂自此始。
HCH_012_229_000251	尋充經筵講官。
HCH_012_229_000252	再遷右庶子，改南京祭酒。
HCH_012_229_000253	薦舉人王之士、鄧元錫、劉元卿，清修積學。
HCH_012_229_000254	又請建儲，宥言官李沂罪。
HCH_012_229_000255	居三年，擢南京禮部右侍郎。
HCH_012_229_000256	以吏部郎中趙南星薦，改北部。
HCH_012_229_000257	尋以本官兼教習庶吉士。
HCH_012_229_000258	二十一年，王錫爵復入內閣。
HCH_012_229_000259	初，用賢徙南，中行、思孝、植、東之已前貶，或罷去，故執政安之。
HCH_012_229_000260	及是，用賢復以爭三王並封語侵錫爵，為所銜。
HCH_012_229_000261	會改吏部左侍郎，與文選郎顧憲成辨論人才，群情益附，錫爵不便也。
HCH_012_229_000262	用賢故所絕婚吳之彥者，錫爵裏人，時以僉事論罷，使其子鎮訐用賢論財逐婿，蔑法棄倫。
HCH_012_229_000263	用賢疏辨，乞休。
HCH_012_229_000264	詔禮官平議。
HCH_012_229_000265	尚書羅萬化以之彥其門生，引嫌力辭。
HCH_012_229_000266	錫爵乃上議曰：「用賢輕絕，之彥緩發，均失也。今趙女已嫁，難問初盟；吳男未婚，無容反坐。欲折其衷，宜聽用賢引疾，而曲貸之彥。」
HCH_012_229_000267	詔從之。
HCH_012_229_000268	用賢遂免歸。
HCH_012_229_000269	戶部郎中楊應宿、鄭材復力詆用賢，請據律行法。
HCH_012_229_000270	都御史李世達、侍郎李禎疏直用賢，斥兩人讒諂，遂為所攻。
HCH_012_229_000271	高攀龍、吳弘濟、譚一召、孫繼有、安希範輩皆坐論救褫職。
HCH_012_229_000272	自是朋黨論益熾。
HCH_012_229_000273	中行、用賢、植、東之創於前，元標、南星、憲成、攀龍繼之。
HCH_012_229_000274	言事者益裁量執政，執政日與枝拄，水火薄射，訖於明亡雲。
HCH_012_229_000275	用賢長身聳肩，議論風發，有經濟大略。
HCH_012_229_000276	蘇、松、嘉、湖諸府，財賦敵天下半，民生坐困。
HCH_012_229_000277	用賢官庶子時，與進士袁黃商榷數十晝夜，條十四事上之。
HCH_012_229_000278	時行、錫爵以為吳人不當言吳事，調旨切責，寢不行。
HCH_012_229_000279	家居四年卒。
HCH_012_229_000280	天啟初，贈太子少保、禮部尚書，謚文毅。
HCH_012_229_000281	孫士春、士錦，崇禎十年同舉進士。
HCH_012_229_000282	士春，字景之。
HCH_012_229_000283	第三人及第，授編修。
HCH_012_229_000284	明年，兵部尚書楊嗣昌奪情視事，未幾入閣。
HCH_012_229_000285	少詹事黃道周劾之，下獄。
HCH_012_229_000286	士春上疏曰：「嗣昌墨衰視事，既已罔效，陛下簡入綸扉，自應力辭新命。乃閱其奏牘，徒計歲月久近間，絕無哀痛惻怛之念，何奸悖一至此也！陛下破格奪情，曰人才不足故耳。不知人才所以不振，正由愛功名、薄忠孝致之。且無事不講儲材，有事輕言破格，非用人無弊之道也。臣祖用賢，首論故相奪情，幾斃杖下，臘敗肉示子孫。臣敢背家學，負明主，坐視綱常掃地哉？」
HCH_012_229_000287	帝怒，謫廣東布政司照磨。
HCH_012_229_000288	祖孫並以攻執政奪情斥，士論重之。
HCH_012_229_000289	後復故官，終左中允。
HCH_012_229_000290	艾穆，字和父，平江人。
HCH_012_229_000291	以鄉舉署阜城教諭，鄰郡諸生趙南星、喬璧星皆就學焉。
HCH_012_229_000292	入為國子助教。
HCH_012_229_000293	張居正知穆名，欲用為誥敕房中書舍人，不應。
HCH_012_229_000294	萬歷初，擢刑部主事。
HCH_012_229_000295	進員外郎，錄囚陜西。
HCH_012_229_000296	時居正法嚴，決囚不如額者罪。
HCH_012_229_000297	穆與御史議，止決二人。
HCH_012_229_000298	御史懼不稱，穆曰：「我終不以人命博官也。」
HCH_012_229_000299	還朝，居正盛氣譙讓。
HCH_012_229_000300	穆曰：「主上沖年，小臣體好生德，佐公平允之治，有罪甘之。」
HCH_012_229_000301	揖而退。
HCH_012_229_000302	及居正遭喪奪情，穆私居嘆息，遂與主事沈思孝抗疏諫曰：「自居正奪情，妖星突見，光逼中天。言官曾士楚、陳三謨甘犯清議，率先請留，人心頓死，舉國如狂。今星變未銷，火災繼起。臣敢自愛其死，不灑血一為陛下言之！陛下之留居正也，動曰為社稷故。夫社稷所重，莫如綱常。而元輔大臣者，綱常之表也。綱常不顧，何社稷之能安？且事偶一為之者，例也；而萬世不易者，先王之制也。今棄先王之制，而從近代之例，如之何其可也。居正今以例留，腆顏就列矣。異時國家有大慶賀、大祭祀，為元輔者，欲避則害君臣之義，欲出則傷父子之情。臣不知陛下何以處居正，居正又何以自處也！徐庶以母故辭於昭烈曰：「臣方寸亂矣。』居正獨非人子而方寸不亂耶？位極人臣，反不修匹夫常節，何以對天下後世！臣聞古聖帝明王勸人以孝矣，未聞從而奪之也。為人臣者，移孝以事君矣，未聞為所奪也。以禮義廉恥風天下猶恐不足，顧乃奪之，使天下為人子者，皆忘三年之愛於其父，常紀墜矣。異時即欲以法度整齊之，何可得耶！陛下誠眷居正，當愛之以德，使奔喪終制，以全大節；則綱常植而朝廷正，朝廷正而百官萬民莫不一於正，災變無不可弭矣。」時吳中行、趙用賢請令居正奔喪，葬畢還朝，而穆、思孝直請令終制，
HCH_012_229_000303	故居正尤怒。
HCH_012_229_000304	中行、用賢杖六十，穆、思孝皆八十加梏堣，置之詔獄。
HCH_012_229_000305	越三日，以門扉舁出城，穆遣戍涼州。
HCH_012_229_000306	創重不省人事，既而復蘇，遂詣戍所。
HCH_012_229_000307	穆，居正鄉人也。
HCH_012_229_000308	居正語人曰：「昔嚴分宜時未有同鄉攻擊者，我不得比分宜矣。」
HCH_012_229_000309	九年，大計，復置穆、思孝察籍。
HCH_012_229_000310	及居正死，言官交薦，起戶部員外郎。
HCH_012_229_000311	遷西川僉事，屢遷太僕少卿。
HCH_012_229_000312	十九年秋，擢右僉都御史，巡撫四川。
HCH_012_229_000313	故崇陽知縣周應中、賓州知州葉春及行義過人，穆舉以自代，不報。
HCH_012_229_000314	既之官，有告播州宣慰使楊應龍叛者，貴州巡撫葉夢熊請征之。
HCH_012_229_000315	蜀人多言應龍強，未易輕舉，穆亦不欲加兵，與夢熊異。
HCH_012_229_000316	朝命兩撫臣會勘，應龍不願赴貴州，乃逮至重慶，對簿論斬，輸贖，放之還。
