HCH_010_026_000161	遺詔燕國王延禧嗣位。
HCH_010_026_000162	六月庚子，上尊謚仁聖大孝文皇帝，廟號道宗。
HCH_010_026_000163	贊曰：道宗初即位，求直言，訪治道，勸農興學，救災恤患，粲然可觀。
HCH_010_026_000164	及夫謗訕之令既行，告訐之賞日重。
HCH_010_026_000165	群邪並興，讒巧競進。
HCH_010_026_000166	賊及骨肉，皇基浸危。
HCH_010_026_000167	眾正淪胥，諸部反側，甲兵之用，無寧歲矣。
HCH_010_026_000168	一歲而飯僧三十六萬，一日而祝髮三千。
HCH_010_026_000169	徒勤小惠，蔑計大本，尚足與論治哉？
HCH_010_026_000170	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
