HCH_015_037_000160	永明八年，大水，百官戎服救太廟，悰朱衣乘車鹵簿，於宣陽門外行馬內驅打人，爲有司所奏，見原。
HCH_015_037_000161	上以悰布衣之舊，從容謂悰曰：「我當令卿復祖業。」
HCH_015_037_000162	轉侍中，朝廷咸驚其美拜。
HCH_015_037_000163	遷祠部尚書。
HCH_015_037_000164	世祖幸芳林園，就悰求扁米。
HCH_015_037_000165	悰獻及雜肴數十轝，太官鼎味不及也。
HCH_015_037_000166	上就悰求諸飲食方，悰秘不肯出，上醉後體不快，悰乃獻醒酒鯖鮓一方而已。
HCH_015_037_000167	出爲冠軍將軍，車騎長史，轉度支尚書，領步兵校尉。
HCH_015_037_000168	鬱林立，改領右軍將軍，揚州大中正，兼大匠卿。
HCH_015_037_000169	起休安陵，於陵所受局下牛酒，坐免官。
HCH_015_037_000170	隆昌元年，以白衣領職。
HCH_015_037_000171	鬱林廢，悰竊歎曰：「王、徐遂縛袴廢天子，天下豈有此理邪？」
HCH_015_037_000172	廷興元年，復領右軍。
HCH_015_037_000173	明帝立，悰稱疾不陪位。
HCH_015_037_000174	帝使尚書令王晏賫廢立事示悰，以悰舊人，引參佐命。
HCH_015_037_000175	悰謂晏曰：「主上聖明，公卿戮力，寧假朽老以匡贊惟新乎？不敢聞命。」
HCH_015_037_000176	朝議欲糾之，僕射徐孝嗣曰：「此亦古之遺直。」
HCH_015_037_000177	衆議乃止。
HCH_015_037_000178	悰稱疾篤還東，上表曰：「臣族陋海區，身微稽土，猥屬興運，荷竊稠私，徒越星紀，終慚報答。衞養乖方，抱疾嬰固，寢瘵以來，倏踰旬朔，頻加醫治，曾未瘳損。惟此朽頓，理難振復，乞解所職，盡療餘辰。」
HCH_015_037_000179	詔賜假百日。
HCH_015_037_000180	轉給事中，光祿大夫，尋加正員常侍。
HCH_015_037_000181	永元元年，卒。
HCH_015_037_000182	時年六十五。
HCH_015_037_000183	悰性敦實，與人知識，必相存訪，親疏皆有終始，世以此稱之。
HCH_015_037_000184	從弟袤，矢志不仕。
HCH_015_037_000185	王敬則反，取袤監會稽郡，而軍事悉付寒人張靈寶，郡人攻郡殺靈寶，袤以不豫事得全。
HCH_015_037_000186	胡諧之，豫章南昌人也。
HCH_015_037_000187	祖廉之，治書侍御史。
HCH_015_037_000188	父翼之，州辟不就。
