HCH_012_327_000223	冬復糾三衞入寇，延綏、榆林大擾。
HCH_012_327_000224	六年春，大同巡撫王越遣遊擊許寧擊敗之；楊信等亦大破之于胡柴溝。
HCH_012_327_000225	時孛魯乃與斡羅出合別部癿加思蘭、孛羅忽亦入據河套，為久居計。
HCH_012_327_000226	延綏告急，帝命永為將軍，以王越參贊軍務，使禦敵。
HCH_012_327_000227	永至，數以捷聞，越等皆陞賞，論功永世侯，而敵據套自如。
HCH_012_327_000228	七年春，永上戰守二策，廷議以糧匱馬乏，難於進剿，請命邊將慎守禦以圖萬全。
HCH_012_327_000229	于是吏部侍郎葉盛巡邊，偕延綏巡撫余子俊及越議築邊牆，設立臺堡。
HCH_012_327_000230	冬，敵入塞，參將錢亮敗績，越等不能救。
HCH_012_327_000231	兵部尚書白圭請擇遣大將軍專事敵，會盛還，越亦赴京計事，乃集廷議，請大發兵搜套。
HCH_012_327_000232	帝以武靖侯趙輔為將軍，節制諸路，王越仍督師。
HCH_012_327_000233	敵大入延綏，輔不能禦，遂召還，以寧晉伯劉聚代之，聚亦未有功。
HCH_012_327_000234	而毛里孩、孛魯乃、斡羅出稍衰，滿都魯入河套稱可汗，癿加思蘭為太師。
HCH_012_327_000235	九年秋，滿都魯等與孛羅忽並寇韋州。
HCH_012_327_000236	王越偵知敵盡行，其老弱巢紅鹽池，乃與許寧及遊擊周玉率輕騎晝夜疾馳至，分薄其營，前後夾擊，大破之。
HCH_012_327_000237	復邀擊于韋州。
HCH_012_327_000238	滿都魯等敗歸，孳畜廬帳蕩盡，妻孥皆喪亡，相顧悲哭去。
HCH_012_327_000239	自是，不復居河套，邊患少弭；間盜邊，弗敢大入，亦數遣使朝貢。
HCH_012_327_000240	初，癿加思蘭以女妻滿都魯，立為可汗。
HCH_012_327_000241	久之殺孛羅忽，并其眾，益專恣。
HCH_012_327_000242	滿都魯部脫羅干、亦思馬因謀殺之。
HCH_012_327_000243	尋滿都魯亦死，諸強酋相繼略盡，邊人稍得息肩。
HCH_012_327_000244	時中官汪直怙恩用事，思以邊功自樹，王越、朱永附之。
HCH_012_327_000245	十六年春，邊將上言，傳聞敵將渡河，遽以永為將軍。
HCH_012_327_000246	直與越督師至邊，未及期，襲敵於威寧海子，大破之，又敗之于大同。
HCH_012_327_000247	永晉公爵，予世襲，越封威寧伯，直增祿至三百石。
HCH_012_327_000248	未幾詔以越代永總兵。
HCH_012_327_000249	于是亦思馬因等益糾眾盜邊，延及遼塞。
HCH_012_327_000250	秋，敵三萬騎寇大同，連營五十里，殺掠人畜數萬。
HCH_012_327_000251	總兵許寧禦之，兵敗，以捷聞。
HCH_012_327_000252	敵既得利，長驅入順聖川，散掠渾源、朔諸州。
HCH_012_327_000253	宣府巡撫秦紘、總兵周玉力戰卻之。
HCH_012_327_000254	山西巡撫邊鏞，參將支玉等悉力捍禦，敵去輒復來，迄成化末無寧歲。
HCH_012_327_000255	亦思馬因死，入寇者復稱小王子，又有伯顏猛可王。
HCH_012_327_000256	弘治元年夏，小王子奉書求貢，自稱大元大可汗。
HCH_012_327_000257	朝廷方務優容，許之。
HCH_012_327_000258	自是，與伯顏猛可王等屢入貢，漸往來套中，出沒為寇。
HCH_012_327_000259	八年，北部亦卜剌因王等入套駐牧。
HCH_012_327_000260	于是小王子及脫羅干之子火篩相倚日強，為東西諸邊患。
HCH_012_327_000261	其年，三入遼東，多殺掠。
HCH_012_327_000262	明年，宣、大、延綏諸境俱被殘。
HCH_012_327_000263	十一年秋，王越既節制諸邊，乃率輕兵襲敵于賀蘭山後，破之。
HCH_012_327_000264	明年，敵擁眾入大同、寧夏境，遊擊王杲敗績，參將秦恭、副總兵馬昇逗遛不進，皆論死。
HCH_012_327_000265	時平江伯陳銳為總兵，侍郎許進督師，久無功，被劾去，以保國公朱暉、侍郎史琳代之，太監苗逵監軍。
HCH_012_327_000266	十三年冬，小王子復居河套。
HCH_012_327_000267	明年春，吏部侍郎王鏊上禦敵八策：一曰定廟算，二曰重主將，三曰嚴法令，四曰恤邊民，五曰廣招募，六曰用間，七曰分兵，八曰出奇。
HCH_012_327_000268	帝命所司知之。
HCH_012_327_000269	時敵以八千騎東駐遼塞下，攻入長勝堡，殺掠殆盡。
HCH_012_327_000270	秋，暉等以五路之師夜襲敵于河套，斬首三級，驅孳畜千餘歸，賞甚厚。
HCH_012_327_000271	小王子以十萬騎從花馬池、鹽池入，散掠固原、寧夏境，三輔震動，戕殺慘酷。
HCH_012_327_000272	十五年以戶部尚書秦紘總制陝西。
HCH_012_327_000273	夏，敵入遼東清河堡，至密雲，旋西掠偏頭關。
HCH_012_327_000274	秋，復以五千騎犯遼東長安堡，副總兵劉祥禦之，斬首五十一級，敵乃退。
HCH_012_327_000275	明年，稍靖。
HCH_012_327_000276	十七年春，敵上書請貢，許之，竟不至；仍入大同殺墩軍，犯宣府及莊浪，守將衞勇、白玉等禦卻之。
HCH_012_327_000277	明年春，敵三萬騎圍靈州，復散掠內地，指揮仇鉞、總兵李祥擊走之。
HCH_012_327_000278	敵大舉入寇宣府，總兵張俊禦之，大敗，裨將張雄、穆榮戰歿。
HCH_012_327_000279	武宗嗣位，復命暉、琳出禦。
HCH_012_327_000280	冬，敵入鎮夷所，指揮劉經死之。
HCH_012_327_000281	復自花馬池毀垣入，掠隆德、靜寧、會寧諸處，關中大擾，以楊一清為總制。
HCH_012_327_000282	時正德元年春也。
HCH_012_327_000283	劉瑾用事，監軍皆閹人，一清不得職去，文貴、才寬相繼受事。
HCH_012_327_000284	二年，敵入寧夏、莊浪及定遼後衞諸境，守將皆逮問。
HCH_012_327_000285	四年，敵數寇大同。
HCH_012_327_000286	冬，才寬禦敵於花馬池，中伏死。
HCH_012_327_000287	總兵馬昂與別部亦孛來戰于木瓜山；勝之，斬三百六十五級，獲馬畜六百餘，軍器二千九百餘。
HCH_012_327_000288	明年，北部亦卜剌與小王子仇殺。
HCH_012_327_000289	亦卜剌竄西海，阿爾禿厮與合，逼脅洮西屬番，屢入寇。
HCH_012_327_000290	巡撫張翼、總兵王勛不能制，漸深入，邊人苦之。
HCH_012_327_000291	八年夏，擁眾來川，遣使詣翼所，乞邊地駐牧修貢。
HCH_012_327_000292	翼啗以金帛，令遠徙，亦卜剌遂西掠烏斯藏，據之。
HCH_012_327_000293	自是，洮、岷、松潘無寧歲。
HCH_012_327_000294	小王子數入寇，殺掠尤慘。
HCH_012_327_000295	復以五萬騎攻大同，趣朔州，掠馬邑。
HCH_012_327_000296	帝命咸寧侯仇鉞總兵禦之，戰于萬全衞，斬三級，而所失亡十倍，以捷聞。
HCH_012_327_000297	明年秋，敵連營數十，寇宣、大塞，而別遣萬騎掠懷安。
HCH_012_327_000298	總制叢蘭告急，命太監張永督宣、大、延綏兵，都督白玉為大將，協蘭守禦，京師戒嚴。
HCH_012_327_000299	已，敵踰懷安趣蔚州，至平虜城南，蘭等預置毒飯於田間如農家餉，而設伏以待。
HCH_012_327_000300	敵至，中毒，伏猝發，多死者。
HCH_012_327_000301	其年，小王子部長卜兒孩以內難復奔據西海，出沒寇西北邊。
HCH_012_327_000302	十一年秋，小王子以七萬騎分道入，與總兵潘浩戰于賈家灣。
HCH_012_327_000303	浩再戰再敗，裨將朱春、王唐死之。
HCH_012_327_000304	張永遇於老營坡，被創走居庸。
HCH_012_327_000305	敵遂犯宣府，凡攻破城堡二十，殺掠人畜數萬。
HCH_012_327_000306	浩奪三官，諸將降罰有差。
