HCH_012_268_000229	朝廷急遣盧九德諭止，得功遂移鎮廬州。
HCH_012_268_000230	四月，左良玉東下，以請君側為名，至九江，病死，軍中立其子夢庚。
HCH_012_268_000231	命得功趨上江禦之，駐師荻港。
HCH_012_268_000232	得功破夢庚於銅陵，解其圍。
HCH_012_268_000233	命移家鎮太平，一意辦賊，論功加左柱國。
HCH_012_268_000234	時大清兵已渡江，知福王奔，分兵襲太平。
HCH_012_268_000235	得功方收兵屯蕪湖，福王潛入其營。
HCH_012_268_000236	得功驚泣曰：「陛下死守京城，臣等猶可盡力，奈何聽奸人言，倉卒到此！且臣方對敵，安能扈駕？」
HCH_012_268_000237	王曰：「非卿無可仗者。」
HCH_012_268_000238	得功泣曰：「願效死。」
HCH_012_268_000239	得功戰荻港時，傷臂幾墮。
HCH_012_268_000240	衣葛衣，以帛絡臂，佩刀坐小舟，督麾下八總兵結束前迎敵。
HCH_012_268_000241	而劉良佐已先歸命，大呼岸上招降。
HCH_012_268_000242	得功怒叱曰：「汝乃降乎！」
HCH_012_268_000243	忽飛矢至，中其喉偏左。
HCH_012_268_000244	得功知不可為，擲刀拾所拔箭刺吭死。
HCH_012_268_000245	其妻聞之，亦自經。
HCH_012_268_000246	總兵翁之琪投江死，中軍田雄遂挾福王降。
HCH_012_268_000247	得功粗猛不識文義。
HCH_012_268_000248	江南初立，王詔書指揮，多出群小。
HCH_012_268_000249	得功得詔紙或對使罵裂之。
HCH_012_268_000250	然忠義出天性，聞以國事相規誡者，輒屈己改不旋踵。
HCH_012_268_000251	北來太子之獄，得功抗疏爭曰：「東宮未必假冒，先帝子即上子，未有了無證明，混然雷同者。臣恐在廷諸臣，諂徇者多，抗顏者少，即明白識認，亦不敢抗詞取禍矣。」
HCH_012_268_000252	時太子真偽莫敢決，而得功忠憤不阿如此。
HCH_012_268_000253	得功每戰，飲酒數鬥，酒酣氣益厲。
HCH_012_268_000254	喜持鐵鞭戰，鞭漬血沾手腕，以水濡之，久乃得脫，軍中呼為黃闖子。
HCH_012_268_000255	始為偏裨，隨大帥立功名，未嘗一當大敵。
HCH_012_268_000256	及專鎮封侯，不及一年余而南北轉徙，主逃將潰，無所一用其力，束手就殪，與國俱亡而已。
HCH_012_268_000257	其軍行紀律嚴，下無敢犯，所至人感其德。
HCH_012_268_000258	廬州、桐城、定遠皆為立生祠。
HCH_012_268_000259	葬儀真方山母墓側。
HCH_012_268_000260	贊曰：曹文詔等秉驍猛之資，所向摧敗，皆所稱萬人敵也。
HCH_012_268_000261	大命既傾，良將顛蹶。
HCH_012_268_000262	三人者忠勇最著，死事亦最烈，故別著於篇。
