HCH_010_053_000167	贊拜，舞蹈，五拜，引右出。
HCH_010_053_000168	臣僚皆出。
HCH_010_053_000169	丞相、樞密使同，餘官不升殿，賜酒，不帶節度使不通班，止通名，七拜。
HCH_010_053_000170	眾謝，班首一人出班中謝。
HCH_010_053_000171	拜表儀：其日，先於東上閣門陳設氈位，分引南北臣僚、諸國使副於氈位合班。
HCH_010_053_000172	通事舍人二人舁表案，置班首前，揖鞠躬，再拜，平身。
HCH_010_053_000173	中書舍人立案側，班首跪，搢笏，興，捧表，跪左膝，以表授中書舍人。
HCH_010_053_000174	出笏，就拜，興，再拜。
HCH_010_053_000175	中書舍人復置表案上。
HCH_010_053_000176	通事舍人舁表案於東上閣門入，卷班，分引出。
HCH_010_053_000177	禮畢。
HCH_010_053_000178	元日皇帝不御坐行此儀，余應上表有故皆仿此。
HCH_010_053_000179	賀生皇子儀：其日，奉先帝御容，設正殿，皇帝御八角殿升坐。
HCH_010_053_000180	聲警畢，北南宣徽使殿階上左右立，北南臣僚金冠盛服，合班入。
HCH_010_053_000181	班首二人捧表立，讀表官先於左階上側立。
HCH_010_053_000182	二宣徽使東西階下殿受表，捧表者跪左膝授訖，就拜，興，再拜。
HCH_010_053_000183	各祗候。
HCH_010_053_000184	二宣徽使俱左階上授讀表官，讀訖，揖臣僚鞠躬。
HCH_010_053_000185	引北面班首左階上殿，欄內稱賀訖，引左階下殿，復位，舞蹈，五拜。
HCH_010_053_000186	禮畢。
HCH_010_053_000187	賀祥瑞儀：聲警，北南臣僚金冠盛服，合班立。
HCH_010_053_000188	班首二人各奉表賀，北南宣徽使左階下殿受表，上殿授讀表大臣。
HCH_010_053_000189	讀訖，揖殿下臣僚鞠躬，五拜畢，鞠躬。
HCH_010_053_000190	引班首二人左階上殿，欄內拜跪稱賀，致詞訖，引左階下殿，復位，五拜畢，鞠躬。
HCH_010_053_000191	宣答、聽制訖，再拜，鞠躬。
HCH_010_053_000192	謝宣諭，五拜畢，各祗候，分班侍立。
HCH_010_053_000193	禮畢，兩府奏事如常。
HCH_010_053_000194	乾統六年，木葉山瑞雲見，始行此儀。
HCH_010_053_000195	天慶元年，天雨谷，謝宣諭後，趙王進酒，教坊動樂，臣僚酒一行。
HCH_010_053_000196	禮畢，奏事。
HCH_010_053_000197	賀平難儀：皇帝、皇后升殿坐，北南臣僚並命婦合班，五拜。
HCH_010_053_000198	揖班首二人出班，俯跪，搢笏，執表，舁案近前。
HCH_010_053_000199	閣使受表，置案上，皆再拜。
HCH_010_053_000200	通事舍人二人舁案，左階上殿，置露臺上。
HCH_010_053_000201	讀表官受，入讀表。
HCH_010_053_000202	對禦讀訖，臣僚殿下五拜，鞠躬。
HCH_010_053_000203	引班首二人左右階上殿，欄內並立。
HCH_010_053_000204	先引北面班首少前，跪致詞訖，退復褥位。
HCH_010_053_000205	次引南面班首亦如之。
HCH_010_053_000206	畢，分引左右階下殿，復位，五拜，鞠躬。
HCH_010_053_000207	宣徽稱「有敕」，再拜，宣答「內難已平，與公等內外同慶。」
HCH_010_053_000208	謝宣諭，五拜。
HCH_010_053_000209	卷班。
HCH_010_053_000210	臣僚從皇帝，命婦從皇后，詣皇太后殿，見先帝御容，陪位，皆再拜。
HCH_010_053_000211	皇太后正坐，稱賀，共十拜，並引上殿，賜宴如儀。
HCH_010_053_000212	平難之儀，道宗清寧九年，太叔重元謀逆，仁懿太后親率衛士與逆黨戰。
HCH_010_053_000213	事平，因制此儀。
HCH_010_053_000214	正旦朝賀儀：臣僚並諸國使昧爽入朝，奏「班齊」。
HCH_010_053_000215	皇帝升殿坐，契丹舍人殿上通訖，引契丹臣僚東洞門入，引漢人臣僚並諸國使西洞門入。
HCH_010_053_000216	合班，舞蹈，五拜，鞠躬，平身。
HCH_010_053_000217	引親王東階上殿，欄內褥位俯伏跪，自通全銜臣某等祝壽訖，伏興，退，引東階下殿，復位，舞蹈，五拜畢，鞠躬。
HCH_010_053_000218	宣徽使殿上鞠躬，奏「臣宣答」，稱「有敕」，班首以下聽制訖，再拜，鞠躬。
HCH_010_053_000219	宣徽傳宣云：履新之慶，與公等同之。
HCH_010_053_000220	舍人贊謝宣諭，拜，舞蹈，五拜。
HCH_010_053_000221	贊各祗候，分班引出，引班首西階上殿，奏表目訖，教坊起居，賀，十二拜，畢，贊各祗候。
HCH_010_053_000222	引契丹、漢人臣僚並諸國使東西洞門入，合班，再拜。
HCH_010_053_000223	贊進酒，引親王東階上殿，就欄內褥位，搢笏，執臺盞，進酒訖，退，復褥位，置臺，出笏，少前俯跪，自通全銜臣某等謹進千萬歲壽酒。
HCH_010_053_000224	俯伏興，退，復褥位，與殿下臣僚皆再拜，鞠躬。
HCH_010_053_000225	俟宣徽使殿上鞠躬，奏「臣宣答」，稱「有敕」，親王以下再拜如初儀。
HCH_010_053_000226	傳宣云：「飲公等壽酒，與公等內外同慶。」
HCH_010_053_000227	舍人贊謝宣諭如初。
HCH_010_053_000228	贊各祗候。
HCH_010_053_000229	親王搢笏，執臺，殿下臣僚分班。
HCH_010_053_000230	皇帝飲酒，教坊奏樂，殿上下臣僚皆拜，稱「萬歲」。
HCH_010_053_000231	贊各祗候。
HCH_010_053_000232	樂止，教坊再拜。
HCH_010_053_000233	皇帝卒飲，親王進受戔，復褥位，置臺戔，出笏。
HCH_010_053_000234	揖臣僚合班，引親王東階下殿，復位，鞠躬，再拜。
HCH_010_053_000235	贊各祗候，分班引出。
HCH_010_053_000236	皇帝起，詣皇太后殿，臣僚並諸國使皆從。
HCH_010_053_000237	皇太后升殿，皇帝東方側坐。
