HCH_009_022_000155	交朔加之，得次朔。
HCH_009_022_000156	交望加之，得次望。
HCH_009_022_000157	再加交望，亦得次朔。
HCH_009_022_000158	各為朔、望入交泛日及餘秒各置入交泛日及餘秒，減去經朔、望小餘，即為定朔、望夜半入交泛日及餘秒。
HCH_009_022_000159	若定朔、望有進退者，亦進退交日，否則因經為定。
HCH_009_022_000160	大月加二日，小月加一日，餘皆加四千一百二十秒六百三十二，即次朔夜半入交。
HCH_009_022_000161	累加一日，滿交終日及餘秒去之，即每日夜半入交泛日及餘秒。
HCH_009_022_000162	置經朔、望加時入交泛日及餘秒，以入氣入轉朓棵定數，朓減朒加之，即定朔加時入交泛日及餘秒。
HCH_009_022_000163	置定朔、望加時入交泛日，以日法通之，內餘，進二位，如三萬九千一百二十一而一為度，不滿退除為分秒，即定朔、望加時月行入交積度。
HCH_009_022_000164	以定朔、望加時入轉遲疾度，遲減疾加之，即月行之入交定積度。
HCH_009_022_000165	如交中度以下，入陽曆積度；以上，去之，餘為入陰曆積度。
HCH_009_022_000166	每日夜半，准此求之。
HCH_009_022_000167	視月入陰陽曆積度及分，如交象以下，為少象；以上，覆減交中，餘為老象。
HCH_009_022_000168	置所入老少象度於上，列交象度於下，相減相乘，倍而退位為分，滿百為度，用減所入老少象度及分，餘又與交中度相減相乘，八因之，以百一十除為分，分滿百為度，即得月去黃道度。
HCH_009_022_000169	朔望入交泛日，以入氣朓棵定數，朓減朒加之，為入交常日。
HCH_009_022_000170	又置入轉朓棵定數，進一位，一百二十七而一，所得朓減朒加入交常日，為入交定日及餘秒。
HCH_009_022_000171	視入交定日，如交中以下，為陽曆；以上，去之，為陰曆。
HCH_009_022_000172	如一日上下，以日法通日為分。
HCH_009_022_000173	為交後分。
HCH_009_022_000174	十三日上下，覆減交中，為交前分。
HCH_009_022_000175	置朔、望入氣入轉朓棵定數，同名相從，異名相消，以一千三百三十七乘之，定朔、望加時入轉算外轉定分除之，所得，以朓減朒加經朔、望小餘，為泛餘。
HCH_009_022_000176	日蝕：視泛餘如半法以下，為中前分；半法以上，去半法，為中後分。
HCH_009_022_000177	置中前後分，與半法相減相乘，倍之，萬約為分，曰時差。
HCH_009_022_000178	中前，以時差減泛余為定餘，覆減半法，餘為午前分。
HCH_009_022_000179	中後，以時差加泛為定餘，減去半法，為午後分。
HCH_009_022_000180	月食：視泛餘在日入後、夜半前者，如日法四分之三以下，減去半法，為酉前分；四分之三以上，覆減日法，餘為酉後分，又視泛餘在夜半後、日出前者，如日法四分之一以下，為卯前分，四分之一以上，覆減半法，餘為卯後分。
HCH_009_022_000181	其卯酉前後分，自相乘。
HCH_009_022_000182	四因，退位，萬約為分，以加泛餘，為定餘。
HCH_009_022_000183	各置定餘，以發斂加時法求之，即得日月所蝕之辰刻。
HCH_009_022_000184	置定朔、望食甚大小餘，與經朔、望大小餘相減之餘，以加減經朔、望入氣日小餘，經朔、望日少加多減。
HCH_009_022_000185	即為食甚入氣。
HCH_009_022_000186	以加其氣中積，為食甚中積。
HCH_009_022_000187	又置食甚入氣小餘，以所入氣日損益率盈縮之損益乘之，日法而一，以損益其日盈縮積；盈加縮減食甚中積，即為食甚日行積度及分。
HCH_009_022_000188	置日食甚日行積度及分，滿中限去之，餘在象限以下，為初限；以上，覆減中限，為末限，皆有相乘，進二位，如四百七十八而一，所得，用減一千七百四十四，餘為氣差恆數。
HCH_009_022_000189	以午前後分乘之，半晝分除之，所得，以減恆數為定數。
HCH_009_022_000190	不及減，覆減之，為定數。
HCH_009_022_000191	應加者減之，減者加之。
HCH_009_022_000192	春分後，陽曆減，陰曆加；秋分後，陽曆加，陰曆減。
HCH_009_022_000193	春分前、秋分後各二日二千一百分為定氣，於此加減之。
HCH_009_022_000194	置日食甚日行積度及分，滿中限去之，餘與中限相減相乘，進二位，如四百七十八而一，所得，為刻差恆數。
HCH_009_022_000195	以午前後分乘之，日法四分之一除之，所得為定數。
HCH_009_022_000196	若在恆數以上者，倍恆數，以所得數減之為定數，依其加減。
HCH_009_022_000197	冬至後，午前陽加陰減，午後陽減陰加。
HCH_009_022_000198	夏至後，午前陽減陰加，午後陽加陰減。
HCH_009_022_000199	氣刻二差定數，同名相從，異名相消，為食差。
HCH_009_022_000200	依其加減去交前後分，為去交前後定分。
HCH_009_022_000201	視其前後定分，如在陽曆，即不食；如在陰曆，即有食之。
HCH_009_022_000202	如交前陰曆不及減，反減之，反減食差。
HCH_009_022_000203	為交後陽曆；交後陰曆不及減，反減之，為交前陽曆；即不食，交前陽曆不及減，反減之，為交後陰曆；交後陽曆，不及減，反減之，為交前陰曆；即日有食之。
HCH_009_022_000204	視去交前後定分，如二千四百以下，為既前分，以二百四十八除為大分。
HCH_009_022_000205	二千四百以上，覆減五千五百，不足減者不食。
HCH_009_022_000206	為既後分，以三百二十除為大分。
HCH_009_022_000207	不盡，退除為秒，即得日食之分秒。
HCH_009_022_000208	視去交前後分，不用氣刻差者。
HCH_009_022_000209	一千七百以下者，食既。
HCH_009_022_000210	以上，覆減五千一百，不足減者不食。
HCH_009_022_000211	餘以三百四十除為大分，不盡，退除為秒，即為月食之分秒也。
HCH_009_022_000212	去交分在既限以下，覆減既限，亦以三百四十除，為既內之大分。
HCH_009_022_000213	置日食之大分，與三十分相減相乘，又以二千四百五十乘之，如定朔入轉算外轉定分而一，所得，為定用分。
HCH_009_022_000214	減定余，為初虧分。
HCH_009_022_000215	加定餘，為複圓分。
HCH_009_022_000216	各以發斂加時法求之，即得日食三限辰刻。
HCH_009_022_000217	置月食之大分，與三十分相減相乘，又以二千一百乘之，如定望入轉算外轉定分而一，所得，為定用分。
HCH_009_022_000218	加減定余，為初虧、複圓分。
HCH_009_022_000219	各如發斂加時法求之，即得月食三限辰刻。
HCH_009_022_000220	月食既者，以既內大分與十五相減相乘，又以四千二百乘之，如定望入轉算外轉定分而一，所得，為既內分。
HCH_009_022_000221	用減定用分，為既外分。
HCH_009_022_000222	置月食餘減定用分，為初虧。
HCH_009_022_000223	因加既外分，為食既。
HCH_009_022_000224	又加既內分，為食甚。
HCH_009_022_000225	既定餘分也。
HCH_009_022_000226	再加既內分，為生光。
HCH_009_022_000227	複加既外分，為複圓。
HCH_009_022_000228	各以發斂加時法求之，既得月食五限辰刻。
HCH_009_022_000229	置食甚所入日晨分，倍之，五約為更法。
HCH_009_022_000230	又五約更法，為點法。
HCH_009_022_000231	乃置月食初末諸分，昏分以上減昏分，晨分以下加晨分。
HCH_009_022_000232	如不滿更法為初更。
HCH_009_022_000233	不滿點法為一點。
HCH_009_022_000234	依法以次求之，既各得更點數。
HCH_009_022_000235	食在既前，初起西南，甚于正南，複于東南；食在既後，初起西北，甚於正北，複于東北。
HCH_009_022_000236	其食八分以上，皆起正西，複於正東。
HCH_009_022_000237	此據正午地而論之。
HCH_009_022_000238	月在陽曆：初起東北，甚於正北，複於西北。
HCH_009_022_000239	月在陰曆：初起東南，甚于正南，複於西南。
HCH_009_022_000240	其食八分以上，皆起正東，複於正西。
HCH_009_022_000241	此亦據午地而論之各以食甚小餘，與日出入分相減，餘為帶食差，以乘所食之分，滿定用分而一，月食既者，以既內分減帶食差，餘乘所食分，如既外分而一。
HCH_009_022_000242	不及減者，為帶食既出入。
HCH_009_022_000243	以減所食分，即日月出入帶食所見之分。
HCH_009_022_000244	其食甚在晝，晨為漸進，昏為已退。
HCH_009_022_000245	食甚在夜，晨為已退，昏為漸進。
HCH_009_022_000246	置日月食甚日行積度，望即更加半周天。
HCH_009_022_000247	以天正冬至加時黃道日度，加而命之，依黃道宿次去之，即各得日月食甚宿度及分。
HCH_009_022_000248	周率：二百八萬六千一百四十二，五十四秒。
HCH_009_022_000249	曆率：二千二百六十五萬五百七。
HCH_009_022_000250	曆度法：六萬二千一十四。
HCH_009_022_000251	周日：三百九十八日，八十八分。
HCH_009_022_000252	曆度：三百六十五度，二十四分，八十二秒。
HCH_009_022_000253	曆中：一百八十二度，六十二分，四十一秒。
HCH_009_022_000254	曆策：一十五度，二十一分，八十七秒。
HCH_009_022_000255	伏見：一十三度。
HCH_009_022_000256	周率：四百七萬九千四十一，秒九十七。
HCH_009_022_000257	曆率：三百五十九萬二千七百五十八，秒三十二。
HCH_009_022_000258	曆度法：九千八百三十六半。
HCH_009_022_000259	周日：七百七十九日，九十三分，一十六秒。
HCH_009_022_000260	曆度：三百六十五度，二十四分，七十六秒。
HCH_009_022_000261	曆中：一百八十二度，六十二分，三十八秒。
HCH_009_022_000262	曆策：一十五度，二十一分，八十六秒。
HCH_009_022_000263	伏見：一十九度。
HCH_009_022_000264	周率：一百九十七萬七千四百一十二，秒四十六。
HCH_009_022_000265	曆率：五千六百二十二萬三千二百一十九。
HCH_009_022_000266	曆度法：一十五萬三千九百二十八。
HCH_009_022_000267	周日：三百七十八日，九分，三秒。
HCH_009_022_000268	曆度：三百六十五度，二十五分，六十六秒。
HCH_009_022_000269	曆中：一百八十二度，六十二分，八十三秒。
HCH_009_022_000270	曆策：一十五度，二十一分，九十秒。
HCH_009_022_000271	伏見：一十七度。
HCH_009_022_000272	周率：三百五萬三千八百四，秒二十三。
HCH_009_022_000273	曆率：一百九十萬二百四十，秒一十一。
HCH_009_022_000274	曆度法：五千二百三十。
HCH_009_022_000275	周日：五百八十三日，九十分，一十四秒。
HCH_009_022_000276	合日：二百九十一日，九十五分，七秒。
HCH_009_022_000277	曆度：三百六十五度，二十四分，六十八秒。
HCH_009_022_000278	曆中：一百八十二度，六十二分，三十四秒。
HCH_009_022_000279	曆策：一十五度，二十一分，八十六秒。
HCH_009_022_000280	伏見：一十度半。
HCH_009_022_000281	周率：六十萬六千三十一，秒八十四。
HCH_009_022_000282	曆率：一百九十一萬二百四十二，秒三十五。
HCH_009_022_000283	曆度法：五千二百三十。
HCH_009_022_000284	周日：一百一十五日，八十七分，六十秒。
HCH_009_022_000285	合日：五十七日，九十三分，八十秒。
HCH_009_022_000286	曆度：三百六十五度，二十四分，七十一秒。
HCH_009_022_000287	曆中：一百八十二度，六十二分，三十五秒半。
HCH_009_022_000288	曆策：一十五度，二十一分，八十六秒。
HCH_009_022_000289	晨伏夕見：一十四度。
HCH_009_022_000290	夕伏晨見：一十九度。
HCH_009_022_000291	置通積分，各以其星周率去之。
HCH_009_022_000292	不盡，為前合分。
HCH_009_022_000293	覆減周率，餘為後合分。
HCH_009_022_000294	如日法而一，不滿退除為分秒，即其星天正冬至後平合中積、中星。
HCH_009_022_000295	命為日，曰中積。
HCH_009_022_000296	命為度，曰中星。
HCH_009_022_000297	以段日累加中積，即為諸段中積。
HCH_009_022_000298	以平度累加中星，經退減之，即為諸段中星。
HCH_009_022_000299	置前通積分，各加其星後合分，以曆率去之，不盡，各以其星曆度法除為度，不滿退為分秒，即為其星平合入曆度及分秒。
HCH_009_022_000300	以諸段限度累加之，即得諸段入曆。
HCH_009_022_000301	各置其星其段入曆度及分秒，如在曆中以下，為在盈；以上，減去曆中，餘為在縮。
