HCH_012_240_000173	萬曆十六年，一燝與兄一焜、一煜並舉於鄉。
HCH_012_240_000174	越七年，又與一煜並舉進士。
HCH_012_240_000175	改庶吉士，授檢討。
HCH_012_240_000176	一焜為考功郎，掌京察。
HCH_012_240_000177	大學士沈一貫欲庇其私人錢夢臯、鐘兆鬥等，屬一燝為請。
HCH_012_240_000178	一燝謝不可，夢臯等竟以中旨留，由是忤一貫意。
HCH_012_240_000179	尋歷祭酒，詹事，掌翰林院事。
HCH_012_240_000180	四十五年春，京察，黨人用事，謀逐孫承宗、繆昌期等，一燝力保持得免。
HCH_012_240_000181	故事，掌院無滿歲不遷者，一景居四年，始遷禮部右侍郎，教習庶吉士。
HCH_012_240_000182	光宗即位，擢禮部尚書兼東閣大學士，參預機務，偕何宗彥、韓爌並命。
HCH_012_240_000183	時內閣止方從哲一人。
HCH_012_240_000184	萬曆末年，神宗欲用史繼偕、沈纮。
HCH_012_240_000185	兩人方在籍，帝命召之。
HCH_012_240_000186	未及至，帝復命宗彥、一燝、爌。
HCH_012_240_000187	明日，復命朱國祚及舊輔葉向高。
HCH_012_240_000188	而宗彥、國祚、向高亦皆在籍，惟一燝、爌入直。
HCH_012_240_000189	甫拜命，帝已得疾，一燝偕諸臣召見乾清宮。
HCH_012_240_000190	明日九月朔，帝崩。
HCH_012_240_000191	諸臣入臨畢，一燝詰群奄：「皇長子當柩前即位，今不在，何也？」
HCH_012_240_000192	群奄東西走，不對。
HCH_012_240_000193	東宮伴讀王安前曰：「為李選侍所匿耳。」
HCH_012_240_000194	一燝大聲言：「誰敢匿新天子者？」
HCH_012_240_000195	安曰：「徐之，公等慎勿退。」
HCH_012_240_000196	遂趨入白選侍。
HCH_012_240_000197	選侍頷之，復中悔，挽皇長子裾。
HCH_012_240_000198	安直前擁抱，疾趨出。
HCH_012_240_000199	一燝見之，急趨前呼萬歲，捧皇長子左手，英國公張惟賢捧右手，掖升輦。
HCH_012_240_000200	及門，宮中厲聲呼：「哥兒卻還！」
HCH_012_240_000201	使使追躡者三輩。
HCH_012_240_000202	一燝傍輦疾行，翼升文華殿，先即東宮位，群臣叩頭呼萬歲。
HCH_012_240_000203	事稍定，選侍猶趨還乾清。
HCH_012_240_000204	時選侍居乾清。
HCH_012_240_000205	一燝曰：「乾清不可居，殿下宜暫居慈慶。」
HCH_012_240_000206	皇長子心憚選侍，然之。
HCH_012_240_000207	一燝語安曰：「主上沖年，無母後。外庭有事，吾受過；宮中起居，公等不得辭責。」
HCH_012_240_000208	明日，周嘉謨及左光斗疏請移宮。
HCH_012_240_000209	時首輔從哲徘徊其間，已，又欲緩移宮。
HCH_012_240_000210	一燝曰：「本朝故事，仁聖，嫡母也，移慈慶；慈聖，生母也，移慈寧。今何日，可姑緩耶？」
HCH_012_240_000211	初五日，偕同官請即日降旨，佇立宮門以俟。
HCH_012_240_000212	選侍不得已，移噦鸞宮，天子復還乾清，事始大定。
HCH_012_240_000213	帝既踐阼，從哲被劾在告，一燝遂當國，與爌相得甚歡。
HCH_012_240_000214	念內廷惟王安力衛新天子，乃引與共事。
HCH_012_240_000215	安亦傾心向之。
HCH_012_240_000216	所奏請，無不從。
HCH_012_240_000217	發內帑，抑近侍，搜遺逸，舊德宿齒布滿九列，中外欣欣望治焉。
HCH_012_240_000218	明年，天啟改元，沈陽失。
HCH_012_240_000219	廷臣多請復用熊廷弼。
HCH_012_240_000220	一燝亦言：「廷弼守遼一載，殘疆宴然，不知何故翦除。及下廷議，又皆畏懼，不敢異同。嗣後軍國大事，陛下當毅然主持，賴諸臣洗心滌慮，悉破雷同附和，其憂國奉公。」
HCH_012_240_000221	帝優旨褒答。
HCH_012_240_000222	尋有詔盡謫前排廷弼者姚宗文等官。
HCH_012_240_000223	言路多怨一燝。
HCH_012_240_000224	一燝嘗言：「任天下事者，惟六官。言路張，則六官無實政。善治天下者，俾六官任事，言路得繩其愆，言官陳事，政府得裁其是，則天下治。」
HCH_012_240_000225	於是一切條奏悉下部議，有不經者，詔格之。
HCH_012_240_000226	初，選侍將移宮，其內豎李進忠、劉朝、田詔等盜內府秘藏，過乾清門仆，金寶墮地。
HCH_012_240_000227	帝怒，悉下法司，案治甚急。
HCH_012_240_000228	群奄懼，構蜚語，言帝薄先朝妃嬪，致選侍移宮日，跣足投井，以搖惑外廷。
HCH_012_240_000229	御史賈繼春遂上安選侍書。
HCH_012_240_000230	刑部尚書黃克纘、給事中李春曄、御史王業浩輩張大其辭，欲脫盜奄罪。
HCH_012_240_000231	帝惡繼春妄言，且疑其有黨，將嚴譴之。
HCH_012_240_000232	一燝謂天子新即位，輒疑臣下朋黨，異時奸人乘間，士大夫必受其禍。
HCH_012_240_000233	乃具疏開帝意，為繼春解，而反覆言朋黨無實。
HCH_012_240_000234	繼春得削籍去。
HCH_012_240_000235	御史張慎言、高弘圖疏救繼春，帝欲並罪，亦以一燝言而止。
HCH_012_240_000236	帝憾選侍甚，必欲誅盜奄。
HCH_012_240_000237	王安為司禮，亦惡之。
HCH_012_240_000238	諸奄百方救，卒不得。
HCH_012_240_000239	久而帝漸忘前事，安亦為魏忠賢排死，諸奄乃厚賄忠賢為地，而上疏辨冤。
HCH_012_240_000240	帝果免朝、詔死，下其疏法司。
HCH_012_240_000241	一燝執奏，詔等議誅久，無可雪，疏直下部，前無此制。
HCH_012_240_000242	帝不得已，下其疏於閣。
HCH_012_240_000243	一燝復言：「此疏外不由通政司，內不由會極門，例不當擬旨，謹封還原疏。」
HCH_012_240_000244	由是忠賢輩大恨，朝等亦竟免死，益任用。
HCH_012_240_000245	定陵工成，忠賢欲以為功。
HCH_012_240_000246	一燝援故事，內臣非司禮掌印及提督陵工不得濫蔭，止擬加恩三等。
HCH_012_240_000247	諸言官論客氏被謫者，一燝皆疏救，又請出客氏於外。
HCH_012_240_000248	及言官交章論沈纮，纮疑一燝主之，與忠賢、客氏等比，而齮一燝。
HCH_012_240_000249	一燝持大體，不徇言路意。
HCH_012_240_000250	言路頗怨。
HCH_012_240_000251	又密窺魏、客等漸用事，一燝勢孤，是年四月，候補御史劉重慶遂力詆一燝不可用。
HCH_012_240_000252	帝怒謫重慶。
HCH_012_240_000253	一燝再論救，不聽。
HCH_012_240_000254	而職方郎中余大成、御史安伸、給事中韋蕃、霍維華交章劾一燝。
HCH_012_240_000255	帝不問。
HCH_012_240_000256	既而維華外轉，其同官孫傑疑一燝屬嘉謨為之，上疏力攻一燝。
HCH_012_240_000257	一燝疏辨求罷。
HCH_012_240_000258	帝已慰留，給事中侯震旸、御史陳九疇復劾之，並刺其結納王安。
HCH_012_240_000259	於是一燝四疏乞歸，忠賢從中主之，傳旨允其去。
HCH_012_240_000260	先是，從哲去，帝數稱一燝為首輔，一燝不敢當，虛位俟葉向高。
HCH_012_240_000261	及向高至，入讒言，謂一燝尼己。
HCH_012_240_000262	至是，知其無他，力稱一燝有翼衛功，不可去。
HCH_012_240_000263	帝復慰留，一燝堅臥不起。
HCH_012_240_000264	二年三月，疏十二上，乃令乘傳歸。
HCH_012_240_000265	既歸，兵部尚書張鶴鳴興奸細杜茂、劉一巘獄，欲指一巘為一燝族，株連之。
HCH_012_240_000266	刑部尚書王紀不可，遂被斥去，而一燝得白。
HCH_012_240_000267	鶴鳴，一燝向所推轂者也。
HCH_012_240_000268	已而忠賢大熾，矯旨責一燝誤用廷弼，削官，追奪誥命，勒令養馬。
HCH_012_240_000269	崇禎改元，詔復官，遣官存問。
HCH_012_240_000270	一燝在位，累加少傅、太子太傅、吏部尚書、中極殿大學士。
HCH_012_240_000271	八年卒，贈少師。
HCH_012_240_000272	福王時，追謚文端。
HCH_012_240_000273	一焜，字元丙。
HCH_012_240_000274	萬曆二十年進士。
HCH_012_240_000275	授行人。
HCH_012_240_000276	歷考功郎中，佐侍郎楊時喬典京察，盡斥執政私人。
HCH_012_240_000277	已，改文選，遷太常少卿，以憂去。
HCH_012_240_000278	久之，由故官擢右僉都御史，巡撫浙江。
HCH_012_240_000279	帝遣中官曹奉建鎮海寺於普陀山。
HCH_012_240_000280	一焜偕巡按李邦華爭不可，不聽。
HCH_012_240_000281	織造中官劉成卒，一焜屢疏請勿遣代。
HCH_012_240_000282	已得請，會命中官呂貴護成遺裝，奸人遂請留貴督織造，疏直達禁中。
HCH_012_240_000283	一焜與邦華極論其罪，帝卒命貴代之。
HCH_012_240_000284	一焜復疏爭，不報。
HCH_012_240_000285	貴既任，條行十事，多侵擾。
HCH_012_240_000286	一焜疏駁，且禁治其爪牙，貴為斂威。
HCH_012_240_000287	一焜以暇築龕山海塘千二百丈，浚復餘杭南湖，民賴其利。
HCH_012_240_000288	御史沈珣誣訐其贓私，一焜自引去。
HCH_012_240_000289	卒，贈工部右侍郎。
HCH_012_240_000290	一煜，兵部郎中。
HCH_012_240_000291	韓爌，字象雲，蒲州人。
HCH_012_240_000292	萬曆二十年進士。
HCH_012_240_000293	選庶吉士。
HCH_012_240_000294	進編修，歷少詹事，充東宮講官。
HCH_012_240_000295	四十五年，擢禮部右侍郎，協理詹事府。
HCH_012_240_000296	久之，命教習庶吉士。
HCH_012_240_000297	泰昌元年八月，光宗嗣位，拜禮部尚書兼東閣大學士，入參機務。
HCH_012_240_000298	未幾，光宗疾大漸，與方從哲、劉一燝同受顧命。
HCH_012_240_000299	時宮府危疑，爌竭誠翼衛，中外倚以為重。
