HCH_012_262_000224	一鼓百道並登，執文嶽及世琮、國寶、悌、名聖於城頭，殺汝陽知縣文師頤於城上。
HCH_012_262_000225	汝為聞變，赴水死。
HCH_012_262_000226	賊擁文嶽等見自成，大罵，賊怒，縛之城南三里鋪，以大炮擊之，洞胸糜骨而死。
HCH_012_262_000227	士民屠戮數萬，焚公私廨舍殆盡。
HCH_012_262_000228	貞會執去，不知所終。
HCH_012_262_000229	自成以文嶽死忠，備禮斂之。
HCH_012_262_000230	遂拔營走確山、信陽、泌陽，向襄陽，虜崇王由樻、崇世子、諸王妃及河南懷安諸王以行。
HCH_012_262_000231	汝為，字於宣，江陵人。
HCH_012_262_000232	崇禎七年進士。
HCH_012_262_000233	世琮，字仲發，達州人。
HCH_012_262_000234	國寶，成都人。
HCH_012_262_000235	師頤，全州人。
HCH_012_262_000236	皆舉人。
HCH_012_262_000237	世琮嘗為汝寧推官，討土寇，流矢貫耳不為動，時號王鐵耳者也。
HCH_012_262_000238	師頤蒞任甫三日。
HCH_012_262_000239	孫傳庭，字百雅，代州振武衛人。
HCH_012_262_000240	自父以上，四世舉於鄉。
HCH_012_262_000241	傳庭儀表頎碩，沈毅多籌略。
HCH_012_262_000242	萬歷四十七年成進士，授永城知縣，以才調商丘。
HCH_012_262_000243	天啟初，擢吏部驗封主事，屢遷稽勛郎中，請告歸。
HCH_012_262_000244	家居久不出。
HCH_012_262_000245	崇禎八年秋，始遷驗封郎中，超遷順天府丞。
HCH_012_262_000246	陜西巡撫甘學闊不能討賊，秦之士大夫嘩於朝，乃推邊才用傳庭，以九年三月受代。
HCH_012_262_000247	傳庭蒞秦，嚴征發期會，一從軍興法。
HCH_012_262_000248	秦人愛之不如總督洪承疇，然其才自足辦賊。
HCH_012_262_000249	賊首整齊王據商、雒，諸將不敢攻，檄副將羅尚文擊斬之。
HCH_012_262_000250	當是時，賊亂關中，有名字者以十數，高迎祥最強，拓養坤黨最眾，所謂闖王、蠍子塊者也。
HCH_012_262_000251	傳庭設方略，親擊迎祥於盩厔之黑水峪，擒之，及其偽領哨黃龍、總管劉哲，獻俘闕下。
HCH_012_262_000252	錄功，增秩一等。
HCH_012_262_000253	而賊黨自是乃共推李自成為闖王矣。
HCH_012_262_000254	明年，養坤及其黨張耀文來降。
HCH_012_262_000255	已而養坤叛去，諭其下追斬之。
HCH_012_262_000256	擊賊惠登相於涇陽、三原，登相西走。
HCH_012_262_000257	河南賊馬進忠、劉國能等十七部入渭南，追之出關，復合河南兵夾擊之，先後斬首千餘級。
HCH_012_262_000258	進忠等復擾商、雒、藍田，叛卒與之合，將犯西安。
HCH_012_262_000259	遣左光先、曹變蛟追走之渭南，降其渠一條龍，招還脅從。
HCH_012_262_000260	募健兒擊余賊，斬聖世王、瓦背、一翅飛，降鎮天王、上山虎，又殲白捍賊渠魁數人。
HCH_012_262_000261	關南稍靖。
HCH_012_262_000262	遣副將盛略等敗賊大天王於寶雞，賊走入山谷，傳庭追之鳳翔。
HCH_012_262_000263	他賊出棧道，謀越關犯河南，還軍擊，賊走伏斜谷，復大敗之，降其餘眾。
HCH_012_262_000264	西安四衛，舊有屯軍二萬四千，田二萬餘頃，其後田歸豪右，軍盡虛籍。
HCH_012_262_000265	傳庭厘得軍萬一千有奇，歲收屯課銀十四萬五千餘兩，米麥萬三千五百餘石。
HCH_012_262_000266	帝大喜，增秩，賚銀幣。
HCH_012_262_000267	會楊嗣昌入為本兵，條上方略。
HCH_012_262_000268	洪承疇以秦督兼剿務，而用廣撫熊文燦為總理。
HCH_012_262_000269	分四正六隅，馬三步七，計兵十二萬，加派至二百八十萬，期百日平賊。
HCH_012_262_000270	傳庭移書爭之，曰：「無益，且非特此也。部卒屢經潰蹶，民力竭矣，恐不堪命。必欲行之，賊不必盡，而害中於國家。」
HCH_012_262_000271	累數千言，嗣昌大忤。
HCH_012_262_000272	部議，秦撫當一正面，募土著萬人，給餉銀二十三萬，以商、雒等處為汛守。
HCH_012_262_000273	傳庭知其不可用也，乃核帑藏，蠲贖鍰，得銀四萬八千，市馬募兵，自辦滅賊具，不用部議。
HCH_012_262_000274	會諸撫報募兵及額，傳庭疏獨不至。
HCH_012_262_000275	嗣昌言軍法不行於秦，自請白衣領職，以激帝怒。
HCH_012_262_000276	傳庭奏曰：「使臣如他撫，籍郡縣民兵上之，遂謂及額，則臣先所報屯兵已及額矣。況更有募練馬步軍，數且逾萬，何嘗不遵部議。至百日之期，商、雒之汛守，臣皆不敢委。然使賊入商、雒，而臣不能禦，則治臣罪。若臣扼商、雒，而逾期不能滅賊，誤剿事者必非臣。」
HCH_012_262_000277	嗣昌無以難，然銜之彌甚。
HCH_012_262_000278	傳庭兩奉詔進秩，當加部銜，嗣昌抑弗奏。
HCH_012_262_000279	十一年春，賊破漢陰、石泉，則坐傳庭失援，削其所加秩。
HCH_012_262_000280	傳庭出扼商、雒。
HCH_012_262_000281	大天王等犯慶陽、寶雞，還軍戰合水，破走之，獲其二子，追擊之延安。
HCH_012_262_000282	過天星、混天星等從徽、秦趨鳳翔，逼澄城。
HCH_012_262_000283	傳庭分兵五道擊之楊家嶺、黃龍山，大破之，斬首二千餘級。
HCH_012_262_000284	大天王知二子不殺，遂降。
HCH_012_262_000285	賊引而北，犯延安。
HCH_012_262_000286	傳庭策鄜州西、合水東三四百里，荒山邃谷，賊入當自斃，乃率標兵中部遏其東，檄變蛟、慶陽拒其西，伏兵三水、淳化間。
HCH_012_262_000287	賊饑，出掠食，則大張旗幟，鳴鼓角以邀之，一日夜馳二百五十里。
HCH_012_262_000288	賊大驚，西奔，至職田莊，遇伏而敗；復走寶雞，取棧道，再中伏大敗；折而走隴州關山道，又為伏兵所挫。
HCH_012_262_000289	三敗，賊死者無算，過天星、混天星並降。
HCH_012_262_000290	又逐賊邠、寧間，陷陣，獲其渠。
HCH_012_262_000291	河南賊馬進忠、馬光玉驅宛、洛之眾，箕張而西。
HCH_012_262_000292	傳庭擊之，賊還走。
HCH_012_262_000293	又設伏於潼關原，變蛟逐賊入伏。
HCH_012_262_000294	而闖王李自成者，為洪承疇所逐，盡亡其卒，以十八騎潰圍遁。
HCH_012_262_000295	關中群盜悉平，是為崇禎之十一年春也。
HCH_012_262_000296	捷聞，大喜，先敘澄城之捷，命加傳庭部銜。
HCH_012_262_000297	嗣昌仍格不奏。
HCH_012_262_000298	當是時，總理熊文燦主撫。
HCH_012_262_000299	湖廣賊張獻忠已降，惟河南賊如故。
HCH_012_262_000300	羅汝才、馬進忠、賀一龍、左金王等十三部西窺潼關，聯營數十里。
HCH_012_262_000301	傳庭計曰：「天下大寇盡在此矣。我出擊其西，總理擊其東，賊不降則滅。此賊平，天下無賊矣。獻忠即狙伏，無能為也。」
HCH_012_262_000302	乃遂引兵東，大敗賊閿鄉、靈寶山間，貫其營而東，復自東以西。
HCH_012_262_000303	賊窘甚，以文燦招降手諭上，言旦夕且降。
HCH_012_262_000304	傳庭曰：「爾曹日就熊公言撫，而日攻堡屠寨不已，是偽也。降即解甲來，有說即非真降，吾明日進兵矣。」
HCH_012_262_000305	明日擐甲而出，得文燦檄於途中曰：「毋妒吾撫功。」
HCH_012_262_000306	又進，得本兵嗣昌手書，亦雲。
HCH_012_262_000307	傳庭怏怏撤兵還。
HCH_012_262_000308	然賊迄不就撫，移瞰商、雒。
HCH_012_262_000309	文燦悔，期傳庭夾擊。
HCH_012_262_000310	屬吏王文清等三戰三敗之，賊奔內鄉、淅川而去。
HCH_012_262_000311	傳庭既屢建大功，其將校數奉旨優敘，嗣昌務抑之不為奏。
HCH_012_262_000312	傳庭懇請上其籍於部，嗣昌曰：「需之。」
HCH_012_262_000313	十月，京師戒嚴，召傳庭及承疇入衛，擢兵部右侍郎兼右僉都御史，代總督盧象升督諸鎮援軍，賜劍。
HCH_012_262_000314	當是時，傳庭提兵抵近郊，與嗣昌不協，又與中官高起潛忤，降旨切責，不得朝京師。
HCH_012_262_000315	承疇至，郊勞，且命陛見，傳庭不能無觖望。
HCH_012_262_000316	無何，嗣昌用承疇以為薊督，欲盡留秦兵之入援者守薊、遼。
HCH_012_262_000317	傳庭曰：「秦軍不可留也。留則賊勢張，無益於邊，是代賊撤兵也。秦軍妻子俱在秦，兵日殺賊以為利，久留於邊，非嘩則逃，不復為吾用，必為賊用，是驅民使從賊也。安危之機，不可不察也。」
HCH_012_262_000318	嗣昌不聽。
HCH_012_262_000319	傳庭爭之不能得，不勝郁郁，耳遂聾。
HCH_012_262_000320	傳庭初受命，疏言：「年來疆事決裂，由計畫差謬。事竣，當面請決大計。」
HCH_012_262_000321	明年，帝移傳庭總督保定、山東、河南軍務。
HCH_012_262_000322	既解嚴，疏請陛見。
HCH_012_262_000323	嗣昌大驚，謂傳庭將傾之，斥來役賫疏還之傳庭。
HCH_012_262_000324	傳庭慍，引疾乞休。
HCH_012_262_000325	嗣昌又劾其托疾，非真聾，帝遂發怒，斥為民，下巡撫楊一俊核真偽，一俊奏言：「真聾，非托疾。」
HCH_012_262_000326	並下一俊獄。
HCH_012_262_000327	傳庭長繋待決，舉朝知其冤，莫為言。
HCH_012_262_000328	在獄三年，文燦、嗣昌相繼敗。
