HCH_010_020_000241	秋七月，壬午，如秋山。
HCH_010_020_000242	次南崖之北峪，不豫。
HCH_010_020_000243	八月丁亥，疾大漸，召燕趙國王洪基，諭以治國之要。
HCH_010_020_000244	戊子，大赦，縱五坊鷹鶻，焚釣魚之具。
HCH_010_020_000245	己丑，帝崩於行宮，年四十。
HCH_010_020_000246	遺詔燕趙國王洪基嗣位。
HCH_010_020_000247	清寧元年十月庚子，上尊謚為神聖孝章皇帝，廟號興宗。
HCH_010_020_000248	贊曰：興宗即位，年十有六矣，不能先尊母后而尊其母，以致臨朝專政，賊殺不辜，又不能以禮幾諫，使齊天死於弒逆，有虧王者之孝，惜哉！
HCH_010_020_000249	若夫大行在殯，飲酒博鞠，疊見簡書。
HCH_010_020_000250	及其謁遺像而哀慟，受宋吊而衰绖，所為若出二人。
HCH_010_020_000251	何為其然歟？
HCH_010_020_000252	至於感富弼之言而申南宋之好，許諒祚之盟而罷西夏之兵，邊鄙不聳，政治內修，親策進士，大修條制，下至士庶，得陳便宜，則求治之志切矣。
HCH_010_020_000253	於時左右大臣，曾不聞一賢之進，一事之諫，欲庶幾古帝王之風，其可得乎？
HCH_010_020_000254	雖然，聖宗而下，可謂賢君矣。
HCH_010_020_000255	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
