HCH_012_324_000138	廷議：「安南為占城患，已非一日。朝廷嘗因占城之醞，累降璽書，曲垂誨諭。安南前後奏報，皆言祗承朝命，土地人民，悉已退還。然安南辨釋之語方至，而占城控訴之詞又聞，恐真有不獲已之情。宜仍令守臣切諭安南，毋貪人土地，自貽禍殃，否則議遣偏師往問其罪。至占城王長子，無父在襲封之理。請令先立為世子攝國事，俟他日當襲位時，如例請封。」
HCH_012_324_000139	帝報允。
HCH_012_324_000140	尋遣王孫沙不登古魯來貢。
HCH_012_324_000141	十八年，古來卒。
HCH_012_324_000142	子沙古卜洛遣使來貢，不告父喪，但乞命大臣往其國，仍以新州港諸地封之。
HCH_012_324_000143	別有佔奪方輿之奏，微及父卒事。
HCH_012_324_000144	給事中任良弼等言：「占城前因國土削弱，假貢乞封，仰仗天威，詟伏鄰國。其實國王之立不立，不繫朝廷之封不封也。今稱古來已歿，虛實難知。萬一我使至彼，古來尚存，將遂封其子乎？抑義不可而已乎？迫脅之間，事極難處。如往時科臣林霄之使滿剌加，不肯北面屈膝，幽餓而死，迄不能問其罪。君命國威，不可不慎。大都海外諸蕃，無事則廢朝貢而自立，有事則假朝貢而請封。今者貢使之來，豈急於求封，不過欲復安南之侵地，還粵東之逃人耳。夫安南侵地，璽書屢諭歸還，佔據如故。今若再諭，彼將玩視之，天威褻矣。倘我使往封占城，羈留不遣，求為處分，朝廷將何以應？又或拘我使者，令索逃人，是以天朝之貴臣，質於海外之蠻邦。宜如往年古來就封廣東事，令其領敕歸國，於計為便。」
HCH_012_324_000145	禮部亦以古來存亡未明，請令廣東守臣移文占城勘報，從之，既而封事久不行。
HCH_012_324_000146	正德五年，沙古卜洛遣叔父沙系把麻入貢，因請封。
HCH_012_324_000147	命給事中李貫、行人劉廷瑞往。
HCH_012_324_000148	貫抵廣東憚行，請如往年古來故事，令其使臣領封。
HCH_012_324_000149	廷議：「遣官已二年，今若中止，非興滅繼絕義。倘其使不願領封，或領歸而受非其人，重起事端，益傷國體，宜令貫等亟往。」
HCH_012_324_000150	貫終憚行，以乏通事、火長為詞。
HCH_012_324_000151	廷議令廣東守臣採訪其人，如終不得，則如舊例行。
HCH_012_324_000152	貫復設詞言：「臣奉命五載，似憚風波之險，殊不知占城自古來被逐後，竄居赤崁邦都郎，國非舊疆，勢不可往。況古來乃前王齋亞麻弗菴之頭目，殺王而奪其位。王有三子，其一尚存，義又不可。律以《春秋》之法，雖不興問罪之師，亦必絕朝貢之使。奈何又為採訪之議，徒延歲月，於事無益。」
HCH_012_324_000153	廣東巡按丁楷亦附會具奏，廷議從之。
HCH_012_324_000154	十年令其使臣齎敕往，自是遂為故事，其國貢使亦不常至。
HCH_012_324_000155	嘉靖二十二年遣王叔沙不登古魯來貢，訴數為安南侵擾，道阻難歸。
HCH_012_324_000156	乞遣官護送還國，報可。
HCH_012_324_000157	其國無霜雪，四時皆似夏，草木常青。
HCH_012_324_000158	民以漁為業，無二麥，力穡者少，故收獲薄。
HCH_012_324_000159	國人皆食檳榔，終日不離口。
HCH_012_324_000160	不解朔望，但以月生為初，月晦為盡，不置閏。
HCH_012_324_000161	分晝夜為十更，非日中不起，非夜分不臥，見月則飲酒、歌舞為樂。
