HCH_012_252_000208	及鰲永罷官，上書於朝曰：「嗣昌用師一年，蕩平未奏，此非謀慮之不長，正由操心之太苦也。天下事，總挈大綱則易，獨周萬目則難。況賊情瞬息更變，今舉數千里征伐機宜，盡出嗣昌一人，文牒往返，動逾旬月，坐失事機，無怪乎經年之不戰也。其間能自出奇者，惟瑪瑙山一役。若必遵督輔號令，良玉當退守興安，無此捷矣。臣以為陛下之任嗣昌，不必令其與諸將同功罪，但責其提衡諸將之功罪。嗣昌之馭諸將，不必人人授以機宜，但核其機宜之當否，則嗣昌心有餘閑，自能決奇制勝。何至久延歲月，老師糜餉為哉？」
HCH_012_252_000209	先是，嗣昌以諸將進止不一，納幕下評事元吉言，用猛如虎為總統，張應元副之。
HCH_012_252_000210	比賊入瀘州，如虎及賀人龍、趙光遠軍至，賊復渡南溪，越成都，走漢州、德陽、綿州、劍州、昭化至廣元，又走巴州、達州。
HCH_012_252_000211	諸軍疲極，惟如虎軍躡其後。
HCH_012_252_000212	十四年正月，嗣昌知賊必出川，遂統舟師下雲陽，檄諸軍陸行追賊。
HCH_012_252_000213	人龍軍既噪而西，頓兵廣元不進，所恃惟如虎。
HCH_012_252_000214	比與賊戰開縣、黃陵城，大敗，將士死亡過半。
HCH_012_252_000215	如虎突圍免，馬騾關防盡為賊有。
HCH_012_252_000216	初，賊竄南溪，元吉欲從間道出梓潼，扼歸路以待賊。
HCH_012_252_000217	嗣昌檄諸軍躡賊疾追，不得拒賊遠，令他逸。
HCH_012_252_000218	諸將乃盡從瀘州逐後塵。
HCH_012_252_000219	賊折而東返，歸路盡空，不可復遏，嗣昌始悔不用元吉言。
HCH_012_252_000220	賊遂下夔門，抵興山，攻當陽，犯荊門。
HCH_012_252_000221	嗣昌至夷陵，檄良玉兵，使十九返。
HCH_012_252_000222	良玉撤興、房兵趨漢中，若相避然。
HCH_012_252_000223	賊所至，燒驛舍，殺塘卒，東西消息中斷。
HCH_012_252_000224	鄖陽撫治袁繼鹹聞賊至當陽，急謀發兵。
HCH_012_252_000225	獻忠令汝才與相持，而自以輕騎一日夜馳三百里，殺督師使者於道，取軍符。
HCH_012_252_000226	以二月十一日抵襄陽近郊，用二十八騎持軍符先馳呼城門督師調兵，守者合符而信，入之。
HCH_012_252_000227	夜半從中起，城遂陷。
HCH_012_252_000228	獻忠縛襄王置堂下，屬之酒，曰：「吾欲斷楊嗣昌頭，嗣昌在遠。今借王頭，俾嗣昌以陷藩伏法。王努力盡此酒。」
HCH_012_252_000229	遂害之。
HCH_012_252_000230	未幾，渡漢水，走河南，與賀一龍、左金王諸賊合。
HCH_012_252_000231	嗣昌初以襄陽重鎮，仞深溝方洫而三環之，造飛梁，設橫枑，陳利兵而譏訶，非符要合者不得渡。
HCH_012_252_000232	江、漢間列城數十，倚襄陽為天險，賊乃出不意而破之。
HCH_012_252_000233	嗣昌在夷陵，驚悸，上疏請死，下至荊州之沙市，聞洛陽已於正月被陷，福王遇害，益憂懼，遂不食。
HCH_012_252_000234	以三月朔日卒，年五十四。
HCH_012_252_000235	廷臣聞襄陽之變，交章論列，而嗣昌已死矣。
HCH_012_252_000236	繼鹹及河南巡按高名衡以自裁聞，其子則以病卒報，莫能明也。
HCH_012_252_000237	帝甚傷悼之，命丁啟睿代督師。
HCH_012_252_000238	傳諭廷臣：「輔臣二載辛勞，一朝畢命，然功不掩過，其議罪以聞。」
HCH_012_252_000239	定國公徐允禎等請以失陷城寨律議斬。
HCH_012_252_000240	上傳制曰：「故輔嗣昌奉命督剿，無城守專責，乃詐城夜襲之檄，嚴飭再三，地方若罔聞知。及違制陷城，專罪督輔，非通論。且臨戎二載，屢著捷功，盡瘁殞身，勤勞難泯。」
HCH_012_252_000241	乃昭雪嗣昌罪，賜祭，歸其喪於武陵。
HCH_012_252_000242	嗣昌先以剿賊功進太子少傅，既死，論臨、藍平盜功，進太子太傅。
HCH_012_252_000243	廷臣猶追論不已，帝終念之。
HCH_012_252_000244	後獻忠陷武陵，心恨嗣昌，發其七世祖墓，焚嗣昌夫婦柩，斷其屍見血，其子孫獲半體改葬焉。
HCH_012_252_000245	吳甡，字鹿友，揚州興化人。
HCH_012_252_000246	萬歷四十一年進士。
HCH_012_252_000247	歷知邵武、晉江、濰縣。
HCH_012_252_000248	天啟二年征授御史。
HCH_012_252_000249	初入臺，趙南星擬以年例出之，甡乃薦方震孺等，而追論崔文升、李可灼罪，遂得留。
HCH_012_252_000250	後又諫內操宜罷，請召還鄒元標、馮從吾、文震孟，乃積與魏忠賢忤。
HCH_012_252_000251	七年二月削其籍。
HCH_012_252_000252	崇禎改元，起故官。
HCH_012_252_000253	溫體仁訐錢謙益，周延儒助之。
HCH_012_252_000254	甡恐帝即用二人，言枚卜大典當就廷推中簡用，事乃止。
HCH_012_252_000255	時大治忠賢黨，又值京察，甡言此輩罪惡非考功法所能盡，宜先定其罪，毋混察典。
HCH_012_252_000256	御史任贊化以劾體仁謫，甡論救，而力詆王永光媚珰，請罷黜。
HCH_012_252_000257	皆不納。
HCH_012_252_000258	出按河南。
HCH_012_252_000259	妖人聚徒劫村落，甡遍捕賊魁誅之。
HCH_012_252_000260	奉命振延綏饑，因諭散賊黨。
HCH_012_252_000261	帝聞，即命按陜西。
HCH_012_252_000262	劾大將杜文煥冒功，置之法。
HCH_012_252_000263	數為民請命，奏無不允。
HCH_012_252_000264	遷大理寺丞，進左通政。
HCH_012_252_000265	七年九月，超擢右僉都御史，巡撫山西。
HCH_012_252_000266	甡歷陳防禦、邊寇、練兵、恤民四難，及議兵、議將、議餉、議用人四事。
HCH_012_252_000267	每歲暮扼河防秦、豫賊，連三歲，無一賊潛渡，以閑修築邊墻。
HCH_012_252_000268	八年四月上疏言：「晉民有三苦：一苦兇荒，無計糊口；一苦追呼，無力輸租；一苦殺掠，無策保全。由此悉為盜，請蠲最殘破地十州縣租。」
HCH_012_252_000269	帝即敕議行。
HCH_012_252_000270	戶部請稅間架，甡力爭，弗聽。
HCH_012_252_000271	其秋，我大清平察哈爾國，旋師略朔州，直抵忻、代，守將屢敗。
HCH_012_252_000272	總督楊嗣昌遣副將自代州往偵，亦敗走。
HCH_012_252_000273	甡鐫五級，嗣昌及大同巡撫葉廷桂鐫三級，俱戴罪視事。
HCH_012_252_000274	先是，定襄縣地震者再，甡曰：「此必有東師也。」
HCH_012_252_000275	飭有司繕守具，已而果入。
HCH_012_252_000276	定襄以有備，獨不被兵。
HCH_012_252_000277	山西大盜賀宗漢、劉浩然、高加計皆前巡撫戴君恩所撫，擁眾自恣。
HCH_012_252_000278	甡陽為撫慰，而密令參將虎大威、劉光祚等圖之，以次皆被殲。
HCH_012_252_000279	甡行軍樹二白旗，脅從及老弱婦女跪其下，即免死，全活甚眾。
HCH_012_252_000280	在晉四年，軍民戴若慈母。
HCH_012_252_000281	謝病歸。
HCH_012_252_000282	十一年二月，起兵部左侍郎。
HCH_012_252_000283	其冬，尚書楊嗣昌言邊關戒嚴，甡及添註侍郎惠世楊久不至，請改推。
HCH_012_252_000284	帝怒，落職閑住。
HCH_012_252_000285	十三年冬起故官，明年命協理戎政。
