HCH_012_138_000312	永樂初，入朝，遇疾卒。
HCH_012_138_000313	薛祥，字彥祥，無為人。
HCH_012_138_000314	從俞通海來歸。
HCH_012_138_000315	渡江，為水寨管軍鎮撫。
HCH_012_138_000316	數從征有功。
HCH_012_138_000317	洪武元年轉漕河南，夜半抵蔡河。
HCH_012_138_000318	賊驟至，祥不為動，好語諭散之。
HCH_012_138_000319	帝聞大喜。
HCH_012_138_000320	以方用兵，供億艱，授京畿都漕運使，分司淮安。
HCH_012_138_000321	浚河築堤，自揚達濟數百里，徭役均平，民無怨言。
HCH_012_138_000322	有勞者立奏，授以官。
HCH_012_138_000323	元都下，官民南遷，道經淮安，祥多方存恤。
HCH_012_138_000324	山陽、海州民亂，駙馬都尉黃琛捕治，詿誤甚眾。
HCH_012_138_000325	祥會鞫，無驗者悉原之。
HCH_012_138_000326	治淮八年，民相勸為善。
HCH_012_138_000327	及考滿還京，皆焚香，祝其再來，或肖像祀之。
HCH_012_138_000328	八年授工部尚書。
HCH_012_138_000329	時造鳳陽宮殿。
HCH_012_138_000330	帝坐殿中，若有人持兵鬥殿脊者。
HCH_012_138_000331	太師李善長奏諸工匠用厭鎮法，帝將盡殺之。
HCH_012_138_000332	祥為分別交替不在工者，並鐵石匠皆不預，活者千數。
HCH_012_138_000333	營謹身殿，有司列中匠為上匠，帝怒其罔，命棄市。
HCH_012_138_000334	祥在側，爭曰：「奏對不實，竟殺人，恐非法。」
HCH_012_138_000335	得旨用腐刑。
HCH_012_138_000336	祥復徐奏曰：「腐，廢人矣，莫若杖而使工。」
HCH_012_138_000337	帝可之。
HCH_012_138_000338	明年改天下行省為承宣佈政司。
HCH_012_138_000339	以北平重地，特授祥，三年治行稱第一。
HCH_012_138_000340	為胡惟庸所惡，坐營建擾民，謫知嘉興府。
HCH_012_138_000341	惟庸誅，復召為工部尚書。
HCH_012_138_000342	帝曰：「讒臣害汝，何不言？」
HCH_012_138_000343	對曰：「臣不知也。」
HCH_012_138_000344	明年，坐累杖死，天下哀之。
HCH_012_138_000345	子四人，謫瓊州，遂為瓊山人。
HCH_012_138_000346	孫遠，正統七年進士。
HCH_012_138_000347	景泰時，官戶部郎中。
