HCH_012_002_000176	十一月壬辰，北征師還。
HCH_012_002_000177	甲午，告武成於郊廟。
HCH_012_002_000178	丙申，大封功臣。
HCH_012_002_000179	進李善長韓國公，徐達魏國公，封李文忠曹國公，馮勝宋國公，鄧愈衞國公，常遇春子茂鄭國公，湯和等侯者二十八人。
HCH_012_002_000180	己亥，設壇親祭戰沒將士。
HCH_012_002_000181	庚戌，有事於圜丘。
HCH_012_002_000182	辛亥，詔戶部置戶籍、戶帖，歲計登耗以聞，著為令。
HCH_012_002_000183	乙卯，封中書右丞汪廣洋忠勤伯，御史中丞劉基誠意伯。
HCH_012_002_000184	十二月癸亥，復貽元嗣君書，並諭和林諸部。
HCH_012_002_000185	甲子，建奉先殿。
HCH_012_002_000186	庚午，遣使祭歷代帝王陵寢，並加修葺。
HCH_012_002_000187	己卯，賜勳臣田。
HCH_012_002_000188	壬午，以正月至是月，日中屢有黑子，詔廷臣言得失。
HCH_012_002_000189	是年，占城、爪哇、西洋入貢。
HCH_012_002_000190	四年春正月丙戌，李善長罷，汪廣洋為右丞相。
HCH_012_002_000191	丁亥，中山侯湯和為征西將軍，江夏侯周德興、德慶侯廖永忠副之，率舟師由瞿塘，潁川侯傅友德為征虜前將軍，濟寧侯顧時副之，率步騎由秦、隴伐蜀。
HCH_012_002_000192	魏國公徐達練兵北平。
HCH_012_002_000193	戊子，衞國公鄧愈督餉給征蜀軍。
HCH_012_002_000194	庚寅，建郊廟於中都。
HCH_012_002_000195	丁未，詔設科取士連舉三年，嗣後三年一舉。
HCH_012_002_000196	戊申，免山西旱災田租。
HCH_012_002_000197	二月甲戌，幸中都。
HCH_012_002_000198	壬午，至自中都。
HCH_012_002_000199	元平章劉益以遼東降。
HCH_012_002_000200	是月，蠲太平、鎮江、寧國田租。
HCH_012_002_000201	三月乙酉朔，始策試天下貢士，賜吳伯宗等進士及第、出身有差。
HCH_012_002_000202	乙巳，徙山後民萬七千戶屯北平。
HCH_012_002_000203	丁未，誠意伯劉基致仕。
HCH_012_002_000204	夏四月丙戌，傅友德克階州，文、隆、綿三州相繼下。
HCH_012_002_000205	五月，免江西、浙江秋糧。
HCH_012_002_000206	六月壬午，傅友德克漢州。
HCH_012_002_000207	辛卯，廖永忠克夔州。
HCH_012_002_000208	戊戌，明昇將丁世貞破文州，守將朱顯忠死之，癸卯，湯和至重慶，明昇降。
HCH_012_002_000209	戊申，倭寇膠州。
HCH_012_002_000210	是月，徙山後民三萬五千戶於內地，又徙沙漠遺民三萬二千戶屯田北平。
HCH_012_002_000211	秋七月辛亥，徐達練兵山西。
HCH_012_002_000212	辛酉，傅友德下成都，四川平。
HCH_012_002_000213	乙丑，明昇至京師，封歸義侯。
HCH_012_002_000214	八月甲午，免中都、淮、揚及泰、滁、無為田租。
HCH_012_002_000215	己酉，振陝西饑。
HCH_012_002_000216	是月，高州海寇亂，通判王名善死之。
HCH_012_002_000217	九月庚戌朔，日有食之。
HCH_012_002_000218	冬十月丙申，征蜀師還。
HCH_012_002_000219	十一月丙辰，有事於圜丘。
HCH_012_002_000220	庚申，命官吏犯贓者罪勿貸。
HCH_012_002_000221	是月，免陝西、河南被災田租。
HCH_012_002_000222	十二月，徐達還。
HCH_012_002_000223	是年，安南、浡泥、高麗、三佛齊、暹羅、日本、真臘入貢。
HCH_012_002_000224	五年春正月癸丑，待制王禕使雲南，詔諭元梁王把匝剌瓦爾密。
HCH_012_002_000225	禕至，不屈死。
HCH_012_002_000226	乙丑，徙陳理、明昇於高麗。
