HCH_012_073_000323	少卿、寺丞贊之。
HCH_012_073_000324	左、右寺分理京畿、十三布政司刑名之事。
HCH_012_073_000325	凡刑部、都察院、五軍斷事官所推問獄訟，皆移案牘，引囚徒，詣寺詳讞。
HCH_012_073_000326	左、右寺寺正，各隨其所轄而覆審之。
HCH_012_073_000327	既按律例，必復問其款狀，情允罪服，始呈堂準擬具奏。
HCH_012_073_000328	不則駁令改擬，曰照駁。
HCH_012_073_000329	三擬不當，則糾問官，曰參駁。
HCH_012_073_000330	有牾律失入者，調他司再訊，曰番異。
HCH_012_073_000331	猶不愜，則請下九卿會訊，曰圓審。
HCH_012_073_000332	已評允而招由未明，移再訊，曰追駁。
HCH_012_073_000333	屢駁不合，則請旨發落，曰制決。
HCH_012_073_000334	凡獄既具，未經本寺評允，諸司毋得發遣。
HCH_012_073_000335	誤則糾之。
HCH_012_073_000336	初，吳元年置大理司卿，秩正三品。
HCH_012_073_000337	洪武元年革。
HCH_012_073_000338	三年，置磨勘司，凡諸司刑名、錢糧，有冤濫隱匿者，稽其功過以聞。
HCH_012_073_000339	尋亦革。
HCH_012_073_000340	洪武三年置磨勘司，設司令、司丞。
