HCH_012_313_000173	天波檄定洲取必奎，定洲不欲行，遂反，詳前傳。
HCH_012_313_000174	臨安領州四，縣四。
HCH_012_313_000175	其長官司有九，曰納樓茶甸，曰教化三部，曰溪處甸，曰左能寨，曰王弄山，曰虧容甸，曰思陀甸，曰落恐甸，曰安南，其地皆在郡東南。
HCH_012_313_000176	西平侯征安南，取道於此。
HCH_012_313_000177	蓮花灘之外即交荒外，而臨安無南面之虞者，以諸甸為之備也。
HCH_012_313_000178	但地多瘴，流官不欲入，諸長官亦不請代襲，自相冠帶，日尋幹戈。
HCH_012_313_000179	納樓部內有礦場三，曰中場、鵝黃、摩訶。
HCH_012_313_000180	封閉已久，亡命多竊取之。
HCH_012_313_000181	其安南長官司，本阿僰蠻所居，舊名褒古，後名舍資。
HCH_012_313_000182	元為舍資千戶所。
HCH_012_313_000183	以地近交址，改安南，屬臨安路。
HCH_012_313_000184	正德八年，蒙自土舍祿祥爭襲父職，鴆殺其嫡兄祿仁，安南長官司土舍那代助之以兵，遂稱亂，守臣討平之。
HCH_012_313_000185	事聞，命革蒙自土官，改長官司為新安守禦千戶所，調臨安衛中所官軍戍之。
HCH_012_313_000186	楚雄，昔為威楚。
HCH_012_313_000187	元憲宗置威楚萬戶府。
HCH_012_313_000188	至元後，置威楚開南路宣撫司。
HCH_012_313_000189	洪武十五年，南雄侯趙庸取其地。
HCH_012_313_000190	十七年以土官高政為楚雄府同知，阿魯為定邊縣丞。
HCH_012_313_000191	永樂元年，楚雄府言：「所屬蠻民，不知禮義。惟僰種賦性溫良，有讀書識字者。府州已嘗設學教養，其縣學未設。縣所轄六里，僰人過半，請立學置官訓誨。」
HCH_012_313_000192	從之。
HCH_012_313_000193	宣德五年命故土知府高政女襲同知。
HCH_012_313_000194	政初為同知，永樂中來朝，時仁宗監國，嘉其勤誠，升知府，子孫仍襲同知。
HCH_012_313_000195	政卒，無子，妻襲。
HCH_012_313_000196	又卒，其女奏乞襲知府。
HCH_012_313_000197	帝曰：「皇考有成命。」
HCH_012_313_000198	令襲同知。
HCH_012_313_000199	八年升南安州瑯井土巡檢李保為州判官；以鄉老言：「本州俱羅舞、和泥、烏蠻雜類，稟性頑獷，以無土官管束，多致流移，差役賦稅，俱難理辦。眾嘗推保署州事，撫綏得宜，民皆向服，流移復歸，乞授本州土官。」
HCH_012_313_000200	吏部言：「南安舊無土官，難從其請。」
HCH_012_313_000201	帝以為治在順民情，從之。
HCH_012_313_000202	九年，黔國公沐晟等奏：「楚雄所屬黑石江及泥坎村銀場，軍民盜礦，千百為群，執兵攘奪。楚雄縣賊首者些糾合武定賊者惟等，劫掠軍民，殺巡檢張禎。又定邊縣阿苴裏諸處強賊，聚眾抄掠景東等衛。大理、蒙化、楚雄、姚州皆有盜出沒。」
HCH_012_313_000203	帝敕責晟等，期以三年，討靖諸為亂者。
HCH_012_313_000204	嘉靖四十三年，楚雄叛蠻阿方等兵起，先攻易門所，流劫習峨、昆陽、新化各州縣，僭稱王，約土官王一心、王行道為援。
HCH_012_313_000205	一心後悔，詣軍門請討賊自效。
HCH_012_313_000206	巡撫呂光洵許之，招降數百人。
HCH_012_313_000207	官軍分道進，擒獲賊黨。
HCH_012_313_000208	乘勝攻大、小木址二寨，克之，斬阿方首，余賊悉平。
HCH_012_313_000209	澄江，唐為南寧、昆二州地。
HCH_012_313_000210	天寶末，沒於蠻，號羅伽甸。
HCH_012_313_000211	宋時，大理段氏號羅伽部。
HCH_012_313_000212	元置羅伽萬戶府。
HCH_012_313_000213	至元中，改澄江路。
HCH_012_313_000214	洪武十五年，雲南平，澄江歸附，改澄江府。
HCH_012_313_000215	地居滇省之中，山川明秀，蠶衣耕食，民安於業。
HCH_012_313_000216	近郡之羅羅，性雖頑狠，然恭敬上官。
HCH_012_313_000217	官至，爭迎到家，刲羊擊豕，罄所有以供之，婦女皆出羅拜，故於諸府獨號安靜雲。
HCH_012_313_000218	景東，古柘南也，漢尚未有其地。
HCH_012_313_000219	唐南詔蒙氏始置銀生府，後為金齒白蠻所據。
HCH_012_313_000220	元中統三年討平之，以所部隸威楚萬戶。
HCH_012_313_000221	至元中，置開南州。
HCH_012_313_000222	洪武十五年平雲南，景東先歸附。
HCH_012_313_000223	土官俄陶獻馬百六十匹、銀三千一百兩、馴象二。
HCH_012_313_000224	詔置景東府，以俄陶知府事，賜以文綺襲衣。
HCH_012_313_000225	十八年，百夷思倫發叛，率眾十餘萬攻景東之北吉寨。
HCH_012_313_000226	俄陶率眾禦之，為所敗，率其民千餘家避於大理府之白崖川。
HCH_012_313_000227	事聞，帝嘉其忠，遣通政司經歷楊大用賫白金文綺賜之。
HCH_012_313_000228	二十三年，沐英討平思倫發，復景東地，因奏景東百夷要沖，宜置衛。
HCH_012_313_000229	以錦衣衛僉事胡常守之，俄陶仍舊職。
HCH_012_313_000230	二十四年，帝以景東為雲南要害，且多腴田，調白崖川軍士屯守。
HCH_012_313_000231	二十六年命洱海衛指揮同知賴鎮守景東，從沐春請也。
HCH_012_313_000232	宣德五年置孟緬長官司。
HCH_012_313_000233	時景東奏所轄孟緬、孟梳，地方遐遠，屢被外寇侵擾。
HCH_012_313_000234	乞並孟梳於孟緬，設長官司，授把事姜嵩為長官，以隸景東，歲增貢銀五十兩。
HCH_012_313_000235	六年，大侯土知州刀奉漢侵據孟緬地，敕黔國公沐晟遣官撫諭。
HCH_012_313_000236	正統中，思任發叛，官軍征麓川，知府陶瓚從征有功，進階大中大夫。
HCH_012_313_000237	弘治十五年正月，景東衛雲霧黑暗，晝夜不別者凡七日，巡撫陳金以聞。
HCH_012_313_000238	命廷臣議考察，以謝天變。
HCH_012_313_000239	南京刑部、都察院承旨，考黜文武官千二百員。
HCH_012_313_000240	嘉靖中，者東甸稱亂，劫景東府印去。
HCH_012_313_000241	土舍陶金追斬其頭目，奪印歸。
HCH_012_313_000242	景東部皆僰種，性淳樸，習弩射，以象戰。
HCH_012_313_000243	歷討鐵索、米魯、那鑒、安銓、鳳繼祖諸役，皆調其兵及戰象。
HCH_012_313_000244	天啟六年，貴州水西安邦彥反，率眾二十萬入滇境，至馬龍後山，去會城十五里。
HCH_012_313_000245	總兵官調景東土舍陶明卿率兵伏路左。
HCH_012_313_000246	賊分道並至，官兵禦之，賊拒戰，勢甚銳。
HCH_012_313_000247	明卿乃以象陣從左翼沖出橫擊，賊潰，追奔十餘里。
HCH_012_313_000248	巡撫上功，推明卿第一。
HCH_012_313_000249	景東每調兵二千，必自效千餘，餉士之費，未嘗仰給公家，土司中最稱恭順。
HCH_012_313_000250	其府治東有邦泰山，頗險峻，土官陶姓所世居也。
HCH_012_313_000251	廣南，宋時名特磨道。
HCH_012_313_000252	土酋儂姓，智高之裔也。
HCH_012_313_000253	元至元間，立廣南西路宣撫司。
HCH_012_313_000254	初領路城等五州，後惟領安寧、富二州。
HCH_012_313_000255	洪武十五年歸附，改廣南府，以土官儂郎金為同知。
HCH_012_313_000256	十八年，郎金來朝，賜錦綺鈔錠。
HCH_012_313_000257	二十八年，都指揮同知王俊奉命率雲南後衛官軍至廣南，築城建衛。
HCH_012_313_000258	郎金父貞佑不自安，結眾據山寨拒守。
HCH_012_313_000259	俊遣人招之，不服，時伏草莽中劫掠，覘官軍進退。
HCH_012_313_000260	俊乃遣指揮歐慶等分兵攻各寨，自將取貞佑；又以兵扼間道，絕其救援。
HCH_012_313_000261	諸寨悉破，眾潰，貞佑窮促就擒，械送京師。
HCH_012_313_000262	降郎金為府通判。
HCH_012_313_000263	永樂六年，富州土知州沈弦經入貢，值仁孝皇后喪，弦經奉香幣致祭。
HCH_012_313_000264	宣德元年，土官儂郎舉來朝，貢馬。
HCH_012_313_000265	正統六年，廣南賊阿羅、阿思等劫掠，命總兵官沐昂等招撫之。
HCH_012_313_000266	時富州土官沈政與郎舉互訐糾眾侵地，帝命昂等勘處。
HCH_012_313_000267	七年，昂奏二人叛逆無實跡，因有隙相妄奏。
HCH_012_313_000268	兵部請治政等罪，帝以蠻人宥之。
HCH_012_313_000269	政、舉相仇殺已十餘年，時方征麓川，憚兵威不敢動。
HCH_012_313_000270	未幾，郎舉以從征功升同知，死無嗣，四門舍目共推儂文舉署事，屢立戰功。
HCH_012_313_000271	萬歷七年，實授同知。
HCH_012_313_000272	子應祖從征三鄉，親獲賊首，詔賞銀百兩。
HCH_012_313_000273	播州之役，征其兵三千討尋甸叛目，皆有功，賜四品服。
HCH_012_313_000274	儂氏自文舉藉四門舍目推擁之力得授職，後儂氏襲替必因之。
HCH_012_313_000275	土官之政出於四門，租稅僅取十之一。
HCH_012_313_000276	道險多瘴，知府不至其地，印以臨安指揮一人署之。
HCH_012_313_000277	指揮出，印封一室，入取，必有瘟癘死亡。
HCH_012_313_000278	萬歷末，知府廖鉉者，避瘴臨安，以印付同知儂仕英子添壽。
HCH_012_313_000279	添壽死，家奴竊印並經歷司印以逃，既而歸印於其族叔儂仕祥。
HCH_012_313_000280	時仕英親弟仕獬例得襲，索仕祥印，仕祥不與，遂獻地與泗城土官岑接，與連婚構兵，滅仕獬家。
HCH_012_313_000281	及仕祥死，子琳以府印送接，而經歷司印又為琳弟瓊所有。
HCH_012_313_000282	巡撫王懋中調兵往問，瓊懼，還印於通判周憲，接亦出府印獻於官。
HCH_012_313_000283	時兵方調至境，遽遣歸。
HCH_012_313_000284	廷議治鉉擅離與守巡失撫之罪，瓊、接已輸服，勿問，詔可。
HCH_012_313_000285	未幾，儂紹湯兄弟爭襲，各糾交阯兵象，焚掠一空。
HCH_012_313_000286	廣西，隋屬牂州，後為東僰、烏蠻等部所居。
HCH_012_313_000287	唐隸黔州都督府。
HCH_012_313_000288	後師宗、彌勒二部浸盛，蒙、段皆莫能制。
HCH_012_313_000289	元憲宗時始內屬。
HCH_012_313_000290	至元十二年籍二部為軍，置廣西路。
HCH_012_313_000291	洪武十四年歸附，以土官普德署府事。
HCH_012_313_000292	二十年，普德及彌勒知州赤善、師宗知州阿的各遣人貢馬，詔賜文綺鈔錠。
HCH_012_313_000293	二十四年，布政使張紞奏：「維摩、雲龍、永寧、浪渠、越順等州縣蠻民頑惡，不遵政教，宜置兵戍守，以控制之。」
HCH_012_313_000294	是後，朝貢賜予如制。
HCH_012_313_000295	正統六年，總兵官沐昂奏師宗州及廣南府賊阿羅、阿思糾合為亂，命昂等招諭，未幾平。
HCH_012_313_000296	成化中，土知府昂貴有罪，革其職，安置彌勒州，乃置流官，始築土城。
HCH_012_313_000297	嘉靖元年設雲南彌勒州十八寨守禦千戶所。
HCH_012_313_000298	其部眾好擄掠，無紀律，至水西、烏撒用兵，始征調之。
HCH_012_313_000299	崇禎間，巡按御史傅宗龍由滇入黔，招普兵以行。
HCH_012_313_000300	時滇中最稱沙普兵，亦曰昂兵。
HCH_012_313_000301	鎮沅，古濮、洛雜蠻所居，《元史》謂是和泥、昔樸二蠻也。
HCH_012_313_000302	唐南詔蒙氏銀生府地。
HCH_012_313_000303	其後，金齒僰蠻據之。
HCH_012_313_000304	元時為威遠蠻棚府，屬元江路總管。
HCH_012_313_000305	洪武十五年，總管刀平與兄那直歸附，授千夫長。
HCH_012_313_000306	建文四年置鎮沅州，以刀平為知州。
HCH_012_313_000307	永樂三年，刀平率其子來朝，貢方物，賜鈔文綺。
HCH_012_313_000308	從征八百，又從攻石崖、者達寨外部。
HCH_012_313_000309	整線來降，入貢方物。
HCH_012_313_000310	升為府，以刀平為知府，置經歷、知事各一員。
HCH_012_313_000311	貢賜皆如例。
HCH_012_313_000312	成化十七年，以地方未平，免鎮沅諸土官朝覲。
HCH_012_313_000313	正統元年復免。
HCH_012_313_000314	嘉靖中征安銓，調鎮沅兵千人，命刀寧息領之。
HCH_012_313_000315	復調其子刀仁，亦率兵千人，征那鑒，克魚復寨。
HCH_012_313_000316	初，鎮沅印為那氏所奪，至是得印以獻，命給之。
HCH_012_313_000317	領長官司一，曰祿谷寨，永樂十年置。
HCH_012_313_000318	永寧，昔樓頭夾地，接吐蕃，又名答藍。
HCH_012_313_000319	唐屬南詔，後為麽些蠻所據。
HCH_012_313_000320	元憲宗時內附，至元間，置答藍管民官，尋改永寧州，隸北勝府。
HCH_012_313_000321	洪武平雲南時，屬鶴慶府。
HCH_012_313_000322	二十九年，改屬瀾滄衛。
HCH_012_313_000323	十二月，土賊卜百如加劫殺軍民，前軍都督僉事何福遣指揮李榮等討之。
HCH_012_313_000324	其子阿沙遁入革失瓦都寨，官軍賫三日糧，深入追之，會天大雨，眾饑疲，引還。
HCH_012_313_000325	永樂四年設四長官司，隸永寧土官，以土酋張首等為長官，各給印章，賜冠帶彩幣。
HCH_012_313_000326	尋升永寧為府，隸布政司，升土知州各吉八合知府，遣之賫敕往大西番撫諭蠻眾。
HCH_012_313_000327	宣德四年，永寧蠻寨矢不剌非糾四川鹽井衛土官馬剌非殺各吉八合，官軍撫定之。
HCH_012_313_000328	命卜撒襲知府，復為矢不剌非所殺。
