HCH_011_003_000260	兼太宰武陵王紀等以聞。
HCH_011_003_000261	戊申，京師地震。
HCH_011_003_000262	己酉。
HCH_011_003_000263	長星見。
HCH_011_003_000264	辛亥，輿駕親祠明堂。
HCH_011_003_000265	癸丑，以宣城王大器爲中軍將軍。
HCH_011_003_000266	河南國遣使獻方物。
HCH_011_003_000267	二月癸未，行幸同泰寺，設四部大會，高祖升法座，發《金字摩訶波若經》題，訖于己丑。
HCH_011_003_000268	老人星見。
HCH_011_003_000269	三月丙辰，大司馬南平王偉薨。
HCH_011_003_000270	夏四月癸酉，以御史中丞臧盾兼領軍。
HCH_011_003_000271	五月戊子，京邑大水，御道通船。
HCH_011_003_000272	六月己卯，魏建義城主蘭寶殺魏東徐州刺史，以下邳城降。
HCH_011_003_000273	秋七月辛卯，改下邳爲武州。
HCH_011_003_000274	八月庚申，以前徐州刺史元景隆爲安右將軍。
HCH_011_003_000275	老人星見。
HCH_011_003_000276	甲子，波斯國遣使獻方物。
HCH_011_003_000277	甲申，中護軍蕭淵猷卒。
HCH_011_003_000278	九月己亥，以輕車將軍、臨賀王正德爲中護軍。
HCH_011_003_000279	甲寅，以尚書令、司空袁昂爲特進、左光祿大夫，司空如故。
HCH_011_003_000280	盤盤國遣使獻方物。
HCH_011_003_000281	冬十月庚申，以尚書右僕射何敬容爲尚書左僕射，吏部尚書謝舉爲尚書右僕射，侍中、國子祭酒蕭子顯爲吏部尚書。
HCH_011_003_000282	六年春二月癸亥，輿駕親耕籍田，大赦天下，孝悌力田賜爵一級。
HCH_011_003_000283	三月己亥，以行河南王可遝振爲西秦、河二州刺史、河南王。
HCH_011_003_000284	甲辰，百濟國遣使獻方物。
HCH_011_003_000285	夏四月丁卯，熒惑在南斗。
HCH_011_003_000286	秋七月甲辰，林邑國遣使獻方物。
HCH_011_003_000287	八月己未，以南梁州刺史武興王楊紹先爲秦、南秦二州刺史。
HCH_011_003_000288	冬十月丁卯，以信武將軍元慶和爲鎮北將軍，率衆北伐。
HCH_011_003_000289	閏十二月丙午，西南有雷聲二。
HCH_011_003_000290	大同元年春正月戊申朔，改元，大赦天下。
HCH_011_003_000291	二月己卯，老人星見。
HCH_011_003_000292	辛巳，輿駕親祠明堂。
HCH_011_003_000293	丁亥，輿駕躬耕籍田。
HCH_011_003_000294	辛丑，高麗國、丹丹國各遣使獻方物。
HCH_011_003_000295	三月辛未，滑國王安樂薩丹王遣使獻方物。
HCH_011_003_000296	夏四月庚子，波斯國獻方物。
HCH_011_003_000297	甲辰，以魏鎮東將軍劉濟爲徐州刺史。
HCH_011_003_000298	壬戌，以安北將軍廬陵王續爲安南將軍、江州刺史。
HCH_011_003_000299	秋七月乙卯，老人星見。
HCH_011_003_000300	辛卯，扶南國遣使獻方物。
HCH_011_003_000301	冬十月辛卯，以前南兗州刺史蕭淵藻爲護軍將軍。
HCH_011_003_000302	十一月丁未，中衛將軍、特進、右光祿大夫徐勉卒。
HCH_011_003_000303	壬戌，北梁州刺史蘭欽攻漢中，剋之，魏梁州刺史元羅降。
HCH_011_003_000304	癸亥，賜梁州歸附者復除有差。
HCH_011_003_000305	甲子，雄勇將軍、北益州刺史陰平王楊法深進號平北將軍。
HCH_011_003_000306	月行左角星。
HCH_011_003_000307	十二月乙酉，以魏北徐州刺史羊徽逸爲平北將軍。
HCH_011_003_000308	戊戌，以平西將軍、秦、南秦二州刺史武興王楊紹先進號車騎將軍、平北將軍、北益州刺史陰平王楊法深進號驃騎將軍。
HCH_011_003_000309	辛丑，平西將軍、荊州刺史湘東王繹進號安西將軍。
HCH_011_003_000310	二年春正月甲辰，以兼領軍臧盾爲中領軍。
HCH_011_003_000311	二月乙亥，輿駕躬耕籍田。
HCH_011_003_000312	丙戌，老人星見。
HCH_011_003_000313	三月庚申，詔曰：「政在養民，德存被物，上令如風，民應如草。朕以寡德，運屬時來，撥亂反正，倏焉三紀。不能使重門不閉，守在海外，疆埸多阻，車書未一。民疲轉輸，士勞邊防。徹田爲糧，未得頓止。治道不明，政用多僻，百辟無沃心之言，四聰闕飛耳之聽，州輟刺舉，郡忘共治。致使失理負謗，無由聞達。侮文弄法，因事生姦，肺石空陳，懸鐘徒設。《書》不云乎：『股肱惟人，良臣惟聖。』實賴賢佐，匡其不及。凡厥在朝，各獻讜言，政治不便於民者，可悉陳之。若在四遠，刺史二千石長吏，並以奏聞。細民有言事者，咸爲申達。朕將親覽，以紓其過。文武在位，舉爾所知，公侯將相，隨才擢用，拾遺補闕，勿有所隱。」
