HCH_011_010_000170	大軍至新林，公則自越城移屯領軍府壘北樓，與南掖門相對，嘗登樓望戰。
HCH_011_010_000171	城中遙見麾蓋，縱神鋒弩射之，矢貫胡床，左右皆失色。
HCH_011_010_000172	公則曰：「幾中吾腳。」
HCH_011_010_000173	談笑如初。
HCH_011_010_000174	東昏夜選勇士攻公則柵，軍中驚擾，公則堅臥不起，徐命擊之，東昏軍乃退。
HCH_011_010_000175	公則所領多湘溪人，性怯懦，城內輕之，以爲易與，每出蕩，輒先犯公則壘。
HCH_011_010_000176	公則獎厲軍士，剋獲更多。
HCH_011_010_000177	及平，城內出者或被剝奪，公則親率麾下，列陣東掖門，衛送公卿士庶，故出者多由公則營焉。
HCH_011_010_000178	進號左將軍，持節、刺史如故，還鎮南蕃。
HCH_011_010_000179	初，公則東下，湘部諸郡多未賓從，及公則還州，然後諸屯聚並散。
HCH_011_010_000180	天監元年，進號平南將軍，封寧都縣侯，邑一千五百戶。
HCH_011_010_000181	湘州寇亂累年，民多流散，公則輕刑薄斂，頃之，戶口充復。
HCH_011_010_000182	爲政雖無威嚴，然保己廉慎，爲吏民所悅。
HCH_011_010_000183	湘俗單家以賂求州職，公則至，悉斷之，所辟引皆州郡著姓，高祖班下諸州以爲法。
HCH_011_010_000184	四年，徵中護軍。
HCH_011_010_000185	代至，乘二舸便發，贐送一無所取。
HCH_011_010_000186	仍遷衛尉卿，加散騎常侍。
HCH_011_010_000187	時朝廷始議北伐，以公則威名素著，至京師，詔假節先屯洛口。
HCH_011_010_000188	公則受命遘疾，謂親人曰：「昔廉頗、馬援以年老見遺，猶自力請用。今國家不以吾朽懦，任以前驅，方於古人，見知重矣。雖臨途疾苦，豈可僶俛辭事。馬革還葬，此吾志也。」
HCH_011_010_000189	遂強起登舟。
HCH_011_010_000190	至洛口，壽春士女歸降者數千戶。
HCH_011_010_000191	魏豫州刺史薛恭度遣長史石榮前鋒接戰，卽斬石榮，逐北至壽春，去城數十里乃反。
HCH_011_010_000192	疾卒于師，時年六十一。
HCH_011_010_000193	高祖深痛惜之，卽日舉哀，贈車騎將軍，給鼓吹一部。
HCH_011_010_000194	諡曰烈。
HCH_011_010_000195	公則爲人敦厚慈愛，居家篤睦，視兄子過於其子，家財悉委焉。
HCH_011_010_000196	性好學，雖居軍旅，手不輟卷，士大夫以此稱之。
HCH_011_010_000197	子膘嗣，有罪國除。
HCH_011_010_000198	高祖以公則勳臣，特詔聽庶長子朓嗣。
HCH_011_010_000199	朓固讓，歷年乃受。
HCH_011_010_000200	鄧元起，字仲居，南郡當陽人也。
HCH_011_010_000201	少有膽幹，膂力過人。
HCH_011_010_000202	性任俠，好賑施，鄉里年少多附之。
HCH_011_010_000203	起家州辟議曹從事史，轉奉朝請。
HCH_011_010_000204	雍州刺史蕭緬板爲槐里令。
HCH_011_010_000205	遷弘農太守、平西軍事。
HCH_011_010_000206	時西陽馬榮率衆緣江寇抄，商旅斷絕，刺史蕭遙欣使元起率衆討平之。
HCH_011_010_000207	遷武寧太守。
HCH_011_010_000208	永元末，魏軍逼義陽，元起自郡援焉。
HCH_011_010_000209	蠻帥田孔明附于魏，自號郢州刺史，寇掠三關，規襲夏口，元起率銳卒攻之，旬月之間，頻陷六城，斬獲萬計，餘黨悉皆散走。
HCH_011_010_000210	仍戍三關。
HCH_011_010_000211	郢州刺史張沖督河北軍事，元起累與沖書，求旋軍。
