HCH_012_052_000176	兩壁立櫃，西藏遺書衣物，東藏祭器。
HCH_012_052_000177	旁親無後者，以其班附。
HCH_012_052_000178	庶人無祠堂，以二代神主置居室中間，無櫝。
HCH_012_052_000179	洪武六年，定公侯以下家廟禮儀。
HCH_012_052_000180	凡公侯品官，別爲祠屋三間於所居之東，以祀高曾祖考，並祔位。
HCH_012_052_000181	祠堂未備，奉主於中堂享祭。
HCH_012_052_000182	二品以上，羊一豕一，五品以上，羊一，以下豕一，皆分四體熟薦。
HCH_012_052_000183	不能具牲者，設饌以享。
HCH_012_052_000184	所用器皿，隨官品第，稱家有無。
HCH_012_052_000185	前二日，主祭者聞於上，免朝參。
HCH_012_052_000186	凡祭，擇四仲吉日，或春、秋分，冬、夏至。
HCH_012_052_000187	前期一日，齋沐更衣，宿外舍。
HCH_012_052_000188	質明，主祭者及婦率預祭者詣祠堂。
HCH_012_052_000189	主祭者捧正祔神主櫝，置於盤，令子弟捧至祭所。
HCH_012_052_000190	主祭開櫝，捧各祖妣神主，以序奉安。
HCH_012_052_000191	子弟捧祔主，置東西壁。
HCH_012_052_000192	執事者進饌，讀祝者一人，就贊禮，以子弟親族爲之。
HCH_012_052_000193	陳設神位訖，各就位，主祭在東，伯叔諸兄立於其前稍東，諸親立於其後，主婦在西，母及諸母立於其前稍西，婦女立於後。
HCH_012_052_000194	贊拜，皆再拜。
HCH_012_052_000195	主祭者詣香案前跪，三上香，獻酒奠酒，執事酌酒於祔位前。
HCH_012_052_000196	讀祝者跪讀訖，贊拜，主祭者復位，與主婦皆再拜。
HCH_012_052_000197	再獻終獻並如之，惟不讀祝。
HCH_012_052_000198	每獻，執事者亦獻於祔位。
HCH_012_052_000199	禮畢，再拜，焚祝並紙錢於中庭，安神主於櫝。
HCH_012_052_000200	成化十一年，祭酒周洪謨言：「臣庶祠堂神主，俱自西而東。古無神道尚右之說，惟我太祖廟制，合先王左昭右穆之義。宜令一品至九品，皆立一廟，以高卑廣狹爲殺。神主則高祖居左，曾祖居右，祖居次左，考居次右。」
HCH_012_052_000201	帝下禮臣參酌更定。
HCH_012_052_000202	嘉靖十五年，禮部尚書夏言言：「按三代有五廟、三廟、二廟、一廟之制者，以其有諸侯、卿、大夫上中下之爵也。後世官職既殊，無世封采邑，豈宜過泥於古。至宋儒程頤乃始約之而歸於四世，自公卿以及士庶，莫不皆然。謂五服之制，皆至高祖，則祭亦當如之。今定官自三品以上立五廟，以下皆四廟。爲五廟者，亦如唐制。五間九架，廈旁隔板爲五室，中祔五世祖，旁四室，祔高曾祖禰。爲四廟者，三間五架，中一室祔高曾，左右二室祔祖禰。若當祀始祖，則如硃熹所云，臨祭時，作紙牌，祭訖焚之。其三品以上者，至世數窮盡，則以今之得立廟者爲世世奉祀之祖，而不遷焉。四品以下，四世遞遷而已。」
HCH_012_052_000203	從之。
