HCH_009_027_000166	十二月，通濟河創設巡河官一員，與天津河同為一司，通管漕河閘岸，止名天津河巡河官，隸都水監。
HCH_009_027_000167	八年六月，通州刺史張行信言：「船自通州入閘，凡十余日方至京師，而官支五日轉腳之費。」
HCH_009_027_000168	遂增給之。
HCH_009_027_000169	貞祐三年，既遷於汴，以陳、潁二州瀕水，欲借民船以漕，不便。
HCH_009_027_000170	遂依觀州漕運司設提舉官，募船戶而籍之，命戶部勾當官往來巡督。
HCH_009_027_000171	四年，從右丞侯摯言，開沁水以便饋運。
HCH_009_027_000172	上又念京師轉輸之勞，命出尚廄牛及官車，以助其力。
HCH_009_027_000173	興定四年十月，諭皇太子曰：「中京運糧護送官，當擇其人，萬有一失，樞密官亦有罪矣！其船當用毛花輦所造兩首尾者，仍張幟如渡軍之狀，勿令敵知為糧也。」
HCH_009_027_000174	陝西行省把胡魯言：「陝西歲運糧以助關東，民力浸困，若以舟自渭入河，順流而下，可以紓民力。」
HCH_009_027_000175	遂命嚴其偵候，如有警，則皆維于南岸。
HCH_009_027_000176	時朝延以邳、徐、宿、泗軍儲，京東縣挽運者歲十余萬石，民甚苦之。
HCH_009_027_000177	元光元年，遂於歸德府置通濟倉，設都監一員，以受東郡之粟。
HCH_009_027_000178	定國軍節度使李複亨言：「河南駐蹕，兵不可闕，糧不厭多，比年，少有匱乏即仰給陝西，陝西地腴歲豐，十萬石之助不難。但以車運之費先去其半，民何以堪？宜造大船二十，由大慶關渡入河，東抵湖城，往還不過數日，篙工不過百人，使舟皆容三百五十斛，則是百人以數日運七千斛矣！自夏抵秋可漕三千余萬斛，且無稽滯之患。」
HCH_009_027_000179	上從之。
HCH_009_027_000180	時又於靈璧縣潼郡鎮設倉都監及監支納，以方開長直溝，將由萬安湖舟運入汴至泗，以貯粟也。
HCH_009_027_000181	大定十年，議決盧溝以通京師漕運，上忻然曰：「如此，則諸路之物可徑達京師，利孰大焉！」
HCH_009_027_000182	命計之，當役千里內民夫，上命免被災之地，以百官從人助役。
HCH_009_027_000183	已而，敕宰臣曰：「山東歲饑。工役興則妨農作，能無怨乎？開河本欲利民，而反取怨，不可！其姑罷之。」
HCH_009_027_000184	十一年十二月，省臣奏複開之，自金口疏導至京城北入壕，而東至通州之北，入潞水，計工可八十日。
HCH_009_027_000185	十二年三月，上令人覆按，還奏：「止可五十日。」
HCH_009_027_000186	上召宰臣責曰：「所餘三十日徒妨農費工，卿等何為慮不及此。」
HCH_009_027_000187	及渠成，以地勢高峻，水性渾濁。
HCH_009_027_000188	峻則奔流漩洄，齧岸善崩，濁則泥淖淤塞，積滓成淺，不能勝舟。
HCH_009_027_000189	其後，上謂宰臣曰：「分盧溝為漕渠，竟未見功，若果能行，南路諸貨皆至京師，而價賤矣。」
HCH_009_027_000190	平章政事駙馬元忠曰：「請求識河道者，按視其地。」
HCH_009_027_000191	竟不能行而罷。
HCH_009_027_000192	二十五年五月，盧溝決于上陽村。
HCH_009_027_000193	先是，決顯通寨，詔發中都三百里內民夫塞之，至是複決，朝延恐枉費工物，遂令且勿治。
HCH_009_027_000194	二十七年三月，宰臣以「孟家山金口閘下視都城，高一百四十餘尺，止以射糧軍守之，恐不足恃。儻遇暴漲，人或為奸，其害非細。若固塞之，則所灌稻田俱為陸地，種植禾麥亦非曠土。不然則更立重閘，仍於岸上置埽官廨署，及埽兵之室，庶幾可以無虞也」。
HCH_009_027_000195	上是其言，遣使塞之。
HCH_009_027_000196	夏四月丙子，詔封盧溝水神為安平侯。
