HCH_012_190_000190	廷和力爭，言：「臣等與舉朝大臣、言官言之不聽，顧二三邪佞之言是聽，陛下能獨與二三邪佞共治祖宗天下哉？且陛下以織造為累朝舊例，不知洪武以來何嘗有之，創自成化、弘治耳。憲宗、孝宗愛民節財美政非一，陛下不取法，獨法其不美者，何也？即位一詔，中官之幸路絀塞殆盡，天下方傳誦聖德，今忽有此，何以取信？」
HCH_012_190_000191	因請究擬旨者何人，疑有假御批以行其私者。
HCH_012_190_000192	帝為謝不審，俾戒所遣官毋縱肆而已，不能止也。
HCH_012_190_000193	廷和先累疏乞休，其後請益力。
HCH_012_190_000194	又以持考獻帝議不合，疏語露不平。
HCH_012_190_000195	三年正月，帝聽之去。
HCH_012_190_000196	責以因辭歸咎，非大臣道。
HCH_012_190_000197	然猶賜璽書，給輿廩郵護如例，申前蔭子錦衣衛指揮使之命。
HCH_012_190_000198	給事、御史請留廷和，皆不報。
HCH_012_190_000199	廷和去，始議稱孝宗為「皇伯考」。
HCH_012_190_000200	於是，廷和子修撰慎率群臣伏闕哭爭，杖謫雲南。
HCH_012_190_000201	既而王邦奇誣訐廷和及其次子兵部主事惇、婿修撰金承勛、鄉人侍讀葉桂章與彭澤弟沖交關請屬，俱逮下詔獄。
HCH_012_190_000202	鞫治無狀，乃得解。
HCH_012_190_000203	七年，《明倫大典》成，詔定議禮諸臣罪。
HCH_012_190_000204	言廷和謬主《濮議》，自詭門生天子、定策國老，法當僇市，姑削職為民。
HCH_012_190_000205	明年六月卒，年七十一。
HCH_012_190_000206	居久之，帝問大學士李時：「太倉所積幾何？」
HCH_012_190_000207	時對曰：「可支數年。由陛下初年詔書裁革冗員所致。」
HCH_012_190_000208	帝慨然曰：「此楊廷和功，不可沒也。」
HCH_012_190_000209	隆慶初，復官，贈太保，謚文忠。
HCH_012_190_000210	初，廷和入閣，東陽謂曰：「吾於文翰，頗有一日之長，若經濟事須歸介夫。」
HCH_012_190_000211	及武宗之終，卒安社稷者，廷和力也，人以東陽為知言。
HCH_012_190_000212	弟廷儀，兵部右侍郎。
HCH_012_190_000213	子慎、惇，孫有仁，皆進士。
HCH_012_190_000214	慎自有傳。
HCH_012_190_000215	梁儲，字叔厚，廣東順德人。
HCH_012_190_000216	受業陳獻章。
HCH_012_190_000217	舉成化十四年會試第一，選庶吉士，授編修，尋兼司經局校書。
HCH_012_190_000218	弘治四年，進侍講。
HCH_012_190_000219	改洗馬，侍武宗於東宮。
HCH_012_190_000220	冊封安南，卻其饋。
HCH_012_190_000221	久之，擢翰林學士，同修《會典》，遷少詹事，拜吏部右侍郎。
HCH_012_190_000222	正德初，改左，進尚書，專典誥敕，掌詹事府。
HCH_012_190_000223	劉瑾摘《會典》小疵，儲坐降右侍郎。
HCH_012_190_000224	《孝宗實錄》成，復尚書，尋加太子少保，調南京吏部。
HCH_012_190_000225	瑾誅，以吏部尚書兼文淵閣大學士，入參機務。
HCH_012_190_000226	屢加少傅、太子太傅，進建極殿。
HCH_012_190_000227	十年，楊廷和遭喪去，儲為首輔。
HCH_012_190_000228	進少師、太子太師、華蓋殿大學士。
HCH_012_190_000229	時方建乾清、坤寧宮，又營太素殿、天鵝房、船塢，儲偕同官靳貴、楊一清切諫。
HCH_012_190_000230	明年春，以國本未定，請擇宗室賢者居京師，備儲貳之選，皆不報。
HCH_012_190_000231	其秋，一清罷，蔣冕代之。
HCH_012_190_000232	至明年，貴亦罷，毛紀入閣。
HCH_012_190_000233	帝好微行，嘗出西安門，經宿返。
HCH_012_190_000234	儲等諫，不聽，然猶慮外廷知。
HCH_012_190_000235	是春，從近幸言召百官至左順門，明告以郊祀畢，幸南海子觀獵。
HCH_012_190_000236	儲等暨廷臣諫，皆不納。
HCH_012_190_000237	八月朔，微服從數十騎幸昌平。
HCH_012_190_000238	次日，儲、冕、紀始覺，追至沙河不及，連疏請回鑾。
HCH_012_190_000239	越十有三日乃旋。
HCH_012_190_000240	儲等以國無儲副，而帝盤遊不息，中外危疑，力申建儲之請，亦不報。
HCH_012_190_000241	九月，帝馳出居庸關，幸宣府，命谷大用守關，無縱廷臣出。
HCH_012_190_000242	遂由宣府抵大同，遇寇於應州，幾殆。
HCH_012_190_000243	儲等憂懼，請回鑾益急。
HCH_012_190_000244	章十餘上，帝不為動，歲除竟駐宣府。
HCH_012_190_000245	當是時，帝失德彌甚。
HCH_012_190_000246	群小竊權，濁亂朝政，人情惶惶。
HCH_012_190_000247	儲懼不克任，以廷和服闋，屢請召之。
HCH_012_190_000248	廷和還朝，儲遂讓而處其下。
HCH_012_190_000249	鳳陽守備中官丘德及鎮守延綏、寧夏、大同、宣府諸中官皆乞更敕書兼理民事，帝許之。
HCH_012_190_000250	儲等極言不可，弗聽。
HCH_012_190_000251	十三年七月，帝從江彬言，將遍遊塞上。
HCH_012_190_000252	托言邊關多警，命總督軍務、威武大將軍、總兵官朱壽統六師往征，令內閣草敕。
HCH_012_190_000253	閣臣不可，帝復集百官左順門面諭。
HCH_012_190_000254	廷和、冕在告，儲、紀泣諫，眾亦泣，帝意不可回。
HCH_012_190_000255	已而紀亦引疾。
HCH_012_190_000256	儲獨廷爭累日，帝竟不聽。
HCH_012_190_000257	逾月，帝以「大將軍壽」肅清邊境，令加封「鎮國公」。
HCH_012_190_000258	儲、紀上言：「公雖貴，人臣耳。陛下承祖宗業，為天下君，奈何謬自貶損。既封國公，則將授以誥券，追封三代。祖宗在天之靈亦肯如陛下貶損否？況鐵券必有免死之文，陛下壽福無疆，何甘自菲薄，蒙此不祥之辭。名既不正，言自不順。臣等斷不敢阿意茍從，取他日戮身亡家之禍也。」
HCH_012_190_000259	不報。
HCH_012_190_000260	帝遂歷宣府、大同，直抵延綏。
HCH_012_190_000261	儲等疏數十上，悉置不省。
HCH_012_190_000262	秦王請關中閑田為牧地，江彬、錢寧、張忠等皆為之請。
HCH_012_190_000263	帝排群議許之，命閣臣草制。
HCH_012_190_000264	廷和、冕引疾，帝怒甚。
HCH_012_190_000265	儲度不可爭，乃上制草曰：「太祖高皇帝著令，茲土不畀藩封。非吝也，念其土廣饒，藩封得之，多蓄士馬，富而且驕，奸人誘為不軌，不利宗社。王今得地，宜益謹。毋收聚奸人，毋多蓄士馬，毋聽狂人謀不軌，震及邊方，危我社稷，是時雖欲保親親不可得已。」
HCH_012_190_000266	帝駭曰：「若是其可虞！」
HCH_012_190_000267	事遂寢。
HCH_012_190_000268	明年，帝將南巡。
HCH_012_190_000269	言官伏闕諫，儲、冕、紀亦以為言。
HCH_012_190_000270	會諸曹多諫者，乃止。
HCH_012_190_000271	寧王宸濠反，帝南征，儲、冕扈從。
HCH_012_190_000272	在道聞賊滅，連疏請駕旋。
HCH_012_190_000273	抵揚州，帝議南京行郊禮。
HCH_012_190_000274	儲、冕計此議行，則回鑾益無日，極陳不可，疏三上始得請。
HCH_012_190_000275	帝以宸濠械將至，問處置之宜。
HCH_012_190_000276	儲等請如宣宗征高煦故事，罪人既得，即日班師。
HCH_012_190_000277	又因郊期改卜，四方災異、邊警，乞還乘輿。
HCH_012_190_000278	疏八九上，帝殊無還意。
HCH_012_190_000279	是秋，行在有物若豕首墮帝前，色碧，又進御婦人室中，若懸人首狀。
HCH_012_190_000280	人情益驚。
HCH_012_190_000281	儲、冕危言諫，帝頗心動。
HCH_012_190_000282	而群小猶欲導帝遊浙西，泛江、漢。
HCH_012_190_000283	儲、冕益懼，手疏跪泣行宮門外，歷未至酉。
HCH_012_190_000284	帝遣人取疏入，諭之起。
HCH_012_190_000285	叩頭言：「未奉俞旨，不敢起也。」
HCH_012_190_000286	帝不得已，許不日還京，乃叩頭出。
HCH_012_190_000287	帝崩，楊廷和等定策迎興世子。
HCH_012_190_000288	故事，當以內閣一人與中貴勛戚偕禮官往。
HCH_012_190_000289	廷和欲留蔣冕自助，而慮儲老或憚行，乃佯惜儲憊老，阻其行。
HCH_012_190_000290	儲奮曰：「事孰有大於此者，敢以憊辭！」
HCH_012_190_000291	遂與定國公徐光祚等迎世子安陸邸。
HCH_012_190_000292	既即位，給事中張九敘等劾儲結納權奸，持祿固寵。
HCH_012_190_000293	儲三疏求去，命賜敕馳傳，遣行人護行，歲給廩隸如制。
HCH_012_190_000294	卒，子鈞奏請贈謚。
HCH_012_190_000295	吏部侍郎桂萼等言，儲立身輔政，有幹公議，因錄上兩京言官彈章。
HCH_012_190_000296	帝念先朝舊臣，特贈太師，謚文康。
HCH_012_190_000297	先是，儲子次攄為錦衣百戶。
HCH_012_190_000298	居家與富人楊端爭民田，端殺田主，次攄遂滅端家二百餘人。
HCH_012_190_000299	事發，武宗以儲故，僅發邊衛立功。
HCH_012_190_000300	後還職，累冒功至廣東都指揮僉事。
HCH_012_190_000301	蔣冕，字敬之，全州人。
HCH_012_190_000302	兄昇，南京戶部尚書，以謹厚稱。
HCH_012_190_000303	冕舉成化二十三年進士，選庶吉士，授編修。
HCH_012_190_000304	弘治十三年，太子出閣，兼司經局校書。
HCH_012_190_000305	正德中，累官吏部左侍郎，改掌詹事府，典誥敕，進禮部尚書，仍掌府事。
HCH_012_190_000306	冕清謹有器識，雅負時望。
HCH_012_190_000307	十一年命兼文淵閣大學士，預機務。
HCH_012_190_000308	明年改武英殿，加太子太傅。
HCH_012_190_000309	近幸冒邊功，大行升賞，冕及梁儲亦蔭錦衣世千戶。
HCH_012_190_000310	兩人力辭，乃改文蔭。
HCH_012_190_000311	帝之以「威武大將軍」行邊也，冕時病在告，疏諫曰：「陛下自損威重，下同臣子，倘所過諸王以大將軍禮見，陛下何辭責之？曩睿皇帝北征，六軍官屬近三十萬，猶且陷於土木。今宿衛單弱，經行邊僥，寧不寒心？請治左右引導者罪。」
HCH_012_190_000312	不報。
HCH_012_190_000313	十四年扈帝南征還，加少傅兼太子太傅、戶部尚書、謹身殿大學士。
HCH_012_190_000314	帝崩，與楊廷和協誅江彬。
HCH_012_190_000315	世宗即位，議定策功，加伯爵，固辭。
HCH_012_190_000316	改蔭錦衣世指揮，又辭。
HCH_012_190_000317	乃蔭五品文職，仍進一階。
HCH_012_190_000318	御史張鵬疏評大臣賢否，請罷冕。
HCH_012_190_000319	御史趙永亨詆石缶不可掌銓衡。
HCH_012_190_000320	冕、缶遂求去。
HCH_012_190_000321	朝議不平，諸給事、御史皆言其不可去。
HCH_012_190_000322	帝乃命鴻臚諭留，再下優詔，始起視事。
HCH_012_190_000323	嘉靖三年遣官織造江南，命冕草敕。
HCH_012_190_000324	冕以江南被災，具疏請止，帝不從，敕亦久不進。
HCH_012_190_000325	帝責其違慢，冕引罪而止。
HCH_012_190_000326	「大禮」議起，冕固執為人後之說，與廷和等力爭之。
HCH_012_190_000327	帝始而婉諭，繼以譙讓，冕執議不回。
